jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Digital Marketing Manager,2COMS Consulting Private Limited,Hyderabad/Secunderabad,4-12years,40000 - 96000 INR,"Key Responsibilities:  * Heading all paid media initiatives, organic and paid social media campaigns, performance marketing campaigns, digital media planning and buying for Thick Shake Brand.  * Define online content strategy with clear value, co",DigitalMarketing|etc.|SEO|Smo|
Interniship Trainee Digital Marketing,Scope Telecom Private Limited,Ludhiana|Mohali,0-1years,Not Specified,"On-Page SEO: On-page SEO commonly known as ‘on-site SEO’ is the practice of improving webpage/website content for search engines and operators. Common on-page SEO practices comprise optimizing title tags, content, internal links, and URLs.",SMOExecutive|Smm|EmailMarketing|SeoExpert|
Digital Marketing Executive,Scope Telecom Private Limited,Ambala|Chandigarh,0-1years,Not Specified,"The objective of digital marketing is to develop strong and innovative strategies to promote the business brand, products, and services. A digital marketing professional is expected to effectively use all marketing tools and techniques like PPC, SEO,",Smm|Ppc|SEO|Smo|
Digital Marketing,Orissa Doot Private Limited,Bhubaneswar,0-3years,Not Specified,Opening for Digital Marketing in Bhubaneswar Location,DigitalMarketing|OnlineMarketing|InternetMarketing|Businessdevelopment|SearchEngine|SEO|SearchEngineOptimization|Smo|
SEO Executive / Team Lead,Randeep Singh (Proprietor Of Wtechy),Mohali|Panchkula,1-4years,110000 - 240000 INR,Wtechy is looking for an SEO Executive who loves to work with an amazing team and is passionate for developing quality products.,DigitalMarketing|OnlineMarketing|SMOExecutive|SeoExecutive|
SEO Executive,Orissa Doot Private Limited,OtherIndia,1-3years,Not Specified,Opening For SEO Executive in Bhubaneswar Location,DigitalMarketing|OnlineMarketing|InternetMarketing|Sem|SMOExecutive|InternetMarketing|SearchEngineMarketing|SeoExecutive|SearchEngineOptimization|Smo|SEO|
SEO & SMO Analyst,eAnswer Network India Private Limited,Bengaluru/Bangalore,1-3years,190000 - 240000 INR,Hiring SEO & SMO Analyst with good experience in Search Engine Optimization and Social Media Optimization,SMOExecutive|SocialMediaOptimization|SEO|SearchEngineOptimization|
Marketing Manager,Korcomptenz Consultancy Private Limited,Chennai,5-10years,Not Specified,Korcomptenz is looking for a Marketing Associate that will report directly to the top leadership and will be responsible for owning and implementing the core marketing strategy for the company’s portfolio of technologies.,MarketingManager|BrandManager|InternetMarketing|SearchEngine|Sem|SEO|SearchEngineOptimization|Smo|
Digital Marketing (SEO/SMO/Content Writer),E-Friend Solutions India,Ahmedabad|Indore,4-8years,800000 - 1000000 INR,"seo, smo, Search engine optimization, SEM, Internet marketing, Link builder, Search engine, Digital Marketing,",SearchSearchengineoptimization|Sem|InternetMarketing|SearchEngine|DigitalMarketing|seo|Smo|LinkBuilder|
Digital Marketing,Deputize Consultancy Private limited,MumbaiCity|NaviMumbai|Thane,2-4years,Not Specified,"Should be from a Commerce background. |   |  Should be able to manage independently Google Ads, Facebook Ads, on Page And off Page SEO, |    |  Email marketing, Social media posts, Blog writing, Website management in wordpress.",WebsiteManagement|BlogWriting|Wordpress|SEO|Smo|
Senior SEO Specialist,Ultra Media & Entertainment Private Limited,Chennai|Gurgaon/Gurugram,3-5years,450000 - 750000 INR,we are hiring .......its urgent,PayPerClick|Sem|InternetMarketing|OnlineMarketing|SearchEngine|SEO|SearchEngineOptimization|LinkBuilder|Smo|OnPageOptimization|
