jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
IT Manager Required in CANADA & AUSTRALIA,Pear Visa Immigration Services Private Limited,Australia|Canada,3-8years,310000 - 850000 INR,"Design & Manage teams of IT personnel to develop, implement & operate the client requirement for Mobile & Web products in every domain of industry",ITreleasemanagement|softwaredevelopermanagement|ItManagement|ItAssetManagement|SoftwareManagement|SoftwareConfigurationManagement|ItManager|ItProjectManager|InformationTechnologyManagement|
Product Validation Engineer,SnapHunt Pte Ltd,Delhi,3-13years,180000 - 300000 INR,"Developing directed, random, and pseudo-random diagnostics for validation in compliance with customer specifications and use cases. Debugging of diagnostics on various platforms using JTAG, Logic Analyzers, Oscilloscopes and similar equipment. |",ProductValidation|Emulators|Compilers|Multimeter|AnalyticalAbility|MsOffice|Outlook|Excel|ChangeManagement|BugTracking|Debuggers|ConfigurationManagement|SoftwareDevelopment|
Snowflake Devops Engineer,ABC Consultants Private Limited,Bengaluru/Bangalore,6-10years,Not Specified,"At least 3 years of experience in software engineering, release engineering, and/or configuration management",SnowflakesDevops|SnowflakeAzurecloud|SnowFlakeSQL|SoftwareEngineering|ReleaseEngineering|configurationmanagement|AzureSql|AzureAd|Etl|
Senior Software Engineer: Configuration Management Officer,Thales India Private Limited,Noida,3-9years,Not Specified,"You will be working with agile teams within the Thales DIS Business Line, for the Digital Engineering Services(DES) products.",CMO|CMtools|Mercurial|Git|Svn|Maven|Ant|JIRA|Confluence|Jenkins|OSS|Agile|
Software Engineer,Veritas Software Technologies India Private Limited,Pune,3-5years,Not Specified,3-5 years of automation experience in Dev/Tools/Configuration Management field |,.bat|SoftwareEngineer|automation|ConfigurationManagement|Shell|Perl|Python|Ruby|Php|Ant|Gradle|Git|Bitbucket|
SCCM Engineer,NMS Consultant (Navlakha Management Services),Mumbai,3-6years,Not Specified,"Planning System Center Configuration Manager hierarchy and site system roles. |  Creating and managing Boundary Groups across one or more Distribution Points |  Management of site communications (Bandwidth, Senders etc.) |",Systemcentersystemsmanagementserver|Activedirectory|TroubleShooting|Repair|SCCM|Systemcenterconfigurationmanager|Plsql|OracleDeveloper|PL/SQLdevelopment|Programmer|SoftwareEngineer|Powershell|HttpProtocol|Dns|Wsus|Iis|SQLserver|Windows|
Senior Infrastructure Leader IT,2COMS Consulting Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,7-9years,940000 - 1420000 INR,We are Urgently looking for an outstanding Global Configuration Manager with solid experience in designing and maintaining,Analytical|Activedirectory|DataProcessing|Customerservice|ItServices|Configurationmanagement|MsOffice|InformationTechnology|
JOB | IMMEDIATE OPENING FOR AZURE DEVOPS REQUIREMENT WITH YAML,Hi Tides Consulting,Bengaluru/Bangalore|Chennai,6-10years,850000 - 1650000 INR,we are hiring,cd|Deployment|Implementation|AzureDevops|ReleaseManagementEducation-Configuration|Terraform|Powershell|Build|Ci|Yaml|ReleaseEngineering|
SME - Cloud Operations,A V Immigration And Careers Consultancy Private Limited,Pune,4-10years,800000 - 1600000 INR,"Job Purpose:Responsible for operations and maintenance of the Cloud and Enterprise application platform• Troubleshooting fault, configuration, performance, user access, and security related Cloud and Enterprise application platform issues reported",•Troubleshootingfault|useraccess|andsecurityrelatedCloud|Configuration|Performance|
SYSTEM ADMINISTRATOR for Manufacturing sector,A V Immigration And Careers Consultancy Private Limited,Bengaluru/Bangalore,3-4years,Not Specified,"Exp. in installation, configuration, maintenance in Windows / linux based systems, monitoring, maintaining and troubleshooting of Windows 2008,2012 R2 servers & Linux servers,network and/or resource access, software, or hardware problems. WAN Devices",Installation|maintenance|ERPimplementation&SUpport|Hardware|Configuration|Windows|linux|Erp|Networking|Servers|
