jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Software engineers and designers For Canada/ OINP,I2canz Outsourcing Private Limited,Australia|Canada,2-10years,4550000 - 5510000 INR,"Software engineers and designers research, design, evaluate, integrate and maintain software applications, technical environments, operating systems, embedded software, information warehouses and telecommunications software.",SoftwareEngineers|CadDesign|SoftwareTestEngineer|SoftwareAnalyst|SoftwareDesigning|SoftwareDeveloping|SoftwareProductDevelopment|SoftwareDevelopment|SoftwareEngineer|SoftwareDevelopment|SoftwareDeveloperer|Programmer|
Software Development,Prishatech India (opc) Private Limited,Bengaluru/Bangalore,3-8years,Not Specified,"Node JS, HTML, Javascript, CSS",Nodejs|Javascript|Programming|
Senior Software Engineer / Tech Lead,Dreamguys Technologies Private Limited,OtherIndia,8-15years,Not Specified,"Hiring for strong / Tech leads who will be interested into .NET  , .NET core development , committing to work for a long duration on a client based project.",SeniorSoftwareDeveloper|SeniorSoftwareDevelopmentEngineer|
Software Developer Trainee  software engineers,Hudson Agile Ventures Private Limited,Mysore,0-1years,150000 - 400000 INR,"Software Engineers – Fresher’s - Trainee Engineers ––BA,.net, php, Java, Ios, Android,BDE |  Education: BE, B.Tech, MCA, M.Tech, ME, MCA, Msc. IT, BSC, BCA, MBA or Any degree  |   |  Software Engineer Job Purpose: Develops information systems by designing, pr",AnalyzingInformation|GeneralProgrammingSkills|SoftwareDebugging|ProblemSolving|Teamwork|SoftwareDevelopmentFundamentals|SoftwareDesign|SoftwareDocumentation|SoftwareTesting|softwaredevelopmentprocess|SoftwareRequirements|
Software Marketing / Software Business Development,Busipex Services Private Limited,Chennai,0-4years,Not Specified,Enthusiastic Male candidates for Software Business Development & Marketing,NetworkingSales|ItSales|softwaresalesmanagement|salesnetworking|SoftwareSales|SoftwareMarketing|SoftwareSelling|
Software Development Engineer - Android Development 7-10yrs exp,Pear Visa Immigration Services Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,7-10years,1050000 - 1650000 INR,We are hiring for a geeky Programmer As a developer,Hardwarenetworkingithardwarewebdeveloper|scratch|Developer|ContinuousDeliveryProgramming|SoftwareDeveloper|SoftwareEngineer|Softwareprogrammer|Programmer|Coding|ContinuousIntegration|Kotlin|
Software Developer Required in CANADA & AUSTRALIA,Growing Careers,Australia|Canada,2-7years,5000000 - 9000000 INR,"Identify high-level functional & technical requirements |  Design architectures, including the software |  Understand emerging web and mobile development models |  Projects involving cloud-based infrastructure design and implementation |  Distributed data model",iosdeveloper|WebsiteDeveloper|Developer|ITprogrammer|ITdeveloper|SoftwareProgrammer|programming|softwaredeveloper|WebDevelopment|SoftwareEngineer|AndroidApplicationDevelopment|Coding|AndroidDevelopment|WebDesigner|SoftwareDevelopment|
Software Development Engineer - Android Development,EAGateway Services India Private Limited,Chennai|Mumbai,0-5years,380000 - 650000 INR,We are hiring for a geeky Programmer As a developer,Hardwarenetworkingithardwarewebdeveloper|scratch|Developer|ContinuousDeliveryProgramming|SoftwareDeveloper|SoftwareEngineer|Softwareprogrammer|Programmer|Coding|ContinuousIntegration|Kotlin|
Software Development And Engineer in Test,Fazo Software,Chennai,0-1years,Not Specified,Required fresh candidates for Software Development And Engineer in Test,Developer|Q.A.|SoftwareEngineer|Softwaredeveloper|SeniorSoftwareEngineer|SoftwareTester|QualityAssurance|SoftwareTesting|Testing|
Job -Permanent Hiring - Deloitte - HMS- Any location(Remote work),DynPro India Private Limited,Bengaluru/Bangalore,10-15years,Not Specified,"HMS,•	Experience in IT projects in government (preferably, hospital management systems)  |  •	Extensive experience in Micro service architecture implementation |   |  •	Experience in implementing Electronic Medical Record/Electronic Health Record standards  |   |",SoftwareDevelopment|
Software Engineer / Software Developer / Software Development,Skill Mine Technologies,Chennai|Salem,0-1years,270000 - 370000 INR,.Net Developer |   Java Developer |   Salary : 2.8L /Annum |   Immediate Joining |   Interview Rounds : 3,IT|J2EEScripts|.NetDeveloper|TRAI|Dotnet.Net.Net|SoftwareEngineer|SoftwareProgrammer|SoftwareProgrammer|SeniorSoftwareEngineer|Programmer|Softwaredeveloper|Java|ServletsScripts|StrutsScripts|J2EE|CoreJava|ASP.NET|AspDotnet|C#|Dotnet|
Python Developers,Axs Solutions And Consulting Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,6-12years,250000 - 800000 INR,"6 Years+	  |   Technical development & delivery.	  |   Responsible for providing expertise in the software development life cycle, from concept, architecture, design, implementation, & testing. |   Leading & mentoring small-sized team.Architecture documents.","""Pythonprogramming""|""framework""|""AgileSoftwaredevelopmentmethodology""|""Architecture""|"
Fresher - .net stack Developer - IT product company - chennai,Aarav Consultancy,Chennai,0-2years,Not Specified,"Job description |  A 15 yrs Software product company @ T.Nagar, Chennai is looking to train and nurture software developer.",SoftwareDevelopment.Net|
Software Tester / Quality Analyst,Flexmoney Technologies Private Limited,Mumbai,2-4years,200000 - 400000 INR,"We are looking for a qualified Software Tester who has experience in Manual testing with bug tracking tools like JIRA, Mantis, BugZilla Etc.",SoftwareTester/softwaredevelopment/FRS/BRS/QualityAnalyst/SoftwareTesting/STLC/SDLC|
"""Sr Software Developer"",""Sr Software Engineer"",""Sr Software development"",""Full Stack Developer""",ALLEGIS SERVICES (INDIA) PRIVATE LIMITED (RPO),Mumbai|MumbaiCity,4-9years,Not Specified,"Dot Net, Microservice, Angular, Azure Devops, Unit Testing","""SrSoftwareDeveloper""|""SrSoftwareEngineer""|""SrSoftwaredevelopment""|""FullStackDeveloper""|"
Flexmoney - Software Development Engineer in Test,Growing Careers,Mumbai|MumbaiCity|NaviMumbai|Thane,3-4years,Not Specified,4+ years of experience working in SDET role. Experience with building and managing modern automated testing infrastructure. Familiarity with security and performance testing is preferred but not mandatory. Strong coding skills.,End-to-endAutomationtesting|Jenkins|ApiTesting|MobileAppTesting|
Software Development Engineer,Infuse Consulting India Private Limited,Bengaluru/Bangalore,5-10years,Not Specified,"Java & SpringBoot projects – In depth Understanding, Garbage Collection, Memory Mgt, OOPs, Data Structures & Algorithms",Javadeveloper|containerization|Java|Oops|DataStructures|Algorithms|Docker|Azure|Gcp|Cloud|MongoDb|Cassandra|
iOS developer,Sampark,Bengaluru/Bangalore,5-8years,Not Specified,Urgent requirements for IOS Developer for Bangalore Locations,iosdeveloper|IOSApplicationDeveloper|IosSoftwareDeveloper|iPhoneDeveloper|IosDevelopment|MobileDeveloper|IphoneDevelopment|
SDET - Software Development Engineer Test - Bangalore and Pune,Manheer Singh (Proprietor Of BigBoss Decor),Bengaluru/Bangalore|Pune,1-3years,Not Specified,SDET - for Bangalore and Pune. Java and Selenium is a must,Sdet|JavaScript|Selenium|
Software Developer - (.NET / JAVA / Angular/PHP/Python),Star Tech,Hyderabad/Secunderabad|Mumbai,1-4years,340000 - 750000 INR,We are looking for a few passionate freshers who want to start their career in .Net /Java /PHP/ |    Angular/Python/Android/IOS and have an extreme desire to work closely with industry senior |    engineers and passionate developers.,Java|SoftwareDevelopment|SoftwareTesting|IosDevelopment|AndroidDevelopment|Php|.NET|ManualTesting|Angular|Python|
Java Stack Developer- RETURN TO WORK- FEMALES ONLY,Star Tech,Gurgaon/Gurugram,3-8years,Not Specified,"Looking for Java experts, females only, who are currently on break. This role will be responsible for all aspects of software development, testing and ensuring compatibility with enterprise and solutions architecture",SoftwareDevelopment|
.Net Developer,Diraa HR Services,Visakhapatnam,0-1years,150000 - 250000 INR,Hiring Software Engineering .NET Developer - Fresher.,.NetDeveloper|freshersoftwareengineer|TraineeEngineer|SoftwareDevelopment|JavaScript|AWS|Javascript|SQLServer|
