jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Software developer/Software Testing,Infomedia Solutions And Consultant,Pune|Nashik,2-5years,280000 - 600000 INR,"Requirement for ASP.NET,VB.NET DEVELOPER,JAVA DEVELOPER,C,C++,WEB DEVELOPER, Manual Testing, Automation Testing for MNC / PVT LTD / MID SCALE COMPANY",ASP.NETDeveloper|Javadeveloper|VB.Net|Phpdeveloper|C++|SoftwareTester|Testing|SoftwareTesting|ManualTesting|AutomationTesting|
Software Engineer - Senior,C P Careers Private Limited,Chennai|Noida,4-7years,3000000 - 4000000 INR,"Job Description |  Role : |  As a Engineer, your leadership shall be critical in ensuring engineering rigor and |  driving innovation at scale. You shall be accountable for architecting, designing and |  implementing complex capabilities, mentoring engineers",softwareframeworksandcomplexdistributedenterprisesystems.ExpertiseinArchitecture|Design|Development|Trouble-shooting|TestAutomationandPerformanceTuningandBenchmarkingofcomplexenter|Algorithms|datastructures|DesignPatterns|
Software QA Tester,Enigmasoft Technologies Private Limited,Bengaluru/Bangalore|Goa,2-7years,Not Specified,Hiring for Goa and Bangalore,SoftwareTestingLifeCycleandDefectLifeCycle(Manual&Automationboth).Hands-onTestManagementSoftwareandSQLtesttools|creationandunderstandingoftestingartifactsliketestplan|testcase.GoodUnderstandingofWeb/Desktop/Mobile/AP|
"Fresher Software Test Engineer, Software Tester, Software Testing",Hudson Agile Ventures Private Limited,Mumbai|Pune,0-5years,Not Specified,"Fresher Software Test Engineer, Software Tester, Software Testing",Fresher|SoftwareTestEngineer|SoftwareTester|SoftwareTesting|
Software Developer Trainee  software engineers,Kag India Private Limited,Mysore,0-1years,150000 - 400000 INR,"Software Engineers – Fresher’s - Trainee Engineers ––BA,.net, php, Java, Ios, Android,BDE |  Education: BE, B.Tech, MCA, M.Tech, ME, MCA, Msc. IT, BSC, BCA, MBA or Any degree  |   |  Software Engineer Job Purpose: Develops information systems by designing, pr",AnalyzingInformation|GeneralProgrammingSkills|SoftwareDebugging|ProblemSolving|Teamwork|SoftwareDevelopmentFundamentals|SoftwareDesign|SoftwareDocumentation|SoftwareTesting|softwaredevelopmentprocess|SoftwareRequirements|
"Fresher Software Test Engineer, Software Tester, Software Testing",Java R&d Private Limited,Bengaluru/Bangalore|Delhi,0-5years,Not Specified,"Fresher Software Test Engineer, Software Tester, Software Testing",Fresher|SoftwareTestEngineer|SoftwareTester|SoftwareTesting|TestEngineer|Tester|
Software Developer,Diraa HR Services,Chennai,1-3years,240000 - 300000 INR,"Asp.Net, SQL, HTML 5, CSS3, JQuery, Ajax, C#, Linq, MVC5, Angular Js,",Developer|SoftwareDeveloper|SoftwareEngineer|Softwareprogrammer|Programmer|
Software Developer,Java R&d Private Limited,Remote,2-5years,400000 - 800000 INR,"Learn n start your career into development now. |   If you are someone who always wanted to get into development role but did not get a chance in your career so far,  we can provide an amazing opportunity to build your career now in development. |",SoftwareTestEngineer|SoftwareDeveloper|SoftwareEngineer|SoftwareTesting|QAtesting|Automationtesting|TestEngineer|Tester|ManualTesting|SoftwareQualityAssurance|SoftwareProgrammer|
Software Testing,SR Group,Coimbatore,0-4years,Not Specified,immediate openings for software testing,SoftwareTestEngineer|SoftwareTesting|ManualTesting|Automationtesting|QAtesting|
Software Developer,Socialangles Digital Solutions Private Limited,Bhopal|Indore,0-3years,110000 - 710000 INR,"Java R&D Pvt. Ltd. is an IT Development & Consulting Company with a well-established parent company Java Labs headquartered at VA, USA holding a strong experience of servicing top fortune 500 and small and medium sized clients for over 15 yrs. |",Java|HTML|CSS|Python|react.js|Phpdeveloper|AngularJs|Javascript|Golang|Node.js|
Software Developer,Avenue Supermarts Limited,Amritsar,2-5years,200000 - 300000 INR,"Urgent requirement for Software Developer Having good experience in VB. Net, C#, C,  Asp. Net, Html, Java script, C++, MVC, Jquery. Candidate should be smart and active. Salary up to 25k Location will be Amritsar. Company dealing in Pharma industry.",Analyst|Devlopment|SoftwareDeveloper|SoftwareEngineer|Softwareprogrammer|Programmer|
Software Developer,Diraa HR Services,Pune,2-4years,250000 - 350000 INR,"BS degree in Computer Science, Engineering or a related subject |  Proven hands-on Software Development experience |  Proven working experience in Java development |  Hands on experience in designing and developing applications using Java EE platforms |  Object.",CoreJava|Spring|SpringBoot|SpringMvc|AWS|Mysql|Git|Github|Jpa|
Software Tester,Whitehr Consultancy Services,Thane,3-5years,Not Specified,"Good knowledge of business process & best practices around material |  handling, purchase / procurement, warehouse, fleet & route management. |   Knowledge of SDLC, STLC, software testing certifications / knowledge shall be |  an added advantage",SoftwareTester|Testing|SoftwareTesting|AutomationTesting|Manual|TestCase|ManualTesting|TestEngineer|
Software Testing,Mindteck (India) Limited,Coimbatore,0-4years,110000 - 540000 INR,immediate openings for software testing,SoftwareTestEngineer|SoftwareTesting|Automationtesting|ManualTesting|
Software Developer  Software Testing,Mindteck (India) Limited,Hyderabad/Secunderabad|Pune,0-3years,Not Specified,we are hiring for software engineers for mnc companies,QualityControl|SoftwareTester|Testing|SoftwareTesting|
Software Eng (Dev) III,Mindteck (India) Limited,Hyderabad/Secunderabad,7-9years,Not Specified,Our client is a global leader in the gaming industry with over 12000 employees. We are seeking a seasoned JavaScript Developer to join our team to build triple-A quality casino games. We're building authentic games to be played online in a non-gambli,Html5|ReactNative|Java|J2EE|Javascript|jquery|Angular|Maven|Jenkins|
Software Engineer / Senior Software Engineer,Mindteck (India) Limited,Bengaluru/Bangalore|Kolkata,4-9years,Not Specified,"Strong Development Experience using C#, .net. WCF is must (Windows Application Developers). WPF is good to have",CSHARP.DOTNET|WINDOWSAPPLICATIONDEVELOPERS|C#|DotNet|.NET|Wcf|
Software Engineer / Senior Software Engineer,Mindteck (India) Limited,Bengaluru/Bangalore,4-9years,Not Specified,"Expertise on Virtualization, NIC and Networking. Manual testing experience. Experience in Functional testing, Regression Testing",NIC|Network|Networking|ManualTesting|VIRTUALIZATION|
Software Engineer / Senior Software Engineer,Mindteck (India) Limited,Bengaluru/Bangalore,4-9years,Not Specified,"C++, VC++, Win32, SDK, MFC, Must have good exposure in Multithreaded Windows Application Programming, Serial communication, Socket programming, RS 232 protocol, COM, COM+, DCOM",MultithreadedWindowsApplicationProgramming|serialcommunication|RS232protocol|COM|COM+|C++|VC++|Win32|Sdk|Mfc|SocketProgramming|Dcom|
Software Engineer / Senior Software Engineer,Mindteck (India) Limited,Bengaluru/Bangalore,6-11years,Not Specified,Expert in Manual tester. Worked on BMC/SP or any FW Qualification for 6 year,Sp|FW|Bmc|Firmware|ManualTesting|
Software Engineer / Senior Software Engineer,Astral Minds Consulting,Bengaluru/Bangalore,6-8years,Not Specified,Experience on Test Automation using Python. Experience in Platform Domain. Linux Experience at Application Level,TestAutomation|Python|
