jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Java Fullstack Developer,Inventeq Software Services,Bengaluru/Bangalore,3-8years,Not Specified,"Core Java, OOPs, Multi-threading, Generics, and design patterns |  Spring boot, spring integration & REST web services.",anddesignpatternsSpringboot|springintegration&RESTwebservices.|CoreJava|Oops|Multi-threading|Generics|
Java Developer,iNova Software Services,Hyderabad/Secunderabad,1-3years,Not Specified,"We are looking for a Java Developer with experience in building high-performing, scalable, enterprise-grade applications. |    |   You will be part of a talented software team that works on mission-critical applications.",Javadeveloper|Java|CoreJava|Hibernate|Spring|AdvancedJava|
Manual Test Engineer,Virtusa Software Services Private Limited,Bengaluru/Bangalore,1-3years,Not Specified,We are looking for a QA Tester to assess software quality through manual testing. You will be responsible for finding and reporting bugs and glitches.,Manualtest|ManualTesting|SoftwareTesting|TestCase|
Datastage Developer,Inventeq Software Services,Bengaluru/Bangalore,1-3years,Not Specified,We have an immediate requirement for 2 positions with Datastage experience.  |  Responsible for development and maintenance of ETL code using DataStage 11 and above. |  Strong in SQL scripting. |  Experience in Cognos is an advantage |  1 - 3 years of experience,ETLDeveloper|Datastage|IbmDatastage|Iis|Etl|Sql|ibminfosphere|
Java Fullstack,Virtusa Software Services Private Limited,Hyderabad/Secunderabad|Pune,5-10years,Not Specified,JAVA |  Angular2+,Java|Angular|
COE LEad,Apar Peopleworld Software Services Private Limited,Hyderabad/Secunderabad,10-20years,Not Specified,Experience in building a CoE and Lab-as-a-service models |,5G|Wireless|
PEGA PRPC SSA,Apar Peopleworld Software Services Private Limited,Hyderabad/Secunderabad,4-8years,Not Specified,•Experience in design and development of Business Process Management (BPM) and Business Rules Engines (BRE) applications using Pega Systems Pega Rules Process Commander (PRPC 7.1 and above); at least 3 years development experience with Pega PRPC.,PEGA|Prpc|
"((""Java"" AND ""Spring boot"" AND ""Microservice"") AND (""Angular 2"" OR ""Angular 4"" OR ""Angular 10""))",Virtusa Software Services Private Limited,Bengaluru/Bangalore|Delhi,2-7years,Not Specified,Looking for Java Developer,SSEDeveloper/LeadDeveloper|
Solution Architect/ Project Manager,Virtusa Software Services Private Limited,Pune,12-22years,Not Specified,Solution Architect/ Project Manager,Salesforce|SFDC|
Software Developer,Virtusa Software Services Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,5-9years,Not Specified,"Strong 5+ yrs experience in Strong in SQL, Data ware housing, .Net Core/.Net |  Experience in Data Analytics is added advantage |  Should have good communication skills |  Experience in managing source code using Git",.NET|Sql|DataWarehouse|Datawarehousing|Dwh|Dw|C#.net|
Android Developer,Virtusa Software Services Private Limited,SriLanka,2-7years,Not Specified,"•	experience with Java, Kotlin and the Android SDK. |  •	Extensive experience with Reactive Programming, Dependency Injection and automated testing |  •	Well versed in different architectural patterns |",AndroidSDK|Java|
Tech Lead,Virtusa Software Services Private Limited,SriLanka,2-10years,Not Specified,DevOps,CI/CD|Linux|AWS|
Engineer - Salesforce,Virtusa Software Services Private Limited,SriLanka,1-4years,Not Specified,Salesforce Developer  |,Salesforce|force.com|Salesforce.com|SFDC|Visualforce|Apex|
Tech Lead,Virtusa Software Services Private Limited,SriLanka,7-10years,Not Specified,Tech Lead - MS-BI (SSIS/SSRS) Developer,SQLserverintegration|SSIS|Msbi|SQLserver|Ssrs|Mssql|
PEGA SSA Developer (CRM Marketing Domain),Virtusa Software Services Private Limited,Hyderabad/Secunderabad,4-8years,Not Specified,•Experience in design and development of Business Process Management (BPM) and Business Rules Engines (BRE) applications using Pega Systems Pega Rules Process Commander (PRPC 7.1 and above); atLeast 3 yrs development experience with Pega PRPC. |,PegaPrpc|
"Consultant, Senior Consultant",Spadeworx Software Services Private Limited,Bengaluru/Bangalore|Chennai,4-5years,600000 - 1400000 INR,"Java Fullstack Developer (Springboot, Microservices, Angular)",Springboot|SpringBoot|Microservices|Angular|
Urgent need: mobile testing Role,Apar Peopleworld Software Services Private Limited,Bengaluru/Bangalore,1-3years,250000 - 380000 INR,JD for Test Engineer roles : |  Extensive experience in mobile app - Android and iOS testing |  Experience in testing New Product Initative device will be a plus |  Experience in testing mobile app integration  |  Experience in test plans and test cases,MobileApplicationTesting|MobileApplication|AndroidTesting|IosTesting|Linux|MacOs|
UI Developer /UI/ Front end developer,Apar Peopleworld Software Services Private Limited,Pune,3-4years,Not Specified,"|  We are looking for Senior UI Developer with a keen eye for design for the position of Front-end Developer.  |  Senior UI Developer is responsible for ensuring the alignment of web design and user experience requirements, optimizing web pages for maximu",react.js|AngularJs|UiDevelopment|
Dot Net Developer,Infosight Software And Consulting Services Private Limited,Bengaluru/Bangalore|Chennai,4-13years,Not Specified,"Full Time opportunity with A MNC  |  Candidate should have experience on .Net, Web API & SQL |  Experience 4-8 Years |  Job Location: Bangalore/Hyderabad/Chennai",.NET|WebApi|Sql|
GCP SME,Spadeworx Software Services Private Limited,Bengaluru/Bangalore|Chennai,10-20years,Not Specified,GCP Subject matter expert,Gcp|Etl|Dwh|Informatica|
IT Recruiter,Apar Peopleworld Software Services Private Limited,Bengaluru/Bangalore,0-1years,Not Specified,Infosight Consulting is looking to hire FRESHERS for IT Staffing business as a part of expanding our high-performance team.,Freshers|GraduateFresherMbaFresher|BPOFresher|
Looking for Azure BI Architect/ BI Architect _Pune,Apar Peopleworld Software Services Private Limited,Pune,10-12years,Not Specified,"Public Cloud, Private Cloud and Hybrid Cloud are mission critical infrastructure components for many organizations. Azure BI Architect helps organizations derive maximum value out of their business intelligence platforms and data warehousing investme",AzureBI|Ai|BI|BigData|
