jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Software QA Tester,Enigmasoft Technologies Private Limited,Bengaluru/Bangalore|Goa,2-7years,Not Specified,Hiring for Goa and Bangalore,SoftwareTestingLifeCycleandDefectLifeCycle(Manual&Automationboth).Hands-onTestManagementSoftwareandSQLtesttools|creationandunderstandingoftestingartifactsliketestplan|testcase.GoodUnderstandingofWeb/Desktop/Mobile/AP|
Software Tester,Avenue Supermarts Limited,Thane,3-5years,Not Specified,"Good knowledge of business process & best practices around material |  handling, purchase / procurement, warehouse, fleet & route management. |   Knowledge of SDLC, STLC, software testing certifications / knowledge shall be |  an added advantage",SoftwareTester|Testing|SoftwareTesting|AutomationTesting|Manual|TestCase|ManualTesting|TestEngineer|
Software Tester,Mitroz Technologies,Pune,1-3years,110000 - 330000 INR,a Software Testers are responsible for the quality of software development and deployment. They are involved in performing automated and manual tests to ensure the 	software created by developers is fit for purpose,SoftwareTester|Testing|SoftwareTesting|
"Software Test Engineer,Software Tester",Axs Solutions And Consulting Private Limited,Chennai|Mumbai,4-8years,600000 - 1250000 INR,"Employment type Permanent |         Industry of the Employer IT - Software |         Department / Functional Area of the Job Quality (QA-QC), Testing",SoftwareTestEngineer|TestingEngineer|softwareQAmethodologies|SoftwareTester|SeleniumAutomation|CoreJava|
"Fresher Software Test Engineer, Software Tester, Software Testing",URS Systems Private Limited,Bengaluru/Bangalore|Delhi,0-5years,Not Specified,"Fresher Software Test Engineer, Software Tester, Software Testing",Fresher|SoftwareTestEngineer|SoftwareTester|SoftwareTesting|TestEngineer|Tester|
"Fresher Software Test Engineer, Software Tester, Software Testing",Learning Candid India Private Limited,Mumbai|Pune,0-5years,Not Specified,"Fresher Software Test Engineer, Software Tester, Software Testing",Fresher|SoftwareTestEngineer|SoftwareTester|SoftwareTesting|
Software Tester / Quality Analyst,Betamonks Technology Factory Private Limited,Mumbai,2-4years,200000 - 400000 INR,"We are looking for a qualified Software Tester who has experience in Manual testing with bug tracking tools like JIRA, Mantis, BugZilla Etc.",SoftwareTester/softwaredevelopment/FRS/BRS/QualityAnalyst/SoftwareTesting/STLC/SDLC|
Sofware Test Engineer Software Tester Software QA,A V Immigration And Careers Consultancy Private Limited,Hyderabad/Secunderabad,3-8years,Not Specified,"'Sofware Test Engineer', 'Software Tester', 'Software QA', 'Sofware Quality Analyst'",ManualTesting|AutomationTesting|TestCaseExecution|Stlc|Sdlc|Selenium|
Software Tester,A V Immigration And Careers Consultancy Private Limited,Bengaluru/Bangalore|Delhi,3-6years,Not Specified,'•	Core Java (strong core jave knowledge) |  •	J2EE  |  •	Spring (MVC / AOP) |  •	Spring Boot |  •	Struts 2 |  •	Microservices |  •	Jboss / Weblogic /TOMCAT |  •	Web Services ( SOAP / REST) |  •	Database Knowledge |  •	Version Control Software - SVN /  CVS / GIT |,SoftwareTester|
Software Tester,Manheer Singh (Proprietor Of BigBoss Decor),Bengaluru/Bangalore,2-5years,Not Specified,- 2+ years experience as a Functional Software Tester. |  - Develop test designs for verification and validation of product functionality through manual tests |  - Experience testing mobile applications highly preferred |   |,ManualTester|MobileApplication|FunctionalTester|
