jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Solution Architect,Selligence Solutions Private Limited,Coimbatore,15-25years,Not Specified,- 15+years of writing strong production-quality code  |  - .net core 3.x expertise |  - strong SQL database development |  - capable and experienced in optimizing products for mobile devices |  - experience in managing and building cloud-ready applications,.NetArchitect|Azure|.NET|.NET|Sql|SqlDatabase|TestDrivenDevelopment|
AWS Solution Architect,Brain Management Consultants India Private Limited,Bengaluru/Bangalore|Mumbai,9-19years,Not Specified,AWS Solution Architect,AwsSolutionArchitect|Migration|Docker|Jenkins|Kubernetes|
Solution Architect/ Project Manager,Apar Peopleworld Software Services Private Limited,Pune,12-22years,Not Specified,Solution Architect/ Project Manager,Salesforce|SFDC|
No Code Solution Architect,Vividminds Technologies Private Limited,Hyderabad/Secunderabad,4-6years,Not Specified,"We are looking for no code solution designer/architect with strong technical background as well, someone who can pick no code platform functions in Quixy and are comfortable with designing innovative solutions in no code space in Quixy.",application/database/solutiondesign|implementationsofanyno-codeplatforms|design/developmentskills|
Solution Architect,Innointel LLC,Chennai,10-14years,Not Specified,Technical leadership of the Marketplace platform for a construction domain,B2b|B2C|FullStackDeveloper|Javascript|react.js|NodeJS|FrontEndDevelopment|BackendDeveloper|Saas|
AWS SOLUTION ARCHITECT/AWS/CLOUD/AWS,3 Minds ESolutions Private Limited,Bengaluru/Bangalore,7-12years,Not Specified,We are looking for AWS solution Architect for Bangalore location |  Work from Home |,AWS|Cloud|Saas|AwsCloud|
SAP Solution Architect - MM/EWM,Tech Tiera Incorporation,Bengaluru/Bangalore|Hyderabad/Secunderabad,15-20years,Not Specified,We are looking for a SAP Solution Architect with experience in SAP MM/EWM . At least 15+ years of experience required.,SAPECC6.0|S/4HANA|SapMm|SapEwm|SapMm|SapSd|SapPp|
Solution Architect,Best infosystems Ltd,Pune,6-8years,Not Specified,"Should have 6-8 years of relevant industry experience Prior experience with Solution design, POC LAB Standup and validation.",POCLABStandup|SolutionArchitect|SolutionArchitecture|SolutionDesign|StorageSolution|
Solution Architect,Selligence Solutions Private Limited,Coimbatore,15-17years,Not Specified,.Net architects who firmly believe in test-driven development and always deliver simple & elegant solutions |,Acrchitect|.NET|
Solution Architect - I-Java,ThinkApps Solutions Private Limited,Mumbai|Pune,13-14years,Not Specified,Solution Architect - I-Java      Mumbai/Pune,JavaArchitect|
Solution Architect SAP Commerce,UKB IT Solutions Private Limited,Hyderabad/Secunderabad|Mumbai,6-8years,Not Specified,"We at UKB IT Solutions are looking for a Solution Architect with 6Yrs of experience in SAP Commerce , |  The candidate would be responsible for defining  software and product solutions that |   address client business needs levering the SAP CX portfolio.",SAPCloudCommerce|SAPCXportfolio|modernDevOpspractices|eCommerceplatforms|
Solution Architect,Best infosystems Ltd,Pune,6-8years,Not Specified,"Should have 6-8 years of relevant industry experience Prior experience with Solution design, POC LAB Standup and validation.",POCLABStandup|SolutionArchitect|SolutionArchitecture|SolutionDesign|StorageSolution|
Solution Architect,Fishmen Consultancy Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,5-10years,310000 - 850000 INR,Urgent Hiring,Architect|ServiceDesk|SolutionArchitect|Servicedeskanalyst|
Solution Architect,Selligence Solutions Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,8-16years,Not Specified,". Act as visionary and strategist for solution/application area |  2. Survey market landscape for solution/application insights, direction, vendors, and methods |  3. Provide expertise to identify and translate system requirements into software design arte",AssistbusinessdevelopmentlifecyclebyservingasasolutionSMEtohelpidentifyandqualifybusinessdevelopmentopportunities|
Senior Solution Architect,Larsen & Toubro Infotech Limited,Coimbatore,15-20years,Not Specified,Minimum 15 years of Experience is required,.NETFramework|.NetArchitecture|
Devops - Solution Architect,Larsen & Toubro Infotech Limited,Mumbai|Pune,4-12years,Not Specified,Looking for Devops - Solution Architect |,Devops|SolutionArchitect|SolutionArchitecture|
Devops - Solution Architect,Best infosystems Ltd,Chennai|Hyderabad/Secunderabad,4-12years,Not Specified,Looking for Devops - Solution Architect |,Devops|SolutionArchitect|SolutionArchitecture|
Principal Solution Architect,Larsen & Toubro Infotech Limited,Pune,10-20years,Not Specified,"End to End Enterprise Network Architecture including WAN, LAN, WLAN, Perimeter Security and SD WAN",PrincipalSolutionArchitect|Cisco-Architecture|SolutionArchitect|Solutionarchitecture|Cisco|
Devops - Solution Architect,Sharp Point HR Consulting,Bengaluru/Bangalore,4-12years,Not Specified,Looking for Devops - Solution Architect |,Devops|SolutionArchitect|SolutionArchitecture|
Salesforce Lead Architect- Electrical Contracting Firm @ Andheri,Global Technologies,Mumbai|MumbaiCity|NaviMumbai,10-18years,1250000 - 2050000 INR,Salesforce Lead Architect Good Salesforce Exp. with high level designing.,LeadArchitect|SolutionArchitect|TechnicalArchitect|SolutionDesigner|Solutionarchitecture|
Job Opportunity for Solution Architect,Best infosystems Ltd,Delhi|Noida,10-15years,Not Specified,• Done S4 Hana Solution Delivery as a Solution Architect. |  • Government Client Exposure a Must. |  should be from Funcationl module back grounf (Logitics ie. Sd or MM or SCM),Sd|Mm|Scm|Fico|PS|TravelManagement|BPCConsultant|SolutionArchitect|
AWS Solution Architect,SnapHunt Pte Ltd,Pune,8-15years,Not Specified,8+years of experience in AWS Solution Architecture managing projects simultaneously. |  Must have exposure to working with US/UK and other international clients |  Formal advanced certification in required technical and domain skills |  Project planning and s,AWS|Azure|Cloud|SolutionArchitect|
