jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
SQL Database Administrator,Planet One,UK,2-7years,Not Specified,Urgent hiring for SQL DBA & Developer- Apply Now!!,SQLProgrammer|SQLServerProgrammer|SqlServerDeveloper|SQLDeveloper|DatabaseDeveloper|
Database Lead (SQL / Oracle),TechNeurons COnsuting Solutons,Cochin/Kochi/Ernakulam,8-13years,Not Specified,"We are looking for a Database Lead to design and develop high-quality databases, analyze existing queries for performance improvements, and must have an excellent understanding of T-SQL Programming. |",C#|VB.Net|Ssas|Ssrs|Asp.Net|SQLDeveloper|Oracle|SSIS|Asp.netMvc|
"Oracle database administrator, BDA, SQL Developer,  Oracle Developer",Sunquest Information Systems (India) Private Limited,Mumbai|Pune,0-5years,Not Specified,"Oracle database administrator BDA SQL Developer, Oracle Developer",BDA|OracleDatabaseAdministrator|SQLDeveloper|OracleDeveloper|
Opening for SQL Database Administrator,Outworks Solutions Private Limited,Kolkata,3-5years,Not Specified,"Perform essential database functions from development through production including but not limited to database installations, upgrades, troubleshooting, and conversions for both client based and cloud hosted products.","""sqldba""|DatabaseAdministrator|DatabaseAdmin|Dba|"
"Fresher Oracle database administrator, BDA, SQL Developer,  Oracle Developer",Selligence Solutions Private Limited,Bengaluru/Bangalore|Delhi,0-5years,Not Specified,"Oracle database administrator BDA SQL Developer, Oracle Developer",Fresher|BDA|OracleDatabaseAdministrator|SQLDeveloper|OracleDeveloper|OracleDba|
SQL Server DBA,3 Minds ESolutions Private Limited,Pune,3-5years,Not Specified,"SQL Server DBA duties and responsibilities |  •         Manage SQL Server databases. |  •         Configure and maintain database servers and processes. |  •         Monitor system's health and performance. |  •         Ensure high levels of performance, availab",SQLServer|SqlServerDba|SqlAdministration|SqlDatabase|Sql|
Solution Architect,Harjai Computers Private Limited,Coimbatore,15-25years,Not Specified,- 15+years of writing strong production-quality code  |  - .net core 3.x expertise |  - strong SQL database development |  - capable and experienced in optimizing products for mobile devices |  - experience in managing and building cloud-ready applications,.NetArchitect|Azure|.NET|.NET|Sql|SqlDatabase|TestDrivenDevelopment|
Senior SQL Admin/Developer,Parahit Technologies Limited,Chennai|Mumbai,5-15years,Not Specified,"This role is for an experienced Database Administrator/Developer who is technically skilled in the full life cycle management of Databases for an organization.The role is not just limited to Administration, but the individual should be highly skilled",Sql|SQLServer|SqlAdministration|SQLDeveloper|DatabaseDeveloper|SqlServerDba|
SQL Database Administrator,Akken Technologies Private Limited,Mumbai|MumbaiCity|NaviMumbai,3-7years,Not Specified,Very Urgent opening for SQL DBA,DatabaseAdministrator|Sql|Dba|
Java Developer / Java Programmer / Java / Software Engineer / Software Programmer,Global Technologies,Kozhikode/Calicut,2-5years,Not Specified,Looking for Java Developer / Java Programmer,Javadeveloper|Java|Mysql|Sql|Database|
MySQL Developer,Best infosystems Ltd,Hyderabad/Secunderabad,5-10years,Not Specified,"We are looking for a MySQL developer who will be responsible for designing databases and ensuring their stability, reliability, and performance. You will help solve all database usage issues and come up with ideas that can help avoid such problems.",DataWarehouseDeveloper|Mysql|SQLDeveloper|SQLserver|DatabaseDeveloper|
Technical Specialist - Database,Best infosystems Ltd,Mumbai,4-12years,Not Specified,Experienced in defining & realizing end-to-end Database Architecture for large scale enterprise systems. |  Excellent experience in improving performance and scalability of very large databases (1 Terabyte+) supporting large,Oracle|DatabaseArchitecture|Tuning|Sql|MSSQL|
SQL DBA,Shalitin Immigrations LLP,Chennai,2-8years,Not Specified,Looking for SQL DBA,SqlDba|SqlDatabase|SqlServerDba|SqlServerDatabase|
SSIS,Axon International Coaching and Consulting,Bengaluru/Bangalore,4-10years,Not Specified,Looking for SSIS,QueryingSQLDatabase|SSIS|DataManagement|MsSqlServer|
"Data Analyst Required For Canada, Singapore & Gulf",SummitWorks Technologies Private Limited,Canada|Singapore,2-5years,3000000 - 5400000 INR,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions.",DataAnalyst|PL/SQLDeveloper|datafusion|BusinessAnalysis|Financialanalysis|ResearchAnalyst|DataMining|SqlDatabase|Oracle|DatabaseDeveloper|AlgorithmDevelopment|algorithmanalysis|OptimizationAlgorithms|
"Java Developer, Dot Net with angular, Angular developer",Yew Technologies,Chennai,4-9years,Not Specified,1. Java developer (4-7years experience) |  2. Dot Net with angular (3years experience) |  3. Angular developer (4-8years experience),Dotnet|AngularJs|Java|Oracle|C#|EntityFramework|SqlDatabase|
Contract opening with CMMI Level-5 company For SQL Developer-Chn/Bngl,Azine Technologies,Bengaluru/Bangalore|Chennai,7-15years,Not Specified,Excellent Opening for SQL Developer - Chennai / Bangalore - Contract with CMMI Level-5 company |   |,Sql|SQLServer|SQLDeveloper|DatabaseDeveloper|
.Net Developer  / .Net Programmer / Asp .net / MVC,ALLEGIS SERVICES (INDIA) PRIVATE LIMITED (RPO),Surat,0-4years,Not Specified,We are currently looking for a candidate of 0 to 4 years of experience in the .net C#field for Surat Location and who has a minimum computer graduation qualification.,.NetC#|MVCAngularJs|SqlDatabase|
SQL developer/Database administrator,Paktolus Solutions,Ahmedabad,3-8years,Not Specified,"We are looking for SQL developer/Database administrator to develop SQL queries, procedure, function reports to enhance database productivity with database management support and administration.",DatabaseAdministrator|Views|PowerBi|DatabaseSecurity|Functions|Triggers|SSIS|Troubleshoot|SqlDba|Tables|MYSQL|Datamodelling|ScriptsForms|
Senior MySQL Database Administrator,SDL Multilingual Solutions Private Limited,Bengaluru/Bangalore|Noida,8-12years,Not Specified,Opportunity with leading Multi-media software product organization.Get exposer working in multiple databases. |   |,MySQLDBA|MySQLDatabaseAdministrator|rightscale|Monyog|SqlDba|SqlDatabase|SqlServerDba|SqlServerDatabase|AWS|Cloudwatch|Datadog|Zabbix|
SQL Developer,Encora Innovation Labs India Private Limited,Bengaluru/Bangalore|NaviMumbai,3-5years,Not Specified,Creating/updating/optimizing stored procedures. |  Database designing. |  Database maintenance. |  Proactively working on the project to provide the scope of improvements. |  Reporting skills. |  Working on MS SQL and Google Data Studio.,windowslogshipping|DatabaseDesign|MSSQL|SqlDevelopment|SQLServer|SqlServerIntegrationServices|
Cloud Operations Engineer at RWS Group,Osmose Technology Private Limited,Bengaluru/Bangalore,5-10years,800000 - 1200000 INR,The Cloud Operations Engineer will act as a highly-visiible solution engineer contributing to the improvement of the service and the service delivery processes in support of key customers’ change requests during the full lifecycle of the contracts.,Cat|Tridion|ApplicationSupport|SqlDatabase|Java|WindowsServer|
Data Engineer - Python,Best infosystems Ltd,Bengaluru/Bangalore,5-8years,Not Specified,Looking for a Data Engineer to build and support the Data Analytics Platform.,DataEngineer|Python|SqlDatabase|Nosql|MongoDB|Json|Xml|
