jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
c# angular,Orcapod Consulting Services Private Limited,Chennai,7-10years,Not Specified,•	Good hands on experience in C# language |  •	API creation using Dot Net core  |  •	Good hands on experience in writing LINQ Queries (IMPORTANT) |  •	Angular – experience with higher version + Rx JS operators,C#|.NET|Linq|AngularJs|angular.js|SqlQueries|
Talend Developer-Senior Software Engineer,Sigma Consultancy Services,Remote,3-5years,400000 - 700000 INR,•	At least 4-5 years of Total experience |  •	Minimum 2 years of work experience as ETL developer |   |,ETLDeveloper|SqlQueries|DataModeling|
Oracle database administrator,Acute Informatics Private Limited,Ahmedabad,1-2years,Not Specified,We are having an Urgent Opening for the post of Oracle DBA at Ahmedabad Location.,OracleDba|SqlQueries|
Tableau Developer,MVK Staffing Services Private Limited,Mumbai|Pune,1-4years,310000 - 650000 INR,Urgent Hiring,Graphs|TaleauPrep|TableauDeveloper|wireframedesign|Tableauserver|Desktop|SqlQueries|Tableau|TableauDesktop|
Data Engineer/Technical Architect,Sigma Consultancy Services,Bengaluru/Bangalore,7-15years,Not Specified,We are hiring on Data Engineer and Technical Architect,AzureDatabricks|Salesforce|AmazonS3Storagebucket|T-SQLqueries|AzureDataFactory|GoogleAnalytics|SAP|
Angular Plus .Net Lead,Aequor Information Technologies Priivate Limited,Remote,5-8years,800000 - 1000000 INR,"The consultant/Freelancer will be responsible for managing the software projects that are developed using Angular,.NET,SQL Server Full stack Lead",.NET|WebApi|EntityFramework|SqlQueries|Html5|Angular|Linq|
Data Stage ETL,Bharti Soft Tech Private Limited,Chennai,3-5years,Not Specified,"Dear Aspirants, |   |  A US based company in Chennai is hiring for Data Stage Consultant..  |  Excellent career growth & learning opportunities are there. |  Notice : Immediate to 15days only |  Note : WFO (changes might happen based on pandemic situation) |",DataStage|Etl|Informatica|Workflow|SqlQueries|
AWS developer,Betamonks Technology Factory Private Limited,Bengaluru/Bangalore|Pune,4-9years,Not Specified,"•	Should have worked as AWS Developer at least 4+ yrs. and minimum of 2 projects. |  •	Should and must know AWS expert level knowledge on Python, PySpark, AWS Components EC2, Glue, Lambda,  Cloud Watch |  •      AWS EMR, CI/CD, CDK Scripting",CI/CD|AWS|CloudWatch|Python|Pyspark|Ec2|Etl|Lambda|SqlQueries|
Risk Analyst,Simext Technologies Private Limited,Vadodara,5-10years,Not Specified,"Conducting an analysis of the loan portfolio |  Construction of various models (credit scoring, collection scoring, behavioral scoring, fraud scoring, etc.) and rules for assessing credit risks in making decisions",Analytical|SAS|Python|StatisticalAnalysis|SqlQueries|
Junior Executive – SQL / Tech Support,Thirdware Solutions Limited,Chennai|NaviMumbai,Fresher,Not Specified,We are looking for Freshers having SQL knowledge,BankingOperations|BackOfficeOperations|Sql|TechnicalSupport|SqlQueries|Support|
Java J2EE Web Service Software Developer Lead Programmer ERP Adempiere,Angel And Genie,Mumbai,2-5years,Not Specified,"* Design and Development in Java, J2EE, Web Services |   * Database: SQL Queries, PostgreSQL, MySQL, Oracle, Microsoft SQL Server |   * Reporting / BI Tools: Jasper / iReport |     |   * SCM and ERP software products and solutions",Development|Coding|Programming|Java|CoreJava|J2EE|Servlets|Beans|Ejb|Jsp|WebServices|Database|SqlQueries|PostgreSQL|MySQL|Oracle|MicrosoftSqlServer|DatabaseDesigning|
Tableau Developer,Angel And Genie,Chennai|Gurgaon/Gurugram,0-4years,310000 - 550000 INR,Urgent Hiring,Graphs|TaleauPrep|TableauDeveloper|wireframedesign|Tableauserver|Desktop|SqlQueries|Tableau|TableauDesktop|
"Qlikview Developer - Thirdware, Chennai",Vishal Sudhir Shah (Proprietor Of Cherry On Top),Chennai,5-10years,Not Specified,Thirdware Solution Limited is a multinational IT Business and Consulting Company in Enterprise Application Space (EAS) is recruiting Qlikview Developers for Chennai operations.,qlikviewdevelopment|QlikviewDeveloper|DataVisualization|Qlik|SqlQueries|Plsql|
Business Analyst-NBFC(Financial Services)-Bangalore-3-5yrs-7-8lakhs,ATS Services Pvt Ltd,Bengaluru/Bangalore,3-5years,Not Specified,Business Analyst-NBFC(Financial Services)-Bangalore-3-5yrs-7-8lakhs,BusinessAnalyst|BA|BusinessAnalysis|SqlQueries|SystemAnalysis|Coding|Testing|UserAcceptanceTesting|
Business Analyst-NBFC(Financial Services)-Bangalore-5-7yrs-8-10lakhs,Peoplefy Infosolutions Private Limited,Bengaluru/Bangalore,3-5years,Not Specified,|  Business Analyst-NBFC(Financial Services)-Bangalore-5-7yrs-8-10lakhs,BusinessAnalyst|BA|BusinessAnalysis|SqlQueries|SystemAnalysis|Coding|Testing|UserAcceptanceTesting|
SIEBEL,Angel And Genie,Canada,5-15years,Not Specified,"Great opportunity for the Siebel who are looking to immigrate to Canada on PR Visa, on PR visa you can work and settle in Canada, to apply to contact Mohini 7042555753 or share your resume at [HIDDEN TEXT]",ApplicationDesigning|ApplicationsImplementation|SiebelImplementation|CRM|PSP|Siebel|OracleCrm|SqlQueries|SiebelEai|Debugging|SiebelConfiguration|Informatica|Oracle|Scripting|
Support Executive,Angel And Genie,Mumbai|MumbaiCity,0-3years,Not Specified,We are having urgent opening for Support Executive profile,Sql|SQLServer|MsSqlServer|SqlQueries|
PL/SQL Developer,C P Careers Private Limited,Faridabad,3-5years,Not Specified,"•	Plan, design, and implement application database code objects, such as stored procedures and views. |  •	Work closely with developers, business analysts to define database involvement, test plans & test cases |  •	Build and maintain SQL scripts, indexes",PL/SQLDeveloper|SQLDeveloper|SQLserverdeveloper|TOAD|SqlQueries|
