jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
SQL Server DBA,Outworks Solutions Private Limited,Pune,3-5years,Not Specified,"SQL Server DBA duties and responsibilities |  •         Manage SQL Server databases. |  •         Configure and maintain database servers and processes. |  •         Monitor system's health and performance. |  •         Ensure high levels of performance, availab",SQLServer|SqlServerDba|SqlAdministration|SqlDatabase|Sql|
".NET , ado.net, sql server",Voqeoit Technologies,Delhi|Gurgaon/Gurugram,3-8years,Not Specified,"•	Solid understanding of Web Server development (HTML5, Java Script, NPM, Type Script, C#, JSON, XML, ASP.NET, and Web Services).  |  •	Proven Responsive UX development skills (HTML5, Java Script, CSS, Angular)  |  •	Strong working knowledge of Microsoft S","""STOREDPROCEDURE|Ado.net|PL/SQL|HTML|"
SQL Server DBA,MLogica Computech India Private Limited,Pune,5-10years,Not Specified,MLOGICA is looking for a Senior DBA in SQL with minimum 5+ years to 10 Years of IT experience and as a DBA.,DatabaseAdministrator|SqlServerDba|Dba|OracleDba|SqlDba|SQLServer|SSIS|Ssrs|Saas|
Senior SQL Admin/Developer,3 Minds ESolutions Private Limited,Chennai|Mumbai,5-15years,Not Specified,"This role is for an experienced Database Administrator/Developer who is technically skilled in the full life cycle management of Databases for an organization.The role is not just limited to Administration, but the individual should be highly skilled",Sql|SQLServer|SqlAdministration|SQLDeveloper|DatabaseDeveloper|SqlServerDba|
Senior ASP.Net WEB Developer for Fresher as well as Experience,Career Mantra Management Services,Mumbai|Pune,0-2years,130000 - 240000 INR,Creative knowledge in Designing Should be young self-motivated. |  Must be an excellent & creative team-player with strong time management Contribute to different projects either independently with your team. good communication & must be disciplined.,Web|Oops|Net|Asp|Net|SQLServer|
Database Developer,Team Management Services,Pune,3-7years,Not Specified,"The candidate will be looking after designing logical and physical data models along with collaring, preparing, and presenting statistical relevant information.",MsSqlServer|Ssrs|
SQL Programmer / DBA,Comfyi Solution,Chennai,0-5years,Not Specified,To work as a programmer in SQL server.Walkin for an interview immediately with 2 hard copies of resumes for a technical interview to the below address.,"""SqlserverDBA""|""SQLServerDeveloper""|""mysql""|SQLProgrammer|Tsql|Triggers|"
SQL Database Administrator,Planet One,UK,2-7years,Not Specified,Urgent hiring for SQL DBA & Developer- Apply Now!!,SQLProgrammer|SQLServerProgrammer|SqlServerDeveloper|SQLDeveloper|DatabaseDeveloper|
Hiring for .Net / MVC / SQL Server Developers,Izee Manpower Consultancy Private Limited,Bengaluru/Bangalore,5-7years,Not Specified,Industry:IT/Software |   |  Work Location:Bangalore,.NetDeveloper|Localization|.NETFramework|SQLDeveloper|Mvc3/4|Css3|Asp.Net|JqueryUi|AngularJs|SQLServer|
ASP Net Developer,S P A Enterprise Info Services India Private Limited,Hyderabad/Secunderabad,5-8years,600000 - 950000 INR,Professionals having expertise in AS.NET Application development,Asp.Net|C#|SQLServer|AngularJs|Javascript|AJAX|Jquery|Jscript|SQLServer|
SQL Server integration,ThinkApps Solutions Private Limited,Bengaluru/Bangalore|Mumbai,3-6years,Not Specified,Job | Urgent Opening for IT US Based Company   SQL Developer -    Bangalore/Noida/Mumbai/Chennai/Pune,SQLDeveloper|SSIS|Ssas|Ssrs|Etl|
ETL Informatica,Siera IT Services Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,5-10years,Not Specified,"Hands on Informatica technical knowledge in the areas on Informatica Designer Components -Source Analyzer, Warehouse Designer, Mapping Designer & Mapplet Designer, Transformation Developer, Workflow Manager , Workflow Monitor, Understand reusability,",SQLServer|Oracle|
SQL Developer,Paktolus Solutions,Bengaluru/Bangalore|NaviMumbai,3-5years,Not Specified,Creating/updating/optimizing stored procedures. |  Database designing. |  Database maintenance. |  Proactively working on the project to provide the scope of improvements. |  Reporting skills. |  Working on MS SQL and Google Data Studio.,windowslogshipping|DatabaseDesign|MSSQL|SqlDevelopment|SQLServer|SqlServerIntegrationServices|
