jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Database Developer,Team Management Services,Pune,3-7years,Not Specified,"The candidate will be looking after designing logical and physical data models along with collaring, preparing, and presenting statistical relevant information.",MsSqlServer|Ssrs|
Job Opening for SSRS/SSAS/SSIS Professionals,Team Ace HR LLP,Pune|MumbaiCity,5-10years,Not Specified,Hiring for SSRS/SSAS/SSIS,sis|Ssrs|Ssas|
Job Opening for SSRS/SSAS/SSIS Professionals,Team Ace HR LLP,Bengaluru/Bangalore|Chennai,5-10years,Not Specified,Hiring for SSRS/SSAS/SSIS,sis|Ssrs|Ssas|
POWERBI - MODULE LEAD/ TECHNICAL LEAD,Best infosystems Ltd,Bengaluru/Bangalore,4-10years,Not Specified,Looking for POWERBI - MODULE LEAD/ TECHNICAL LEAD,PowerBi|SSIS|Ssrs|Sql|
SSRS - Module Lead,Best infosystems Ltd,Chennai,5-7years,Not Specified,Looking for SSRS -- Module Lead,callflow|ImpactAnalysisReport|Ssrs|PowerBi|UnitTesting|
MSBI Developer,Artemis Technologies,Hyderabad/Secunderabad,5-8years,Not Specified,|  Opportunity for MSBI Developer @ US Based Company |   |,Msbi|Ssas|SSIS|Ssrs|Sql|
Power Bi Developer,Brace infotech private limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,5-10years,Not Specified,"Looking for Power Bi Developer with ssis,ssrs and Tabular, Dax Experience",tabular|dax.|PowerBi|Ssrs|ssis|
Excellent Opportunity Oracle/MS SQL Developer - Mumbai Loction,Stryde Consulting Services,Mumbai|MumbaiCity|NaviMumbai|Thane,5-10years,Not Specified,"Oracle PLSQL/MS SQL, SQL/T-sql, Exposure to any ETL tool, SSIS/SSRS/SSAS",MSSQLDeveloper|OracleDeveloper|OraclePLSQL|MYSQL|Sql|Tsql|EtlTools|SSIS|Ssrs|Ssas|
Tech Lead,Virtusa Software Services Private Limited,SriLanka,7-10years,Not Specified,Tech Lead - MS-BI (SSIS/SSRS) Developer,SQLserverintegration|SSIS|Msbi|SQLserver|Ssrs|Mssql|
SQL Developer- CHS,Teejay Global Infotech Services LLP,Hyderabad/Secunderabad,5-12years,Not Specified,"Ensure performance, security, and availability of databases. · Core experience to build complex SQL Queries and implement indexing in Database to perform computing on large scale Databases. · Experience in Database modelling, analysis, developing pr",Sql|PerformanceTuning|SSIS|Ssrs|
CRM Developer,Precision It Solutions Private Limited,Bengaluru/Bangalore|Gurgaon/Gurugram,4-9years,Not Specified,Position: CRM Developer  |  Location: WFH/Bangalore  |  Duration: 6 Months Contract to Hire  |   |,CRMDeveloper|CRM|MicrosoftDynamics2016|365CRM|Javascript|SQLServer|REST|Ssrs|Soap|Xml|Dhtml|
"Data Modeler  with SSIS,SSAS,SSRS,Strong SQL",Keen Bright Solutions Llp,Hyderabad/Secunderabad,5-9years,509999 - 910000 INR,Data Modeler,DATAMODLER|DimensionalModeling|DataWarehousing|DataModeling|
Database Architect,3i Infotech Limited,Hyderabad/Secunderabad,10-12years,Not Specified,Database architect,Etl|Nosql|MongoDB|Powerbi|Ssrs|SSIS|Ssas|
SQL with Asp.Net with SSIS and SSRS,Klaus It Solutions Private Limited,Mumbai|MumbaiCity|NaviMumbai|Thane,4-12years,Not Specified,SQL with Asp.Net with SSIS and SSRS with minimum 5 years exp.,SSIS|Ssrs|Sql|ASP.net|C#|
Power BI,A Thingz Solutions Private Limited,Noida,4-8years,Not Specified,"Power BI  |   |  Job Details: |    |  •          Work Location - Noida, |  •          Experience - 5 years to 8 years |  •          Notice period Immediate or 30 days only eligible |  Fulltime with Klaus IT, deputation at one of our reputed Client",BusinessIntelligence|Powerbi|Sql|Ssas|Ssrs|SSIS|
Sr MSBI Developer,Provance Business Consulting Private Limited,Hyderabad/Secunderabad|Visakhapatnam,7-10years,Not Specified,Sr MSBI Developer,Ssrs|SSIS|Sql|
Senior .Net Development Engineer,Provance Business Consulting Private Limited,Bengaluru/Bangalore|Chennai,6-8years,Not Specified,"Senior .Net Development Engineer |  Microsoft SQL Server, SSRS, CI CD, SSIS Package Development |  Exp-6 to 8 years |  Location-Bangalore/Chennai",CICD|SSISPackageDevelopment|MicrosoftSqlServer|Ssrs|
ETL Testing,Teleperformance Global Services Private Limited,Hyderabad/Secunderabad,4-14years,Not Specified,"|  ETL Testing Skills : ETL, SSRS, SSAS, DW, Informatica, Tableau, MS SQL.",MSSQL.|Etl|Ssrs|Ssas|Dw|Informatica|Tableau|
Senior .Net Development Engineer (Sagezza),Select Source International Private Limited,Bengaluru/Bangalore,6-8years,700000 - 1200000 INR,"Good To Have Skills       : Microsoft SQL Server, SSRS, CI CD, SSIS Package Development |   |  Must Have Skills            : C#, TDD, ADO.NET, SOLID principles, ASP.NET, .Net, MVC",SQLServer|Ssrs|SSIS|C#|Ado.net|Asp.Net|Mvc|
SQL Developer,TechNeurons COnsuting Solutons,Gurgaon/Gurugram,4-6years,Not Specified,"Develop Complex ETL and Analytics Programs using SQL, Store Procedures and various query tools.",SQLDevelopement|SQLDeveloper|T-sql|Sql|Ssas|Ssrs|MsSqlServer|
MSBI Architect,Best infosystems Ltd,Chennai|Cochin/Kochi/Ernakulam,7-16years,Not Specified,"MSBI, MS SQL, SSIS, SSRS",MSBISSISSSRSSqlServer|
Database Lead (SQL / Oracle),Macropace Technologies,Cochin/Kochi/Ernakulam,8-13years,Not Specified,"We are looking for a Database Lead to design and develop high-quality databases, analyze existing queries for performance improvements, and must have an excellent understanding of T-SQL Programming. |",C#|VB.Net|Ssas|Ssrs|Asp.Net|SQLDeveloper|Oracle|SSIS|Asp.netMvc|
POWER BI SUPPORT,ThinkApps Solutions Private Limited,Hyderabad/Secunderabad,3-6years,Not Specified,"Candidate should have overall 3 to 5 years in Infra experience, in that strong experience in Power BI/SQL BI with 1-2 years of experience on SSIS, SSRS, SSAS, Windows, and SQL Server",PowerBIsupport|BIsupport|PowerBi|SSIS|Ssrs|Ssas|Windows|SQLserver|
