jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Urgent hiring for air ticketing,2COMS Consulting Private Limited,Chennai|Hyderabad/Secunderabad,0-5years,380000 - 740000 INR,"Airline ticket agents sell tickets at airports or downtown ticket offices. They also assign seats for passengers and rebook passengers who miss their flights. They often answer questions about airline schedules, fares, hotels, and taxis |          |         Read more: A",AirTicketing|AirHostess|CabinCrew|Frankfinn|Avalon|SR.CabinCrew|
Urgent  hiring for ground staff,2COMS Consulting Private Limited,Bengaluru/Bangalore|Delhi,0-5years,270000 - 670000 INR,"We are looking for energetic Ground Staff to be responsible for administrative duties and communication with passengers. Your duties will include welcoming passengers, providing information, assisting passengers who are disabled or are traveling with",GroundStaff|CabinCrew|GuestRelation|GuestRelationExecutive|Airhostess|Hostess|Aviation|Sr.CabinCrew|
Hiring for Cabin Crew,2COMS Consulting Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,0-5years,260000 - 780000 INR,"As a cabin crew member, you'll provide excellent customer service to passengers while ensuring their comfort and safety throughout the flight. Serving refreshments and meals and selling gifts and duty-free items are all part of the job.",CabinCrew|CabinAttendant|exterior|OuterBody|Pillers|Seats|
hiring for air ticketing,2COMS Consulting Private Limited,Hyderabad/Secunderabad|Pune,0-5years,280000 - 860000 INR,"Ticket agents greet airline customers, help check baggage, and assign seats on the aircraft. This role involves a large amount of customer service as well as lifting larger bags onto the belt behind the counter. These airline representatives are resp",AirTicketingExecutive|AirTicketing|CabinCrewActivities|GroundStaff|
Urgent hiring for the airline jobs,2COMS Consulting Private Limited,Bengaluru/Bangalore|Lucknow,0-5years,260000 - 770000 INR,"'To provide all necessary help and support to passengers as required by our customer airlines which may |   include check in, baggage processing, reservations and ticketing, boarding of flights, air-bridge |   operation, greeting arriving passengers, handlin",CommunicationSkills|Criticalthinkingskills|PeopleSkills|PositiveAttitude|
Hiring for airport job roles.,2COMS Consulting Private Limited,Hyderabad/Secunderabad|Thane,0-3years,280000 - 869999 INR,"Job Description |     (Urgent opening for Any Under Grad/Graduated holders) |     Dear candidates, |     Requirement available in Air Ticketing / Ground Staff/ Cabin Crew/ Air Hostess. |",Teamwork|PositiveAttitude|PeopleSkills|Criticalthinkingskills|Communicationskills.|
urgent hiring for cabin crew/ground staff,2COMS Consulting Private Limited,Mumbai|Noida,0-5years,260000 - 670000 INR,"Specialist recruitment agencies advertise roles on behalf of major commercial and budget airlines from across the globe. Providers of training courses often have close links to recruitment agencies and airlines, which can be helpful.",CabinCrew|GroundStaff|GuestRelation|GuestRelationExecutive|Airhostess|Hostess|Sr.CabinCrew|Aviation|
"job openings in airport ground staff, air ticketing and cabin crew job profiles.",2COMS Consulting Private Limited,Delhi|Jaipur,0-5years,260000 - 770000 INR,We are Hiring for the jobs for the position of Air Ticketing / Ground Staff / Cabin Crew / Maintenance Engineer,CommunicationSkills|Criticalthinkingskills|PeopleSkills|PositiveAttitude|Teamwork|
"Urgent Hiring for the Ground Staff, Ground Handling, Ground Hostess and Ground Service Assistant.",2COMS Consulting Private Limited,Delhi|Mumbai|MumbaiCity|NaviMumbai|Thane,Fresher,Not Specified,"We are looking for energetic Ground Staff to be responsible for administrative duties and communication with passengers. Your duties will include welcoming passengers, providing information, assisting passengers who are disabled or are traveling.",CommunicationSkills|Criticalthinkingskills|PeopleSkills|PositiveAttitude|Teamwork|Honesty|Leadership|Knowingyourlimitations|Dependabilityandreliability|WorkEthic|
Urgent Hiring for the  Airlines and Airport work.,2COMS Consulting Private Limited,Ahmedabad|Kolkata,Fresher,Not Specified,"Dear Candidate, |                  We are hiring for Airport Job roles as a Ground Staff, Ground Crew, Ground Handling, Ground Service Assistance, Air Ticketing, Air Ticketing Executives, Cabin Crew, Cabin Attendant and Cabin Crew activities...",CommunicationSkills|TimeManagementSkills|Flexibilityskills|Globalskills|TeamworkSkills|Interpersonal&sensitivityskills|Analysingandevaluatingskills|PositiveAttitude|EmotionalIntelligence|Leadership|Healthypeopleskills.|
Urgent Hiring For the Airport Air Ticketing and Air Ticketing Executives.,2COMS Consulting Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,Fresher,Not Specified,"Airline Ticketing Executive is an individual who is responsible for booking flight tickets and handle reservations for customers. Airline Ticketing Executives directly interact with customers, answer customer questions about flight timings and seat.",CommunicationSkills|Criticalthinkingskills|PeopleSkills|PositiveAttitude|Teamwork|Honesty|Leadership|Knowingyourlimitations|Dependabilityandreliability|Workethic.|
"Urgent Hiring For The Ground Staff, Ground Crew, Air Ticketing and Cabin Crew Job Profiles.",2COMS Consulting Private Limited,Chennai|Cochin/Kochi/Ernakulam,Fresher,Not Specified,"Hiring For The Airline Professional typically works on a plane or at an airport. This includes a range of job positions like Ground Staff, Air Ticketing, Ground Crew, Cabin Crew and Cabin Crew Activities etc.",CommunicationSkills|Criticalthinkingskills|PeopleSkills|PositiveAttitude|Teamwork|Honesty|Leadership|Knowingyourlimitations|vDependabilityandreliability|Workethic.|
