jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Staff Nurse Executive,Hire Zone Solution,Delhi,0-1years,350000 - 550000 INR,Nurse,StaffNurses|
Staff Nurse,GITA Power & Infrastructure Private Limited,Chennai,1-5years,Not Specified,Occupational Health Centre - Staff  Nurse,FirstAid|Cpr|ConductingHealthinspection|Conductingperiodicalmedicalscreening|ArrangementofHealthAwarenesssessions|
"Medical Coding Jobs - Nursing,ANM,GNM,Female Nurse, Staff Nurse, Midwifery, DGNM, Registered Nurse",Achievers Spot,Chennai|Karaikudi,0-4years,350000 - 400000 INR,Medical Coding is the process of conversion of text information related to healthcare services into numeric Diagnosis (Medical Problems) and Procedure (Treatments)Codes using ICD-10 CM and CPT code books. Healthcare including Medical Coding and Billi,MedicalCoding|Pharmacy|Physiotherapy|Nursing|StaffNurse|FemaleNurse|StaffNurse|Midwifery|DGNM|RegisteredNurse|dgnm|femalenurse|LifeScience|paramedical|medicalcoder|
Need Staff Nurse,Hire Zone Solution,Lucknow,0-1years,360000 - 520000 INR,Staff Nurse,StaffNurse|
Staff Nurse ( Male),Labridge Consulting,Kullu/Manali,1-2years,Not Specified,Designation:Staff Nurse ( Male) |  Experience: 1+ Year |  Location: Manali |  Mode: Full Time |  Education: Bsc -Nursing,StaffNurse|Male|Bsc|Nursing|
NICU Staff Nurse,Carepro Global,Bengaluru/Bangalore,1-10years,Not Specified,1. NICU or PICU Nurses |  2. Educational Qualification: B.Sc. Nursing or GNM |  3. Experience: 1+ years |  4. KNC Nursing Registration is a must |  5. Female nurses only |  6. Rotational shift,Nursing|
Sr. Staff Nurse,Gretis India Private Limited,Bengaluru/Bangalore,1-3years,150000 - 220000 INR,`Urgently required Sr. Staff Nurses for a Reputed Hospital in Bangalore Location.  |,Gnm|Nurse|StaffNurse|Nursing|DiplomaNurses|
Staff Nurse reqd. in Canada & Australia,Shalitin Immigrations LLP,Australia|Canada,3-8years,5000000 - 6000000 INR,"Nurse who provides high-quality care to employees of a company, residents of nursing homes/patients in a hospital.They are responsible for initial patient assessment, monitoring patients vital signs, nurturing patients to recovery.",StaffNurse|Malenurse|Headnurse|ICUStaffNurse|CriticalCare|Gnm|IntensiveCareUnit|CtScan|CTsummation|Nursing|OperationTheatreNurse|Radiologist|NursingSuperintendent|HealthCare|ColorDoppler|
Urgent Need a Staff Nurse,STT Solution,Amritsar|Bhatinda,0-4years,200000 - 380000 INR,Urgent Need a Staff Nurse,Nurse|StaffNurse|Gnm|ANM|Malenurse|Registerednurse|Headnurse|Midwifery|
Staff Nurse,Infinix Immigration Service Private Limited,Canada|Germany,2-7years,2500000 - 5000000 INR,Staff Nurse reqd. in Canada & Germany,StaffNurses|NursingBachelors|Nurse|Gnm|StaffNurse|Malenurse|Registerednurse|Headnurse|Midwifery|IcuNurse|ANM|OperationTheatreNurse|
Staff Nurse,Redeem Consulting Services (Opc) Private limited,Ireland|UK,1-11years,2500000 - 4000000 INR,"Urgent requirement for Nurses and Doctors in India, U.K, Ireland and Gulf Countries",Nurse|StaffNurse|Malenurse|Registerednurse|Headnurse|Midwifery|Gnm|Doctor|MBBSs|MedicalOfficer|Medicine|
Staff Nurse Executive Freshers,Hire Zone Solution,Delhi,0-1years,440000 - 520000 INR,"She will fulfil all basic needs (hygienic need, nutritional need etc) of the patients. She will provide comfort to the patient and maintain safety of the patient.",StaffNurses|
Staff Nurse Urgent Required in Canada / Australia,I2canz Outsourcing Private Limited,Australia|HongKong,2-10years,Not Specified,General duty registered nurses,Gnm|StaffNurse|Nursing|
HOME CARE NURSE - CHENNAI,Falcon Multi Services Limited,Chennai,2-12years,Not Specified,URGET REQUIREMENT FULL TIME HOME CARE NURSE FOR CHENNAI LOCATION,Nurse|MaleMalenurse|Malenurse|StaffNurse|
OPENING FOR STAFF NURSE AT UTTARAKHAND,T & M Services Consulting Private Limited,Dehradun,1-2years,Not Specified,Vacancy for the post of Staff nurse |  Project : National Rural Health Mission (NRHM)  |  Experience: Minimum 1 Year  |  Salary Offered: Based on your Experience |  Employment Type: T&M services payroll  |  Duration of Project: 3 years |   JOB LOCATION: -  |  Governmen |,StaffNurse|
urgent opening for staff nurse-pune,Source Creative,Pune,0-5years,Not Specified,QUALIFICATION: |  •	12th Pass + GNM Course/ ANM Course |   |  EXPERIENCE: |   |  •	0 – 2 year  |  •	Hospital experience preferred |   |  Free accommodation and food facility |,anm|gnmStaffNurse|Nurse|Nursing|BscNursing|
Female Staff Nurse,MP Dominic & Co,SaudiArabia,1-11years,Not Specified,Greetings: |    We are hiring female staff nurse |    Location : Saudi Arabia |    Salary :3800 Saudi Riyal |     |,femalestaffnurse|BscNurse|Gnm|GoodCommunication|
Excellent Job opening for Female / Male Staff Nurse / Senior Staff Nurse,Convate Consultancy Services Private Limited,Mumbai|Nagpur,0-5years,Not Specified,If you are interested - Whatsapp your CV Immediately,Nursing|Nurses|Nurse|StaffNurse|Malenurse|Headnurse|Registerednurse|Gnm|ANM|FemaleNurse|
IVF Nurse Experienced/Fresher @ Bangalore  : Raja rajeshwari Nagar : REF: 9916560596,Huligemma Consultancy Services,Bengaluru/Bangalore,0-5years,120000 - 350000 INR,"Requirements and Qualifications:  |  Valid NJ State Licensure  |  Knowledge of examination, diagnostic and treatment room procedures related to fertility  |  Ability to remain calm and respond appropriately to all stressful situations |  Graduate of accredited n",ivfnurse|Nurse|StaffNurse|Gnm|ANM|Registerednurse|Ivf|Fertilitynurse|StaffNurse|BscNurse|Nurse|
Staff Nurse in Abroad 9643599936,Flight To Sucess Immigration Services Llp,Canada|Germany,6-16years,2420000 - 3610000 INR,. Age: 21-55 yrs.  |   2. Qualification: Candidate should be graduate/diploma holder in relevant field.  |   3. Experience- Minimum 1 years of experience in relevant field.  |   4. Good communication skills (mandatory)  |   5. Clients should have sufficient funds to,StaffNurse|Nursing|MaleNurse|RegisteredNurse|Nurse|Gnm|Headnurse|Midwifery|ANM|
Staff Nurse Freshers,Hire Zone Solution,Lucknow,0-1years,350000 - 440000 INR,Staff Nurse,StaffNurses|
Staff Nurse Urgent Required in Canada / Australia,R3D Immigration Services LLP,Canada|HongKong,2-7years,3860000 - 9130000 INR,"Call & Whats App to 8178975006 |  Identify patients’ care requirements, focus on their needs and act on them, Nurture a compassionate environment by providing psychological support  Resolve or report on patients’ needs or problems |",Nurse|Registerednurse|Midwifery|Malenurse|Headnurse|StaffNurse|
urgent oepning for staff nurse,Source Creative,Mumbai|Pune,0-5years,Not Specified,QUALIFICATION: |  •	12th Pass + GNM Course/ANM/BSC Nursing |   |  EXPERIENCE: |  •	0 – 6 year  |  •	Hospital experience preferred |   |,anm|Gnm|BscNursing|
Staff Nurses Nurse  Nursing  Healthcare  Nursing,Planet One,UnitedArabEmirates,2-10years,Not Specified,We are hiring for Nurses for Dubai Location - Apply now !!!,Nurses|OperatingTheatreNurse|AnaestheticNurse|DiplomaNurses|MentalHealthNurse|HeadNurse|RegisteredNurse|Ot|
jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Staff Nurse Executive,Hire Zone Solution,Delhi,0-1years,350000 - 550000 INR,Nurse,StaffNurses|
