jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Storyboard Artists,Parul University,Vadodara,0-5years,300000 - 420000 INR,We are looking for the storyboard artist who can create a visual representation of the course animation’s narrative and find the most interesting ways to narrate the course content.,StoryBoardWriting|Sketches|Storyboards|AdobeIllustrator|
Animator,Parul University,Vadodara,0-5years,300000 - 600000 INR,We are looking for a talented Animator to create original animated videos of the courses that university offers.,AdobeCreativeSuite|AdobeAfterEffects|AdobePremiere|Storyboards|
WE ARE HIRING SOFTWARE DEVELOPER UI/UX DESIGNERS PHP DEVELOPER WEB DESIGNERS,Mind Circus Innovations,Chennai|Coimbatore,0-5years,Not Specified,"Develops information systems by designing, developing, and installing software solutions. ... Develops software solutions by studying information needs, conferring with users, and studying systems flow, data usage, and work processes.",UI/UXDESIGNERS|WEBDESIGNERS|systemsflow|datausage|processflows|sitemaps|menus|tabs|widgets.|SOFTWAREDEVELOPER|PHPDEVELOPER|Storyboards|graphicdesigning|
Adobe Illustrator Job | Art Jobs | Storyboard Illustration | Jammu,Mind Circus Innovations,Jammu|Srinagar,0-5years,200000 - 500000 INR,We are looking for a motivated and talented individual with good knowledge of Digital Designing and Adobe Illustrator  who can build captivating design that conveys emotive stories through animations and videos that will grab attention.,Illustrator|Illustration|Indesign|DigitalDesign|Designing|Storyboarding|CharacterDesigning|2DArtist|2DAnimation|3DAnimation|3DArtist|Artist|BackgroundArtist|Photoshop|Creative&Design|CreativeArtist|FineArts|Storyboards|AdobeIllustrator|
Storyboard Illustration Jobs | Designing Job | Adobe Illustrator | Pondicherry,Mind Circus Innovations,Pondicherry|Vellore,0-5years,200000 - 500000 INR,We are looking for a motivated and talented individual with good knowledge of Digital Designing and Adobe Illustrator  who can build captivating design that conveys emotive stories through animations and videos that will grab attention.,Illustrator|Illustration|Indesign|DigitalDesign|Designing|Storyboarding|CharacterDesigning|2DArtist|2DAnimation|3DAnimation|3DArtist|Artist|BackgroundArtist|Photoshop|Creative&Design|CreativeArtist|FineArts|Storyboards|AdobeIllustrator|
Storyboard Artist Jobs | Digital Designing Job | Adobe Illustrator | Bangalore,Mind Circus Innovations,Bengaluru/Bangalore|Mysore,0-5years,200000 - 500000 INR,We are looking for a motivated and talented individual with good knowledge of Digital Designing and Adobe Illustrator  who can build captivating design that conveys emotive stories through animations and videos that will grab attention.,Illustrator|Illustration|Indesign|DigitalDesign|Designing|Storyboarding|CharacterDesigning|2DArtist|2DAnimation|3DAnimation|3DArtist|Artist|BackgroundArtist|Photoshop|Creative&Design|CreativeArtist|FineArts|Storyboards|AdobeIllustrator|
Adobe Illustration Jobs | 2D Storyboard Artist Jobs | Digital Designer | Indore,Mind Circus Innovations,Indore|Jabalpur,0-5years,200000 - 500000 INR,We are looking for a motivated and talented individual with good knowledge of Digital Designing and Adobe Illustrator  who can build captivating design that conveys emotive stories through animations and videos that will grab attention.,Illustrator|Illustration|Indesign|DigitalDesign|Designing|Storyboarding|CharacterDesigning|2DArtist|2DAnimation|3DAnimation|3DArtist|Artist|BackgroundArtist|Photoshop|Creative&Design|CreativeArtist|FineArts|Storyboards|AdobeIllustrator|
Storyboard Illustration Jobs | Designing Job | Adobe Illustrator | Delhi,Mind Circus Innovations,Delhi|Chandigarh,0-5years,200000 - 500000 INR,We are looking for a motivated and talented individual with good knowledge of Digital Designing and Adobe Illustrator  who can build captivating design that conveys emotive stories through animations and videos that will grab attention.,Illustrator|Illustration|Indesign|DigitalDesign|Designing|Storyboarding|CharacterDesigning|2DArtist|2DAnimation|3DAnimation|3DArtist|Artist|BackgroundArtist|Photoshop|Creative&Design|CreativeArtist|FineArts|Storyboards|AdobeIllustrator|
2D Storyboard Artist Jobs | Adobe Illustrator Job | Digital Designing | Lucknow,Mind Circus Innovations,Noida|Lucknow,0-5years,200000 - 500000 INR,We are looking for a motivated and talented individual with good knowledge of Digital Designing and Adobe Illustrator  who can build captivating design that conveys emotive stories through animations and videos that will grab attention.,Illustrator|Illustration|Indesign|DigitalDesign|Designing|Storyboarding|CharacterDesigning|2DArtist|2DAnimation|3DAnimation|3DArtist|Artist|BackgroundArtist|Photoshop|Creative&Design|CreativeArtist|FineArts|Storyboards|AdobeIllustrator|
2D Storyboard Artist Jobs | Adobe Illustrator Job | Digital Designing | Dehradun,Mind Circus Innovations,Dehradun|Nainital,0-5years,200000 - 500000 INR,We are looking for a motivated and talented individual with good knowledge of Digital Designing and Adobe Illustrator  who can build captivating design that conveys emotive stories through animations and videos that will grab attention.,Illustrator|Illustration|Indesign|DigitalDesign|Designing|Storyboarding|CharacterDesigning|2DArtist|2DAnimation|3DAnimation|3DArtist|Artist|BackgroundArtist|Photoshop|Creative&Design|CreativeArtist|FineArts|Storyboards|AdobeIllustrator|
