jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Supervisor,Jobs Rider,Surat|Sultanpur,1-5years,140000 - 550000 INR,"Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  Company provides huge benefits to candidates |  For more information plz contact to miss sushma -7289963579",Supervisor|ElectricalSupervisor|Teamleader|ProductionSupervisor|
Supervisor,Jobs Rider,Udupi|Tezpur,1-5years,140000 - 540000 INR,"Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  Company provides huge benefits to candidates |  For more information plz contact to miss sushma -7289963579 , great opportunity for freshers and",Supervisor|ElectricalSupervisor|ProductionSupervisor|Teamleader|
Supervisor,Jobs Rider,Dhanbad|Dhampur,1-4years,140000 - 450000 INR,"Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  Company provides huge benefits to candidates |  For more information plz contact to miss Pooja  -7838637963",Supervisor|ElectricalSupervisor|Teamleader|
Supervisor,Jobs Rider,Vapi|Varanasi,1-5years,150000 - 530000 INR,"Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  Company provides huge benefits to candidates |  For more information plz contact to miss sushma -7289963579",Supervisor|ElectricalSupervisor|Incharge|SiteSupervisor|ProductionSupervisor|Teamleader|
Supervisor,Jobs Rider,Thanjavur|Theni,1-4years,140000 - 430000 INR,"SUPERVISORS STORE IN CHARGE REQUIRED |  Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  For more information plz contact to miss nisha -7838637963 |  Company",Supervision|
Supervisor,Jobs Rider,Bahadurgarh|Bagalkot,2-5years,140000 - 320000 INR,"Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  Company provides huge benefits to candidates |  For more information plz contact to miss Pooja  -7838637963",Supervisor|ElectricalSupervisor|ProductionSupervisor|Teamleader|
Supervisor,Jobs Rider,Ahmedabad|Bengaluru/Bangalore,0-4years,140000 - 540000 INR,"Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  Company provides huge benefits to candidates |  For more information plz contact to miss Nisha  -7290954272",Supervisor|ElectricalSupervisor|ProductionSupervisor|Teamleader|
Supervisor,Jobs Rider,Aligarh|Allahabad/Prayagraj,1-4years,220000 - 420000 INR,"SUPERVISORS STORE IN CHARGE REQUIRED |  Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  For more information plz contact to miss Sunita -7838405493 |  Company",Supervisor|ElectricalSupervisor|Teamleader|
Supervisor,Jobs Rider,Bhopal|Bhubaneswar,1-4years,140000 - 360000 INR,"Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  Company provides huge benefits to candidates |  For more information plz contact to miss nisha  -7838405493",Supervisor|ElectricalSupervisor|Teamleader|
Stores Supervisor,Diraa HR Services,Coimbatore,0-4years,110000 - 540000 INR,immediate openings for stores supervisor,StoresSupervisor|
Production Supervisor,AIS Technolabs Private Limited,Bengaluru/Bangalore,2-7years,250000 - 400000 INR,"Production process, production supervisor |",ProductionSupervisor|ProductionOfficer|ProductionExecutive|ProductionIncharge|
Office Supervisor,Aspire Group of Services,Lucknow,0-1years,120000 - 229999 INR,"Manage Workflow including coordination with the staff and giving support, guidance as necessary. |  Organize workflow for the junior staff and ensure that employees understand their duties or delegated tasks.",OfficeSupervisor|
Painting Supervisor,Core Intertech Services Private Limited,OtherInternational,2-5years,Not Specified,Location: Abudhadi |  minimum: 2-5 years of experience |   |  *NACE level 1/BGAS - Mandatory |   |  *Free food and accommodation |   |  salary: 2000-2500aed,jobperformer/paintingsupervisor|
Store Supervisor,Jobs Rider,Alappuzha/Alleppey|Akola,1-5years,140000 - 420000 INR,"SUPERVISORS STORE IN CHARGE REQUIRED |  Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  For more information plz contact to miss Sunita -7838405493 |  Company",StoreSupervisor|
