jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Technical Support / Customer Support / Enterprise Support,Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,1-9years,300000 - 560000 INR,Technical Support voice process jobs  |   |  CTC-5.6 lpa |  Skype interviews |   |  Sam-9999300435,Helpdesk|CustomerSupport|TSE|TSR|Activedirectory|Technicalsupport|ServiceDeskAnalyst|TechSupport|Fsmo|Dns|DHCP|ExchangeServer|Office365|O365|microsoftonlineservices|windowsintune|
Technical Support/Customer Support - Chandigarh,2COMS Consulting Private Limited,Mohali|Panchkula|Chandigarh,1-5years,Not Specified,"Technical support opening in MNC ITES/BPO for one of the leading Laptop/Desktop Brand.Location: Chandigarh, DLF IT ParkRoles & Responsibilities:  * Providing inbound voice support to customers for Laptop/Desktop,  * Hardware, Printers,scanner",TechnicalSupport/CustomerSupport-Chandigarh|
Customer Support  customer service executive,Gautam Consultancy,Bengaluru/Bangalore,0-5years,250000 - 320000 INR,"customer service |      Agents should know both English and hindi |      Must be flexible, organized, and function well under pressure |      part-time and full-time both available |      salary:16k - 18k |      timings:10 to 6:30 |      contact HR Shashi @ 9164371238",VoiceProcess|Hindi|English|Voicesupport|CustomerSupport|ProductionSupport|
BPO/Tech Support & Customer Support /Customer Care Executive,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,0-3years,150000 - 420000 INR,BPO/Tech Support & Customer Support /Customer Care Executive,CustomerServiceExecutive|Inbound|Outbound|Bpo|CallCenter|CallCentre|CSR|TSR|Kpo|TechnicalSupport|
Customer Support Executive,MP Dominic & Co,Mumbai,0-3years,Not Specified,We are hiring Customer Support Executive  for PAN India based fully automated diagnostic laboratory.,CustomerService|CustomerSupport|
Customer Support,2COMS Consulting Private Limited,Kolkata,0-8years,180000 - 240000 INR,Designation: Process ExecutiveExperience : Fresher/ExperienceE-Commerce Blended ProcessShift : Rotational Shift/ Flexible to work in Night shiftsEducation : Under Graduate/ Graduate/ Post Graduate  * Good Communication skills  * Take calls Ove,CustomerSupport|
Customer Support Manager,Trapsoft Solutions India Private Limited,Mumbai,14-20years,1500000 - 2500000 INR,"You will be responsible for managing the support of software Applications that has been implemented at the client location. Management of cross-functional teams at client sites, coordinates events and tasks between customers and internal department.",CustomerSupportManager|CustomerSupportOfficer|CustomerSupportLeader|
Customer Support Executive,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / Ecommerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
Customer Support  customer service executive,Gautam Consultancy,Bengaluru/Bangalore|Delhi,0-5years,250000 - 320000 INR,"customer service |     Agents should know both English and hindi |     Must be flexible, organized, and function well under pressure |     part-time and full-time both available |     salary:16k - 18k |     timings:10 to 6:30 |     contact HR Shashi @ 9164371238",VoiceProcess|Hindi|English|Voicesupport|CustomerSupport|ProductionSupport|
BE & BTech Freshers / Technical Support & Customer Support/ Spot Offer,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,0-4years,Not Specified,•         Candidate should possess excellent oral and written communication skills•         Candidate with good customer service skills would be preferred•         Candidate should have 0-5 year of experience in Customer Support Voice Process.•,CustomerServiceExecutive|Inbound|Outbound|Bpo|CallCenter|CallCentre|CSR|TSR|Kpo|TechnicalSupport|
Customer Support Executive / Technical Support Associate,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
Customer Support Executive,Nexplace Info Private Limited,Bengaluru/Bangalore,0-1years,110000 - 220000 INR,We are looking for a qualified Customer Support Executive to manage a team of representatives who will offer excellent customer service and after-sales support. You will create policies and procedures and oversee the customer service provided by the,CustomerSupportExecutive|Customercareexecutive|CustomerServiceExecutive|CustomerServiceRepresentative|InboundAndOutbound|CSR|
Customer Support Executive,Sapna Manish Sharma (Proprietor Of JBM India),Ahmedabad,1-6years,240000 - 350000 INR,Requirement for Customer Support Executive.,CustomerSupport|Inbound|Outbound|Graduate|GraduateFresherFreshers|InternationalBpo|DayShifts|VoiceProcessNightShift|TechnicalSupport|
Customer Support Chat,2COMS Consulting Private Limited,Kolkata,0-5years,Not Specified,Job Title: Chat ProcessWork Location: KolkataWork From OfficeFresher Experience both candidates can apply for this processShift: Rotational ShiftQualification: Under Graduate/ Graduate/ Post GraduateRequirementsCandidate should,CustomerSupportChat|
Customer Support - Hyderabad,2COMS Consulting Private Limited,Hyderabad/Secunderabad,1-5years,350000 - 450000 INR,"Job Title: Technical Support VoiceWork Location: Hyderabad  * As of now work from home, as per situation it will be work from office  * System Requirement: (At least for the first week after joining post which they need to Office and pick up",CustomerSupport-Hyderabad|
Customer Support Associate,Coral Bling Services Private Limited,Hyderabad/Secunderabad,0-1years,200000 - 250000 INR,Email & Chat  |  Semi Voice |  Blended Process |  Domestic BPO |  Call Center,SemiVoiceProcess|CustomerSupport|ChatSupport|CustomerService|Blendedprocess|
