jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Threat Hunter,C P Careers Private Limited,Chennai|Noida,3-8years,1000000 - 2000000 INR,"Job Description |  Job Description: |  • Ready to work 24X7 shift environment. |  • Research new detection techniques to prevent/mitigate abusive activities such as |  outbound security attacks, botnet, DDoS, Cobalt Strike, Ransomware",attacks|botnet|CobaltStrike|Ransomware|Strongknowledgeofmalwarefamilies|networkattackvectors|botnets|campaignsandattackermethods|tools/techniques/practices.ThreatIntelligence|Ddos|PenetrationTesting|PowershellScripting|
System Administrator,Enigmasoft Technologies Private Limited,Bengaluru/Bangalore|Goa,1-5years,Not Specified,Hiring for Bangalore Location,VPNinfrastructure|certificationMicrosoftCertifiedSolutionsExpert|InternetVPN’sremoteimplementation|Troubleshooting|Firewall|ComptiaA+|Firewalls|
IMMEDIATE CONTRACT TO HIRE Net App Storage Admin at Bangalore. NOTICE PERIOD: 30 DAYS,BR Raysoft Global Private Limited,Bengaluru/Bangalore,4-14years,Not Specified,IMMEDIATE CONTRACT TO HIRE Net App Storage Admin at Bangalore. |  NOTICE PERIOD: 30 DAYS,NetAppStorage|
senior cloud engineer,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,8-12years,2000000 - 2500000 INR,"Job Description |  JOIN US! |  We seek a Senior Cloud Engineer to join our team, based in Bangalore! |  ABOUT US: |  Symphony RetailAI is global leader in AI-enabled decision platforms, solutions and |  insights for driving profitable revenue growth for retailers a",Ai|voicetechnologies|Technology|reviews|root|Analysis|cloudportfolio|Infrastructure|Develop|day-to-dayoperations|failuremanagement|Monitoring|preventativemaintenance|expansions|andupgrades|Production|Cpg|MachineLearning|Iar|Cloud|DevOps|
System Admin - Webinar Coordinator,Continuum Managed Solutions LLP,Philippines,3-10years,Not Specified,"This role will coordinate, schedule and administer all external webinars for the organization in GoToWebinar and ensure all accounts are set up correctly.",WebinarCoordinator|ConferenceManagement|webinarmanagement|
senoir consultant,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,3-6years,500000 - 1100000 INR,Job Description |  Added Sample Cv |  Candidate should only be from targetted companies. or similar to target companies. |  And from a retail domain only. |  KEY ACTIVITIES |  Develop in depth knowledge in customer project implementations |  Analyse and understand det,Develop|Analyse|mappingrequirements|productimplementations|Documentbusiness|gathersissues|Review|evaluatetechnical|technical&functional|Designing|PL/SQLTriggers|SQLDatamodelling|FunctionalDesign|programming|Testing|ORACLE|DataLoading|
Windows System Administrator,Aspire Nxt Private Limited,Bengaluru/Bangalore,5-10years,Not Specified,Windows - Server Patching/Mitigation Administrator,mitigation|Patching|WindowsServer|WindowsServerAdministrator|WindowsServerManagement|WindowsServerAdmin|PatchManagement|
Hiring SCCM Administrators - Contract - Any Location,Techcom Solutions India Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,6-10years,Not Specified,5 plus years in SCCM Administration and Patch deployment |  Understanding Server build process and Patching best practices. Identify dependencies and risks. Finalize the patching roll out plan |  Develop the deployment plan for production |  Location:Anywhere,SccmAdministrator|SccmAdmin|SccmAdministrator|
Senior Informatica MDM Developer,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,5-9years,1000000 - 1800000 INR,"Senior Informatica MDM Developer |   |  1. Should have good hands-on experience in Informatica MDM, Customer 360 and |  Data Quality. |  2. Should have a minimum of 6+ years’ experience in Informatica Platform. |  3. Should have minimum 4+ years working experience",MDM|Customer360|InformaticaPlatform|Enterprise|scratch|Strong|DataAnalysis|DataStewarding|DataMapping|DataModeling|buildingC360|creatingperformantdesign|InformaticaComponent|developingcomplex|Queries|Administ|DataQuality|DataModel|PL/SQL|
Deveops Release engineer Requirement,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,4-9years,1500000 - 2100000 INR,"DevOps Engineer |   |  • Has experience in deploying applications and updates to applications |  • Has knowledge of tools in Devops universe (Ex. Jenkins, code deploy, sonarQube, |  Github, |  Bitbucket etc...) |  • Has experience in Automation of code deployments and",codedeploy|Automationofcodedeployments|cd|Go|C/C++|testingcode|container|kubernetes.Ansible|EL|Jenkins|Sonarqube|Github|Bitbucket|Ci|agile|Java|Javascript|selenium|Microservices|Deployments|Orchestration|Docker|Puppet|Nagios|Grafana|Prometheus|
.Net Developer,Vedic Systems Private Limited,Hyderabad/Secunderabad,3-6years,500000 - 700000 INR,"•	Design, code and implement T-SQL code using UDFs, Stored Procedures, Pivots, Built-In Functions, Views, Materialized Views, Indexing, Conditional Logic, Loops etc",Net3.5/4|REST/SOAP|Angular/NodeJS|Powershellscript|C#|WebServices|JQuery|AJAX|
PHP Developer,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,4-9years,1500000 - 2200000 INR,"PHP Developer |   |  • 6+ years’ experience as a WordPress / PHP developer |  • Should have solid work experience on PHP, MYSQL, WordPress, JavaScript & |  jQuery |  • Should have solid work experience on framework like Laravel, MVC.",JavaScript&jQuery|implementingsoftware|websitearchitecture|formats|Dynamic|fastpacedenvironment|Design|reusable|learningcurve|Laravel|Mvc|Php|MYSQL|WordPress|Framework|CorePhp|WordPress|Api|RestfulApis|Json|Xml|SEO|
System Administrator,Teejay Global Infotech Services LLP,Remote,3-8years,300000 - 900000 INR,"Expert resources in charge with installing, supporting and maintaining servers or other computer systems and planning for & responding to service outages and other problems.",Admin|SystemAdministration|SystemAdmin|
System Administrator,ABACUS STAFFING & SERVICES PRIVATE LIMITED,Bengaluru/Bangalore,4-8years,Not Specified,"Location: Bangalore |  Duration: 6 months + |    |  Systems Administrator is responsible for supporting IAM solutions for the following; identity and access provisioning, authentication management and privilege access management. This role will be expected to",SystemAdministrator|IdentityAndAccessManagement|SeniorSystemAdministrator|
Linux System  Administrator,Vedic Systems Private Limited,Hyderabad/Secunderabad,4-6years,530000 - 780000 INR,"•	Perform systems administration of desktop and server systems connected to local and wide area networks. |  •	Desktop system management responsibilities involving account monitoring, security, Operating System (OS) installation.",Linux|Networking|Routers|Switches|Firewalls|
I.T System Administrator & Infra Manager,Virginia Transformer India Private Limited,Delhi,8-10years,Not Specified,This opening is for our Delhi office. Working time shall be in the night shift as per U.S. real working time to support our U.S plants.  |     |    The candidates residing near Rohini/Pitampura area shall be preferred. |,SystemAdministrator|NetworkAdministrator|InfrastructureManager|
L3 Engineer - Active Directory & VMWare/Azure/HyperV,Continuum Managed Solutions LLP,Mumbai|Pune,4-14years,700000 - 1400000 INR,"Skills Required in Active Directory (L3 level) – AD Server Migration, AD Troubleshooting , AD Replication, FRS, DFSR, DNS, DHCP, GPO, , File Server, AD Network |  Skills Required in VMWare- Vmotion, VSphere, VCenter – L1 Level  |",ADReplication|ADTroubleshooting|DFSR|admigration|Frs|DomainController|Dns|DHCP|Gpo|Vmware|Hyperv|Azure|
job opportunity | End client: IBM,Outworks Solutions Private Limited,Pune,2-7years,Not Specified,An  Exchange Administrator is responsible for responding to the customer’s queries for services. The position of an MS Exchange Administrator is very dynamic and they need to look out for solutions to any problems they are assigned with. |,MsExchange|MicrosoftExchange|ExchangeServer|ExchangeServerAdmin|ExchangeAdmin|Office365|
MQ admin,Quess IT Staffing (Formerly known as Magna Infotech),Hyderabad/Secunderabad,5-10years,Not Specified,MQ admin,linux|MqAdmin|
System Administrator / System Admin,Nexplace Info Private Limited,Chennai,7-12years,700000 - 1700000 INR,"Hi , |    |   Greetings from Nexplace Info Pvt.Ltd !! |    |   JD : |    |   Position: System Administrator |    |   Experience : 7 - 12 Years |    |   Work Location : Chennai & WFH  |    |   CTC: 17 LPA |    |   NP: Immediate - 60 Days |    |   Interview Process : Virtual |    |   Shift Timings :12 PM - 10 PM(European) |",Meraki|Azure|Cisco|Aruba|MCSE|CCIE|
Job opportunity | End client: IBM,Outworks Solutions Private Limited,Pune,3-6years,Not Specified,"A Windows administrator's main responsibility is to install and set up Windows systems and servers. ... In this role, Windows administrators also build the server's back-end architecture, including databases and scripts for specific applications.",WindowsAdministrator|WindowsAdmin|WindowsSystemAdmin|SystemAdministrator|WindowsSystemAdministrator|WindowsServerAdmin|Vmware|Vmwareadmin|Windows|
Active Directory & VMWare Administrator,Continuum Managed Solutions LLP,Mumbai|Pune,3-8years,600000 - 1000000 INR,"Skills Required in Active Directory (L2 level) –AD Replication, FRS, DFSR, AD Troubleshooting, File Server, Network, DNS, DHCP, GPO |     |    Skills Required in VMWare – L1  |     |    Pls Note - Knowledge of AD Replication, FRS, DFSR & AD troubleshooting is mandatory",ADReplication|ADtroubleshooting|DFSR|Dns|DHCP|GroupPolicy|Gpo|Frs|
Active Directory & Azure Administrator,Continuum Managed Solutions LLP,Pune|MumbaiCity,3-8years,600000 - 1000000 INR,"Skills in Active Directory (L2 level) –AD Replication, FRS, DFSR, AD Troubleshooting, File Server, AD Network, DNS, DHCP, GPO, |    |   Skills in Azure/VMWare/HyperV – L1 |    |   Pls Note: Knowledge or AD Replication, AD troubleshooting, FRS & DFSR are mandatory",ADReplication|ADtroubleshooting|DFSR|Dns|DHCP|Gpo|GroupPolicy|DomainController|Frs|Azure|Vmware|Hyperv|
L3 Engineer - O365/Exchange/AD & Virtualisation,Continuum Managed Solutions LLP,Pune|MumbaiCity,5-10years,700000 - 1200000 INR,This role will execute IT deployment projects working closely with team. Manage project expectations. Deliver on time and on budget.,ActiveDirectory|O365|Exchange|Azure|Vmware|HyperV|
