jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Software Developer,Java R&d Private Limited,Remote,2-5years,400000 - 800000 INR,"Learn n start your career into development now. |   If you are someone who always wanted to get into development role but did not get a chance in your career so far,  we can provide an amazing opportunity to build your career now in development. |",SoftwareTestEngineer|SoftwareDeveloper|SoftwareEngineer|SoftwareTesting|QAtesting|Automationtesting|TestEngineer|Tester|ManualTesting|SoftwareQualityAssurance|SoftwareProgrammer|
Urgent requirement for Reporting and Monitoring analyst_Chennai,Norwin Technologies India Private Limited,Chennai,1-4years,Not Specified,Work Location: Chennai |  Two way cab facility |  PF & gratuity benefits |  Health insurance,MisReports|MsExcel|
Iot Embedded Systems Engineer,Primebit Solutions,Hyderabad/Secunderabad|Pune,4-13years,700000 - 1800000 INR,"IoT and Embedded programming of microcontrollers (Arduino, Raspberry Pi, ESP32, and similar ) and interface them with various sensors and peripherals. |       Based in Hyderabad and Pune  or willing to relocate to Pune and Hyderabad",Arduino|Iot|RaspberryPi|CProgramming|EmbeddedC|LinuxKernel|PythonDevelopers|Python|
Manager – SAP SD,Cerentral Consultants Private Limited,Mumbai,10-15years,2050000 - 2550000 INR,To enable the business processes using the SAP SD module of  SAP.,IT|SAPModule|FinancePlanning|SAP|SapSd|
Supervisor Software Systems Engineer,CoreIT Services Private Limited,Bengaluru/Bangalore,9-16years,1100000 - 1650000 INR,Urgent Hiring!!! for product base company in Bangalore location,Embedded|Security|Microcontroller|Protocols|Cryptography|
Systems Engineer,Zen3 Infosolutions private limited,Mumbai|MumbaiCity|NaviMumbai|Thane,4-6years,400000 - 500000 INR,"The System Engineer will be responsible for effective provisioning, installation / configuration, operation, and maintenance of system hardware and software and related infrastructure.",ActiveDirectory|ExchangeServer|Office365|ServerAdministrator|GroupPolicy|Dns|DHCP|Virtualization|CloudServices|FsmoRoles|
Linux Engineer,Zen3 Infosolutions private limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,7-12years,Not Specified,LINUX ENGINEER,Linux|
Azure Devops Engineer,Aurumdata Solutions India Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,7-12years,Not Specified,Azure Devops Engineer,Azure|Devops|
UCCE Engineer with Python scripting || Bangalore,Tranzmeo It Solutions Private Limited,Bengaluru/Bangalore,5-12years,Not Specified,"• UCCE operational support |  • Support and problem resolution, including UCCE (ICM), CVP, EIM/WIM (CIM), CUCM, FINESSE, CUIC applications Verizon and ATT Cloud portals. |  • CUIC reports and CVP scripting |  • Python scripting and Core Java is must.",EIM/WIM(CIM)|FINESSE|CUIC|Ucce|Cvp|Python|Icm|Cucm|
iOS developer,A V Immigration And Careers Consultancy Private Limited,Cochin/Kochi/Ernakulam,1-2years,Not Specified,"|  * 1-2 years of hands-on experience in iOS development(Objective-C, or increasingly, Swift). |  * B.Tech / MCA |  * Excellent Programming and Problem-Solving skills. |  * Experience in maintaining and releasing apps in the App Store |",iosdeveloper|androiddeveloper|Ios|Mobiledevelopment|Mobileapplications|Android|Apple|
