jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Talent Acquisition,Prismer Business Solutions Private Limited,Bengaluru/Bangalore|Chennai,3-5years,500000 - 850000 INR,WE ARE HIRING,TalentAcquisition|Hiringrecruitment|Staffing|Resourcing|TalentManagement|Sourcing|Hr|TalentAcquisitionSpecialist|
Recruiter HR Recruiter Talent Acquisition Talent Acquisition Executive Healthcare,Esn Technologies India Private Limited,Chennai|Pondicherry,2-5years,Not Specified,"The Healthcare recruiter will be responsible for sourcing candidates, scheduling interviews, and |  conducting background/reference checks. The recruiter will recruit for the Healthcare industry |  and will conduct mass recruitment through job portals, cam",Recruiter|RecruitmentConsultant|Recruitment|Recruitments|TalentAcquisition|Hiring|Hr|Staffing|HumanResource|ItRecruiter|Sourcing|TalentAcquisitionExecutive|TalentAcquisitionSpecialist|HealthCare|RecruitmentExecutive|RecruitmentManager|
Talent Acquisition / Technical Recruiter,Progneur Technologies Private Limited,Hyderabad/Secunderabad,3-8years,Not Specified,Build talented engineering teams and fast track talent acquisition. Establish stringent recruiting processes with attention to quality and responsiveness. Be a contributing member with organizational impact.,TechnicalRecruiterTalentacquisition|
Talent Acquisition Specialist,Velocity Technology Solutions,Bengaluru/Bangalore|Gurgaon/Gurugram,2-5years,Not Specified,Right candidates needs to manage end to end recruitment lifecycle. Understand Talent Pool availability as per the requirement and plan hiring strategy accordingly. We are rapidly growing global company developing software for manufacturing companies.,TalentAcquisition|TalentAcquisitionSpecialist|ItRecruiter|RecruitmentnonITrecruiter|ItStaffing|TechnicalRecruiter|RecruitmentExecutive|
Talent Acquisition   - Consultant,Hi Tides Consulting,Pune,5-8years,Not Specified,The candidate should have 5 year’s relevant experience in Talent Acquisition.,Recruiter|TalentAcquisition|TalentAcquisitionSpecialist|TechnicalRecruiter|RecruitmentExecutive|
Talent Acquisition Executive,Ambe Consultancy Services Private Limited,Bengaluru/Bangalore,4-6years,300000 - 500000 INR,Candidates with 4yrs of experience in handling talent acquisition and recruitment.,Hiring|TalentAcquisition|RecruitmentExecutive|
Talent Acquisition Manager or Recruitment Manager,Gee Kay Infotech,Mathura,2-5years,Not Specified,"sourcing of cvs for different profile and trade via naukri ,monster ,linkden portal . |      screening of Cvs line them up for interview , follow ups with candidates |      Evaluation of Cvs Screening ,Head hunting ,Short listing |     Excellent in MS office",Recruiter|Headhunting|Sourcing|
IT Recruitment / Talent Acquisition,3 Minds ESolutions Private Limited,Mumbai,1-5years,Not Specified,IT Recruitment / Talent Acquisition,ITRecruitment|
Domestic IT recruiter/Talent Acquisition-chennai Location,Andor Tech India Private Limited,Chennai,2-5years,Not Specified,We Looking for IT Recruiter for chennai location |   |  Please drop your cv at [HIDDEN TEXT],Recruiter|ItStaffing|Recruitment|TalentAcquisition|TechnicalRecruiter|
Talent Acquisition Specialist - Bangalore (HSR Layout),Matrix Corporate Management Services Private Limited,Bengaluru/Bangalore,4-9years,300000 - 1000000 INR,"Managing end-to-end recruitment of open roles including understanding business needs  |  Drafting job specifications, sourcing and screening candidates, managing candidate interviews  |  Managing the recruitment process with various stakeholders |",TalentAcquisitionSpecialist|RecruitmentLead|
