jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Software Craftsperson,Hiremount Solutions Private Limited,OtherIndia,1-5years,Not Specified,Software Craftsperson ll Java ll Tdd( test driven development) ll WFH,Tdd(testdrivendevelopment)|Java|
JAVA Fullstack Developer,Ifintalent Global Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,8-12years,Not Specified,Exp of 8+ years of hands-on IT experience in enterprise applications.,JAVAFullstackDeveloper|UI/UX|Openfin|StreamingData|Java|Tdd|Reactjs|Springboot|MicroServices|
Java Developer,Infosource Consulting Private Limited,Bengaluru/Bangalore,4-8years,Not Specified,OOPS and coding practices and exposure to TDD,exposuretoTDD|DevOpsimplementation|CassandraorMongoDB|Oops|
Backend Developer,Cognizant Technology Solutions India Pvt Ltd,Bengaluru/Bangalore,5-10years,Not Specified,"Profile: You are a well-rounded developer with at least 6 years of experience developing enterprise applications, including at least 3 years doing so with Java technologies.",Java|Spring|Hibernate|WebServices|Xml|Soap|Tdd|
Python  Technical Manager,Career Carnival LLP,Pune,11-14years,2800000 - 3000000 INR,Position - Technical Manager |  Location - Pune |  Experience - 11-14 Years |  Salary - 28-30 LPA (including 13% performance bonus),Python|AWS|Linux|Agile|Java|C#|C++|.NET|Tdd|Debugging|
Java + Springboot Developer,Quess IT Staffing (Formerly known as Magna Infotech),Hyderabad/Secunderabad,5-7years,Not Specified,Java + Springboot Developer + TDD,SpringBoot|Microservice|Java|Tdd|
Test Automation Manager / Test Automation Program Manager,Aayam Consultants,Pune,12-15years,2200000 - 2400000 INR,Test Automation scripts manager who will manage team to design and create the Test scripts for SW testing automation.,Pmp|BDDTestDrivenDevelopment|Pmp|AutomationTesting|ManualTesting|PerformanceTesting|SoftwareTesting|ApiTesting|SeleniumAutomationTesting|Tdd|AGILE|AgileTesting|ProjectManager|DeliveryManager|
Senior Android Developer,Talent Excel,Mumbai,3-7years,1000000 - 1800000 INR,"We are looking for a Lead Software Engineer Android. This is a front-end role, but not limited to it. Good knowledge of design patterns like Creational, Structural and Behavioral patterns like MVVM with hands on on Kotlin.",AndroidSDK|Kotlin|MVVM|Mvc|Tdd|TestDrivenDevelopment|RestfulApi|
Full Stack - Java Developer,Star Jobs Private Limited,Pune,4-14years,800000 - 3000000 INR,"We are looking for experienced Full Stack Engineers with React, Java, RDBMS experience to work closely with other like-minded product design and development engineers to build a banking application.",Javadeveloper|Agileandleansoftwaredevelopment|codereviews|designdocumentation|Redux/ReduxSaga-Hooks|Ama|Java|SpringBoot|SpringSecurity|SpringIntegration|PostgreSQL|MySQL|Redis|MongoDB|React|Angular|Vue|Tdd|AWS|RestWebServices|
Node JS Developer,MIT Jobs,Noida,3-7years,Not Specified,"·Experience in NodeJS, with Express |  ·Experience on Java and development using AngularJS / ReactJS |  ·Application profiling |  ·TDD - test driven development |  ·Redis |  ·Strong knowledge on OOP and principles","""NodeJSDeveloper""|""NodeJS""|""AngularJS""|""ReactJS""|""NodeDeveloper""|""Applicationprofiling""|""TDD""|""testdrivendevelopment""|""SOAPintegration""|""Queues""|""Queryoptimisation""|""agiledevelopment""|"
Java Technical Lead/ Developer,Best infosystems Ltd,Bengaluru/Bangalore|Chennai,3-10years,Not Specified,"If you are an experienced Java developer with a background in trading or finance, this role will be made for you!",HTML/CSS|TDDandBDD|Java8|Spring|Javascript|Angularjs|
SALESFORCE TESTING- SENIOR TEST ENGINEER/TEST SPECIALIST,Chainvine Labs Private Limited,Bengaluru/Bangalore,2-7years,Not Specified,2 years to 12 years of Salesforce Testing Experience |,SeniorTestEngineer|SeleniumBDD|SeleniumTDD|AutomationFramewor|SalesforceTesting|TestSpecialist|SeleniumTestng|
Automation Tester,Aditi Staffing India Private Limited,Delhi,4-5years,400000 - 600000 INR,As an Automation test Engineer you will be involved throughout the development life cycle of the team with particular responsibility in the quality assurance of software development and deployment with emphasis on development.,Selenium|Sdlc|Tdd|Bdd|TestDrivenDevelopment|
Scrum Master,CGI Information Systems and Management Private Limited,Hyderabad/Secunderabad,9-15years,Not Specified,"10+ years in IT development with 4 years in Agile Scrum & Kanban experience as Scrum Master. |   Exposure to Agile / TDD / BDD based development o Exposure to CI, Code practices deployment & Release management |   Organizational skills with ability to be fle",Kanban|Scrum|agile|Bdd|Tdd|Atdd|Ci|ContinuousIntegration|.NET|Etl|
Node.js Developer - Data Structure/Algorithm,Quess IT Staffing (Formerly known as Magna Infotech),Bengaluru/Bangalore,4-10years,Not Specified,"Excellent coding skills in Node.js, JavaScript |   |  - Experience with the Express.js framework. |   |  - Good to have knowledge of Mysql ORM & Mongo ORM |",#Node.js#Javascript#TDD#RDBMS#Javascript#Express.js#ORM#MongoDB#DesignPatterns#DataStructure#Algorithm|
Lead React / NodeJS Engineer,Moentek Private Limited,Bengaluru/Bangalore|Chennai,7-12years,Not Specified,"We have a huge opening with one of our Fintech company for Lead React / NodeJS Engineer @ Bangalore/Chennai, we are eager to hire the right resource with in 30days notice. |    |   |",NodeJSEngineer|Reactjs|TechnicalLead|TestAutomation|FunctionalTesting|Tdd|Git|
Automation Test Lead,Tech 2 Hires,Hyderabad/Secunderabad,5-8years,Not Specified,Work in a team and can take challenging tasks. Should be strong in analytical and logical thinking.,Cucumber-BDD|TestingAPI|AutomationTesting|Selenium|Java|Maven|Git|Jenkins|HybridFramework|Tdd|Bdd|Postman|
Java Developer,Thales India Private Limited,Hyderabad/Secunderabad,4-9years,Not Specified,Hands on experience in Java 1.8 |   Good experience in Spring boot. |   Good experience in Microservices. |   Experience in TDD(Test Data Driven). |   Basic understanding of Unit Testing. |,"""Springboot""|Java1.8|Testdatadriven|""JavaDeveloper""|Java|Springboot|Microservices|Tdd|UnitTesting|"
React Native Developer / React Native / MongoDB,Selectivite Consultants,Pune,2-5years,Not Specified,We are looking for a React Native developer interested in building performant mobile apps on both the iOS and Android platforms.,ReactNativeNodeJS|CI/CD|Mvc|DesignPatterns|RestApis|Swagger|AWS|Agile|MySQL|MongoDB|Linux|Tdd|Scrum|
".Net Technical Lead / Dot Net Technical Lead ( Dot net core, TDD, MVC, Web API, C#, Asp.net)",Tech 2 Hires,Hyderabad/Secunderabad,13-17years,Not Specified,"Technical Lead with 13+ yrs and Strong experience in .Net Core 2.0, MVC with TDD, Web API with Micro Services Architecture, jQuery, C#.Net, ASP.Net, Advanced C# Concepts, Lambda expressions, SOLID Principles and SQL Server is a MUST",.NetCore2.0|DotNetCore|.netcore|MicroServicesArchitecture|DotNetTechnicalLead|.NetTechnicalLead|Mvc|Tdd|WebApi|jQuery|C#.net|ASP.Net|Lambda|SolidPrinciples|SQLServer|
Senior Software Engineer,Tech 2 Hires,Noida,4-9years,Not Specified,"As a team member of this Agile team, you will be participating to the design, the implementation and the maintenance of the Cloud OTA product.  |",TomEE|Pact|Jococo|Log4j2|RESTAP|JavaEE|Tdd|Cdi|Tdd|Junit|Mockito|Linux|Kubernetes|Docker|Jenkins|Microservices|
MNC Hiring  NodeJS Backend Engineer - On payroll,JK TECHNOSOFT,Mumbai,3-11years,Not Specified,"Role - We are looking for a Software Engineer Backend. This is a back-end role, but not limited to it. You will be learning a lot about full-stack development. Also, we believe in extreme ownership! And to be honest, everyone loves working with kind","Architecture|KubernetesAlgorithms|ConsumerProducts|full-stackdevelopment|TDDmethodology|""Nodejs""|Nodejs|node.js|JavaScript|Jscript|Golang|Javascript|Python|Node|Oop|Sql|DesignPatterns|DataStructures|Microservices|Dockers|BackendEngineer|"
