jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Team Leader,2COMS Consulting Private Limited,Kolkata,4-10years,Not Specified,"This is a remote position.Job descriptionWe are looking for a qualified team leader to manage our team and provide effective guidance. You will be responsible for supervising, managing, and motivating team members on a daily basis.As a team lead",TeamLeader|
Team Leader,Jobs Rider,Nagaon|Nagapattinam,1-4years,130000 - 420000 INR,"SUPERVISORS STORE IN CHARGE REQUIRED |  Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  For more information plz contact to miss Sushma-7289963579 |  Company",AssistantManager|TeamLeader|TeamManager|
Team Leader,Jobs Rider,Amravati|Amreli,1-4years,130000 - 350000 INR,"Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  For more information contact to miss nisha-7838405493 |  Company provides huge benefits to candidates, grea",TeamLeader|TeamManager|
Team Leader  Team Manager  Sales Team Leader,I Tech Solutions,Mumbai,3-13years,Not Specified,"Urgent Opening for Team Leader , Salary 8 lacs",teamleaderoutbound|tl|TeamLeaderInbound|TeamHandling|TeamManagement|HandlingTeam|TeamLeader|TeamManager|teamleader|
R2R Team Leader Or Manager,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore|Chennai,4-8years,Not Specified,"Knowledge of accounting and financial processes (budgeting , financial closure , reporting etc.). Experience in Management reporting or / and financial reporting",R2R|TL|GroupLeader|TeamCoach|TeamHandling|TeamManagement|PeopleManagement|TeamLeader|TeamManager|
Team Leader RTA,Vibrantzz Management Services,Thane,1-4years,Not Specified,Job Openings for Team Leader RTA (Real Time Analyst) |   |  Openings for International BPO at Thane Location,"""RTA""|Wfm|"
Hiring Team Leader,Growing Careers,Chennai,2-3years,Not Specified,|                                  |,
Non IT Team Leader / Recruitment Team Lead,Nexplace Info Private Limited,Bengaluru/Bangalore,5-9years,Not Specified,looking for Non IT Team Leader,HrExecutive|TeamLeader|RecruitmentExecutive|
IT Team Leader / IT Recruitment,Nexplace Info Private Limited,Bengaluru/Bangalore,5-8years,Not Specified,Looking for IT Team Leader,HrExecutive|TeamLeader|RecruitmentExecutive|ITRecruitment|
Team Leader  Team Manager  Sales Team Leader,I Tech Solutions,Mumbai,3-13years,Not Specified,"Urgent Opening for Team Leader , Salary 8 lacs",teamleaderoutbound|tl|TeamLeaderInbound|TeamHandling|TeamManagement|HandlingTeam|TeamLeader|TeamManager|teamleader|
Team Leader,Jyoti Nirav Bhalerao (Proprietor Of Unique Jobs),Nagpur,0-5years,180000 - 280000 INR,We are hiring to candidate of Team leader urgently-,TeamLeader|
Software Engineer Team Leader,Enroll N Pro,Bengaluru/Bangalore,5-8years,Not Specified,"-  C++,Telecom Network Protocols |     |    Exp: 5-8 Yrs |     |    Position: 3 |     |    NP : 30 days |     |    Need a 6+ years experienced engineer who has worked in C++/C++11.  |     Should have knowledge in networking protocols like TCP/UDP/IP, socket programming  |     Should have worked in C",Ip|Developer|SoftwareEngineer|C++|Tcp|UDP|SocketProgramming|
Team Leader,Vibrantzz Management Services,Mumbai,5-6years,Not Specified,Job Openings for US based Stock Broking firm at Andheri East Location |   |  Openings for Team Leader Profile  |   |  Candidate from Capital / Stock Broking firm required,"""TeamLeader""|"
Team Leader,Kavya Management Services,Gurgaon/Gurugram|Jaipur,1-3years,Not Specified,Desired Candidates Eligibility Criteria: |   Should be a Graduate. |   Experience as Team Leader in a Telecom process shall be preferred. |   Should be ready to join immediately. |   Should be comfortable to work in 24x7 environment,Bpo|CallCenter|InternationalCallCenter|Domestic|Inbound|
Team Leader - Recruiter -Surat (GIDC) (Male/ Female),Vitalhunt Global Solutions Private Limited,Surat,3-8years,200000 - 330000 INR,Position: Team Leader - Recruiter |  Experience : 3 Years |  Location: Surat (GIDC),Hr|Recruitment|GroupLeader|TeamCoach|TeamHandling|TeamLeader|
"Team Leader Sales Team Leader  Sales Team Manager ,Insurance team leader",I Tech Solutions,Mumbai,4-14years,Not Specified,"Urgent opening with one of the insurance companies based in Goregaon. for Malalayam process,Salary 7 lac",SalesTeamLeader|SalesTeamManager|SalesManager|
Team Leader,V4 Recruiters,Mumbai|Thane,2-12years,Not Specified,Minimum 2 years exp needed on papers. |   |  Bpo/Contact center background is a must |   |  Location - Andheri,"""teamleader""|TL|""Teamhandling""|Manager|Sme|Bpo|Voice|""TeamLead""|""QALead""|""teamcoach""|"
Team Leader,Moneymithra Services Private Limited,Mysore,2-3years,Not Specified,"Candidates should be well versed with reporting skills, analysis and team management. Basic knowledge of the Finance domain is required",TL|TeamHandling|TeamLead|TeamLeader|TeamManager|
Team Leader Operations for MNC BPOs,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,4-9years,Not Specified,Develop a strategy the team will use to reach its goal. Provide any training that team members need,TeamHandling|TL|GroupLeader|TeamLead|TeamLeading|TeamLeader|
Team Leader,Rightwave Infosolutions Private Limited,Dehradun,5-8years,Not Specified,"Managing the implementation of e-marketing campaigns on various Marketing Automation platforms (Marketo, Eloqua, Salesforce etc).Work on customer's marketing database (SQL/MySQL). eMarketing program management. Marketing Automation and operations.",Salesforce|CRM|OperationsManager|Marketo|Eloqua|Hubspot|Sql|Mysql|HTML|CSS|Pardot|MarketingAutomation|
Team Leader,Advance Jobs Private Limited,Delhi|Noida,3-8years,350000 - 670000 INR,"Monitor team members participation to ensure the training they are being provided is being put into use, and also to see if any additional training is needed |",TeamHandling|TeamManagement|PeopleManagement|HandlingTeam|TeamLeader|TeamManager|
Team Leader Inbound,Fast And Direct Services,Bengaluru/Bangalore|Mumbai,0-2years,220000 - 420000 INR,"BPO Team Leader,BFSI/Stockbroking experience,Team Leader Inbound",teamleaderBpo|BPOAnalyst|BpoOperations|BPOCallCentre|TeamLeader|
Team Leader - BPO / IP SECTOR,Aspire Group of Services,Kanpur|Lucknow,0-1years,120000 - 160000 INR,We are seeking for good and eligible candidates for BPO / IP sector. |  Any graduates can apply. |  Location - Lucknow |  Age should not be more than 35 yr |  Work Experience 0 - 1 Years Qualification,TL|GroupLeader|TeamLeader|TeamManager|
Urgently Required Team Leader(telecaller),Aspire Group of Services,Lucknow,0-2years,140000 - 260000 INR,*   Should have an experience of handling customer queries |  *   Must have good communication skills with a go-greater attitude |  *   Should have basic computer skills,Telecalling|TeamLeader|
jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Team Leader,2COMS Consulting Private Limited,Kolkata,4-10years,Not Specified,"This is a remote position.Job descriptionWe are looking for a qualified team leader to manage our team and provide effective guidance. You will be responsible for supervising, managing, and motivating team members on a daily basis.As a team lead",TeamLeader|
Team Leader,Jobs Rider,Nagaon|Nagapattinam,1-4years,130000 - 420000 INR,"SUPERVISORS STORE IN CHARGE REQUIRED |  Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  For more information plz contact to miss Sushma-7289963579 |  Company",AssistantManager|TeamLeader|TeamManager|
Team Leader,Jobs Rider,Amravati|Amreli,1-4years,130000 - 350000 INR,"Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  For more information contact to miss nisha-7838405493 |  Company provides huge benefits to candidates, grea",TeamLeader|TeamManager|
Team Leader  Team Manager  Sales Team Leader,I Tech Solutions,Mumbai,3-13years,Not Specified,"Urgent Opening for Team Leader , Salary 8 lacs",teamleaderoutbound|tl|TeamLeaderInbound|TeamHandling|TeamManagement|HandlingTeam|TeamLeader|TeamManager|teamleader|
R2R Team Leader Or Manager,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore|Chennai,4-8years,Not Specified,"Knowledge of accounting and financial processes (budgeting , financial closure , reporting etc.). Experience in Management reporting or / and financial reporting",R2R|TL|GroupLeader|TeamCoach|TeamHandling|TeamManagement|PeopleManagement|TeamLeader|TeamManager|
Team Leader RTA,Vibrantzz Management Services,Thane,1-4years,Not Specified,Job Openings for Team Leader RTA (Real Time Analyst) |   |  Openings for International BPO at Thane Location,"""RTA""|Wfm|"
Hiring Team Leader,Growing Careers,Chennai,2-3years,Not Specified,|                                  |,
Non IT Team Leader / Recruitment Team Lead,Nexplace Info Private Limited,Bengaluru/Bangalore,5-9years,Not Specified,looking for Non IT Team Leader,HrExecutive|TeamLeader|RecruitmentExecutive|
IT Team Leader / IT Recruitment,Nexplace Info Private Limited,Bengaluru/Bangalore,5-8years,Not Specified,Looking for IT Team Leader,HrExecutive|TeamLeader|RecruitmentExecutive|ITRecruitment|
Team Leader  Team Manager  Sales Team Leader,I Tech Solutions,Mumbai,3-13years,Not Specified,"Urgent Opening for Team Leader , Salary 8 lacs",teamleaderoutbound|tl|TeamLeaderInbound|TeamHandling|TeamManagement|HandlingTeam|TeamLeader|TeamManager|teamleader|
Team Leader,Jyoti Nirav Bhalerao (Proprietor Of Unique Jobs),Nagpur,0-5years,180000 - 280000 INR,We are hiring to candidate of Team leader urgently-,TeamLeader|
Software Engineer Team Leader,Enroll N Pro,Bengaluru/Bangalore,5-8years,Not Specified,"-  C++,Telecom Network Protocols |     |    Exp: 5-8 Yrs |     |    Position: 3 |     |    NP : 30 days |     |    Need a 6+ years experienced engineer who has worked in C++/C++11.  |     Should have knowledge in networking protocols like TCP/UDP/IP, socket programming  |     Should have worked in C",Ip|Developer|SoftwareEngineer|C++|Tcp|UDP|SocketProgramming|
Team Leader,Vibrantzz Management Services,Mumbai,5-6years,Not Specified,Job Openings for US based Stock Broking firm at Andheri East Location |   |  Openings for Team Leader Profile  |   |  Candidate from Capital / Stock Broking firm required,"""TeamLeader""|"
Team Leader,Kavya Management Services,Gurgaon/Gurugram|Jaipur,1-3years,Not Specified,Desired Candidates Eligibility Criteria: |   Should be a Graduate. |   Experience as Team Leader in a Telecom process shall be preferred. |   Should be ready to join immediately. |   Should be comfortable to work in 24x7 environment,Bpo|CallCenter|InternationalCallCenter|Domestic|Inbound|
Team Leader - Recruiter -Surat (GIDC) (Male/ Female),Vitalhunt Global Solutions Private Limited,Surat,3-8years,200000 - 330000 INR,Position: Team Leader - Recruiter |  Experience : 3 Years |  Location: Surat (GIDC),Hr|Recruitment|GroupLeader|TeamCoach|TeamHandling|TeamLeader|
"Team Leader Sales Team Leader  Sales Team Manager ,Insurance team leader",I Tech Solutions,Mumbai,4-14years,Not Specified,"Urgent opening with one of the insurance companies based in Goregaon. for Malalayam process,Salary 7 lac",SalesTeamLeader|SalesTeamManager|SalesManager|
Team Leader,V4 Recruiters,Mumbai|Thane,2-12years,Not Specified,Minimum 2 years exp needed on papers. |   |  Bpo/Contact center background is a must |   |  Location - Andheri,"""teamleader""|TL|""Teamhandling""|Manager|Sme|Bpo|Voice|""TeamLead""|""QALead""|""teamcoach""|"
Team Leader,Moneymithra Services Private Limited,Mysore,2-3years,Not Specified,"Candidates should be well versed with reporting skills, analysis and team management. Basic knowledge of the Finance domain is required",TL|TeamHandling|TeamLead|TeamLeader|TeamManager|
