jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Hiring Domestic IT and Non IT Recruiters with WFH Opportunity,BcForward India Technologies Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,1-8years,100000 - 600000 INR,Hiring for Domestic recruiters with a relevant experince worked on contract to hire Roles,Contract|ItRecruiter|TechnicalRecruiter|ITrecruitment|TechRecruiter|
IT Recruiter Recruiters are responsible for meeting hiring goals by filling open positions with tale,Cynosure Corporate Solutions,Chennai,2-6years,Not Specified,"Technical recruiters hire people to fill information technology positions in a range of industries. They are tasked with recruiting, screening, interviewing and placing potential workers.",ItRecruiter|Recruitment|TechnicalRecruiter|TechRecruiter|
IT Recruiter,Eteam Info Services Private Limited,Bengaluru/Bangalore,2-6years,Not Specified,"IT Staffing, worked in contract staffing",Recruiter|ItStaffing|ItRecruiter|TechnicalRecruiter|ITrecruitment|TechRecruiter|
IT Recruiter,2COMS Consulting Private Limited,Bengaluru/Bangalore|Chennai,2-4years,50000 - 400000 INR,"Leading MNC Hiring for HR(IT Recruiter) @ Bangalore, Mumbai, Chennai, Hyderabad, Noida & Gurgaon",ItRecruiter|TechnicalRecruitment|ItStaffing|ItRecruiter|ITRecruitment|TechnicalRecruiter|TechRecruiter|
Recruiter,Perint Infosystems India Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,1-6years,220000 - 500000 INR,Should have 1-3 years of IT Recruitment experience |   Should have good Oral and written communication skills |   Should have hands-on experience in handling IT Recruitment – Permanent & Contract positions |   Strong in using leading job portals Naukri & Monster,Recruiter|ItStaffing|Recruitment|TechnicalRecruiter|TechRecruiter|
Immediate Hiring For - IT & NON IT Recruiter - Australian Digital Company,Dotmappers It Private Limited,Bengaluru/Bangalore,3-10years,Not Specified,"Recruiter responsibilities include sourcing, screening and providing a shortlist of qualified candidates for various technical roles. You will also network online and offline with potential candidates to promote our employer brand, reduce our time-to","Recruiter|""ITrecruiter""|""ItStaffing""|TalentAcquisition|TechRecruiter|"
Recruiter,Prishatech India (opc) Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,4-9years,Not Specified,"Attracting candidates for jobs and matching them to temporary or permanent positions with client. |  Screen candidates, evaluate them, run background checks and finally get there profiles shared with client.",Recruitment|ItRecruiter|RecruitmentExecutive|TechnicalRecruiter|TechRecruiter|ITrecruitment|
Sr IT Recruiter / Technical Recruiter || 5 Days working,Quess IT Staffing (Formerly known as Magna Infotech),Bengaluru/Bangalore|Mumbai,1-5years,100000 - 350000 INR,Looking for Sr IT recruiter,"""ITRecruiter""|""SrITRecruiter""|TechnicalRecruiter|TechRecruiter|ITrecruitment|"
Job | We are hiring Recruiter/Sr Recruiter JP Nagar Bangalore location,Ciberspring International (India) LLP,Bengaluru/Bangalore,1-6years,Not Specified,Looking for Recruiters/ Technical recruiters who has very good tracker recording on closing positions in TAT Time.,Recruiter|Recruitment|HrExecutive|TalentAcquisition|TechnicalRecruiter|ITrecruitment|TechRecruiter|
HR Recruiter,Source To Win Consultancy,Chennai,1-3years,Not Specified,Looking for HR Recruiter with 1 to 3 yr exp and Chennai (T Nagar) Location,HrExecutive|HrRecruiter|HrAssistant|Recruiter|NonITrecruiter|HrRecruitment|ItStaffing|ItStaffing|recruitment|HrExecutive|TalentAcquisition|Staffing|Hr|HumanResource|RecruitmentExecutive|TechnicalRecruiter|TechRecruiter|
Senior Recruiter - Tech Hiring - RPO,TechEra IT Consulting Private Limited,Bengaluru/Bangalore,3-5years,Not Specified,"3-5 years of full cycle recruitment experience in an RPO environment |   should have client facing experience interacting with Hiring Managers throughout the recruitment process, experience in developing and executing sourcing methodologies.",Rpo|clientfacing|Sourcing|Screening|TimeManagement|TechnicalHiring|
US IT Recruiter,Softlucid Innovative Software Private Limited,Hyderabad/Secunderabad,0-1years,Not Specified,Responsible for handling IT requirements from US based clients.,ItRecruiter|ItStaffing|Software|TechRecruiter|
IT Recruitment,Talent Arabia FZ LLC,Delhi|Mumbai,1-4years,Not Specified,|  We are looking for a IT recruiter.. You can work from your home and anywhere in India.,ItRecruiter|ItStaffing|Recruitment|ITRecruitment|TechnicalRecruiter|TechRecruiter|
Sr.IT Recruiter,ABACUS STAFFING & SERVICES PRIVATE LIMITED,Bengaluru/Bangalore|Hyderabad/Secunderabad,1-7years,Not Specified,"Position :Sr IT Recruiter. |         Experience: 2- 6 Years |         Timings: 9 AM - 6 PM |         Location: Bangalore,Hyderabad. |",Recruiter|ItRecruiter|ItStaffing|Recruitment|DomesticStaffing|ITRecruitment|TechnicalRecruiter|TechRecruiter|
HR (IT Recruiter),2COMS Consulting Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,2-5years,Not Specified,"Urgent Hiring for HR (IT Recruiter) for MNC @Bangalore, Chennai, Hyderabad, Noida, Gurugram,Mumbai",ItRecruiter|sourcingspecialist|ItStaffing|TechnicalRecruitment|ITRecruitment|TechRecruiter|
Leading MNC Hiring for IT Recruiter@Bangalore,2COMS Consulting Private Limited,Bengaluru/Bangalore,2-4years,50000 - 400000 INR,Urgent Hiring for IT Recruiter @Bangalore for Leading MNC,ItRecruiter|ItRecruiter|ItStaffing|TechnicalRecruitment|TechnicalRecruiter|TechRecruiter|ITRecruitment|
IT Recruiter,Harjai Computers Private Limited,Pune|MumbaiCity,1-5years,100000 - 400000 INR,Urgent Hiring for IT Recruiter |,ItRecruiter|ItStaffing|HrExecutive|ITRecruitment|TechnicalRecruiter|TechRecruiter|
"""IT Recruiter"" at Chandigarh for Full Time",Volcano Cloud Technologies Private Limited,Chandigarh,1-3years,Not Specified,Responsible for Screening resumes and Performing in-person and phone interviews with candidates . |   |  Administering appropriate company assessments . |   |  Performing reference and background checks . |   |  Making recommendations to company hiring managers . |,TechnicalRecruitment|TalentAcquisition|Recruiter|ItStaffing|ItRecruiter|ITRecruitment|TechRecruiter|
Executive/Manager-Talent Acquisition,Future Makers Global Private Limited,Noida,1-5years,Not Specified,We are a product based co. and we are there in the market since more than 13 yrs. |   |  we are looking for passionate candidates who will be the part of Talent Acquisition department. |   |,ItRecruiter|ItStaffing|Recruitment|HrExecutive|TechnicalRecruiter|ITrecruitment|TechRecruiter|
Urgent Opening - US IT Recruiter - Salary Upto 35K - Ahmedabad,Arise Solution,Ahmedabad,1-3years,190000 - 300000 INR,"We Are Hiring For HR IT Recruiter in Ahmedabad , For Senior / Junior Level",USRecruiter|UsStaffing|RecruitementProcess|HrExecutive|Recruitment|ItRecruiter|ItStaffing|UsItRecruiter|TechnicalRecruiter|TechRecruiter|ITrecruitment|
Recruiter/ Sr IT Recruiter,Quess Corp Limited,Hyderabad/Secunderabad,1-5years,Not Specified,"Job Details: |  Role : Recruiter/ Senior IT Recruiter   |  Work Location: Begumpet, Hyderabad  |  Office Timings: 7:30 AM to 4:30 PM IST |   |  Skills:  |  1)     Good written and oral communication skills in English  |  2)     Target Driven  |",ApacRecruiter|ItRecruiter|SeniorITRecruiterITrecruitment|Recruitment|ItStaffing|Singapore|phillipines|Vietnam|TechnicalRecruiter|TechRecruiter|
Urgent Hiring / US Recruiter / Salary Upto 35K / Ahmedabad,Arise Solution,Ahmedabad,1-3years,190000 - 300000 INR,"We Are Hiring For HR IT Recruiter in Ahmedabad , For Senior / Junior Level",USRecruiter|UsStaffing|RecruitementProcess|HrExecutive|Recruitment|ItRecruiter|ItStaffing|UsItRecruiter|TechnicalRecruiter|TechRecruiter|ITrecruitment|
Opening / US IT Recruiter / Salary 18K To 30K / Ahmedabad,Arise Solution,Ahmedabad,1-5years,200000 - 300000 INR,We have urgent hiring for US Staffing - Ahmedabad location for Immediate joinings. Only Experienced can apply.,ItRecruiter|HrExecutive|RecruitmentnonITrecruiter|HrRecruitment|ITstaffing.TechRecruiter|ItStaffing|TechnicalRecruiter|RecruitmentExecutive|
Urgent Opening / US Recruiter / Night Shift / Salary Upto 35K Ahmedabad,Arise Solution,Ahmedabad,1-3years,190000 - 300000 INR,"We Are Hiring For HR IT Recruiter in Ahmedabad , For Senior / Junior Level",USRecruiter|UsStaffing|RecruitementProcess|HrExecutive|Recruitment|ItRecruiter|ItStaffing|UsItRecruiter|TechnicalRecruiter|TechRecruiter|ITrecruitment|
