jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Software tech support  Technical Support,Busipex Services Private Limited,Chennai,0-4years,Not Specified,2 Female candidates for Software Tech Support,softwaretechsuppport|SoftwareSupportExecutive|TechnicalSupport|TechSupport|TechnicalSupportExecutive|TechnicalSupportEngineer|SoftwareSupport|TechnicalSupportEngineer|TechnicalSupportRepresentative|ITSupport|
Tech Voice support,Axis Consultants,Gurgaon/Gurugram,1-5years,Not Specified,HIRING FOR SEMI TECH Voice PROCESS |    |   Experience 1Year |   Undergraduate/Graduate |   International BPO for Process. |   Job location/ Gurgaon |   Salary 3.5 to 5 Lakh |   Must have Good Communication Skills. |   Rotational shift |   5 Day Working. |   Cab Facilities |,Hardware|Microsoft365|ActiveDirectory|Window|SoftwareEngineer|Citrix|Windowsadmin|Vmware|
Technical Support Engineer / Tech Support / Technical Support Executive / TSE,Parahit Technologies Limited,Kozhikode/Calicut,2-5years,Not Specified,Looking for Technical Support Engineer,Linux|Centos|Windows|TechnicalSupport|
"Tech support, Ambattur",CSS Corp Private Limited,Chennai,0-3years,Not Specified,"Need candidates with call centre Exp or good knowledge in technical domain(Networking, Routers)",Bpo|CallCenter|VoiceProcess|Techsupport|technicalsupport|
BPO/Tech Support & Customer Support /Customer Care Executive,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,0-3years,150000 - 420000 INR,BPO/Tech Support & Customer Support /Customer Care Executive,CustomerServiceExecutive|Inbound|Outbound|Bpo|CallCenter|CallCentre|CSR|TSR|Kpo|TechnicalSupport|
Technical Support Engineer / Tech Support Engineer / Technical Support,Parahit Technologies Limited,Delhi,2-5years,320000 - 440000 INR,We are looking for high performing and independent Technical Support Engineer.,Dialer|Linux|Windows|Networking|
Technical Support Representative,Cappricos Technology Solutions Private Limited,Bengaluru/Bangalore,0-2years,100000 - 210000 INR,L1 technical support process: |   if interested Kindly call or Forward your Updated Resume to  |   Saima - 9731172224 |   Email:- [HIDDEN TEXT],TechSupportRepresentative|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
QA- Tech Support,Insigma Technologies Private Limited,Noida,2-6years,Not Specified,"Looking for QA- Tech Support with good experience in SQL, API and Postman Tool",QaEngineer|Sql|Api|Postman|
Hiring for Networking Voice SUPPORT- GRAD Freshers - 16K to 22K - Call 9960920092,Sky Scrapper Consulting,Pune,0-5years,Not Specified,Technical Support VOICE process,Virginmedia|concentrix|Wipro|Troubleshooting|Voice|internationalvoiceprocess|Technicalsupport|techsupport|desktopsupport|ApplicationSupport|
Hiring for Technical SUPPORT- GRAD Freshers - 16K - Call 8237076800,Sky Scrapper Consulting,Pune,0-5years,Not Specified,Technical Support VOICE process,Virginmedia|concentrix|Wipro|Troubleshooting|Voice|internationalvoiceprocess|Technicalsupport|techsupport|desktopsupport|ApplicationSupport|
Hiring for Networking Voice SUPPORT- GRAD Freshers - 16K to 22K - Call 8237076800,Sky Scrapper Consulting,Pune,0-5years,Not Specified,Technical Support VOICE process,Virginmedia|concentrix|Wipro|Troubleshooting|Voice|internationalvoiceprocess|Technicalsupport|techsupport|desktopsupport|ApplicationSupport|
Hiring Graduate & UG Fresher / EXP / International BPO / Technical support Associate.,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
International Technical Support / Rotational Shifts / Sal upto 3lpa,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
