jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Technical Helpdesk,Vibrantzz Management Services,Mumbai,1-3years,Not Specified,Technical Assistance Representative Openings for US based Company  |   |  Graduate with Technical Support or Technical Assistance can apply',TechnicalSupport|TechnicalSupportExecutive|
Hiring For BPO & IT Helpdesk,White Horse Manpower Private Limited,Bengaluru/Bangalore,0-8years,280000 - 550000 INR,"Technical SupportGood Communication Skills, Presentation Skills, Interpersonal Skills",ServiCeDesk|CallCoordinator|HelpDesk|HelpdeskCoordinator|HelpdeskExecutive|ItHelpdesk|TechnicalHelpdesk|ItCoordinator|
Service Desk Technical Support IT Helpdesk,Job World,Bengaluru/Bangalore|Gurgaon/Gurugram,2-7years,Not Specified,Hiring for leading MNC in India.,ServiceDesk|ItHelpdesk|TechnicalHelpdesk|ITsupport|RemoteSupport|TechnicalSupport|TechnicalSupportExecutive|TechnicalSupportEngineer|DesktopSupport|
Windows server administration / Technical Helpdesk / Technical voice process / Microsoft server,Jobs Expert Private Limited,Pune,2-9years,270000 - 560000 INR,Windows server administration / Technical Helpdesk / Technical voice process |   |  Salary upto 5.6Lpa + incentives |  Telephonic interviews |   |  Sam-9999300435,Helpdesk|Activedirectory|MsOutlook|Bpo|TSE|ItHelpdesk|TechnicalHelpdesk|WindowsServerAdministration|Technicalsupport|ServerSupport|RemoteSupport|WindowsTroubleshooting|Fsmo|Dns|DHCP|MsExchange|Office365|MicrosoftServer|
Helpdesk Technician for KPO In Bangalore Call Rina,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,1-6years,Not Specified,"Helpdesk Technician, TSR, Technical Support, The HelpDesk Technician is required to assist customers who are experiencing any procedural or operating difficulty with the use of IT applications",TSR|HelpdeskTechnician|Helpdesk|HelpdeskExecutive|TechnicalSupport|TechSupport|DesktopSupport|TechnicalSupportEngineer|ServiceDeskSupport|ItHelpdeskSupport|
Service Desk/ Technical Support/ IT Helpdesk,Job World,Bengaluru/Bangalore,1-6years,Not Specified,Hiring for TOP IT Company for Service Desk |   |  Skill : L1 Tech Support with International Voice (Voice and Accent Round is included) |  Experience : 3 years to 6 years |  Location : Bangalore |  Notice Period : Immediate to 1 month only |  Education : Any Graduate,ServiceDesk|ItServiceDesk|TechnicalHelpdesk|ITsupport|
Openings for technical Support Voice Process / Enterprise Support,Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,2-9years,300000 - 560000 INR,Openings for technical Support Voice Process / Enterprise Support |   |  Skype Interviews |  CTC- 5lpa + incentives |   |  Sam-9999300435,technicalnalayst|CustomerSupport|Activedirectory|MsOutlook|TSE|TSR|Technicalsupport|TechnicalHelpdesk|Dns|DHCP|Fsmo|ExchangeServer|O365|Ipv4|Ipv6|
Associate Technical Support- International Voice Process(CALL- 8766285530),Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,1-11years,300000 - 500000 INR,Associate Technical Support-International Voice |  Location: Gurgaon/ Pune |  Qual- Gards/ UG/ Drops outs can apply |  Skills- 1 yr tech support exp in International Voice Process |  Shifts- 24/7 |  CTC- 5LPA + Incentives |  CALL LIPIKA |  8766285530/ 8467054123,TechSupportVoice|Troubleshooting|ActiveDirectory|ServiceDesk|ItHelpdesk|PrinterSupport|SystemAdministration|NetworkSupport|Ccna|ServerSupport|AzureActiveDirectory|ExchangeServer|RemoteSupport|TechnicalHelpdesk|TechnicalSupport|
"Windows Server Administration, Technical Helpdesk - Microsoft server",Jobs Expert Private Limited,Delhi|Gurgaon/Gurugram,1-9years,300000 - 500000 INR,"Windows Server Administration, Technical Helpdesk - Microsoft server |   |  Salary upto 5lpa + incentives |  Cabs |   |  Sam-9999300435",Activedirectory|AD|Enterprisesupport|TechnicalVoiceProcess|CustomerSupport|Ads|Technicalsupport|WindowsServerAdministration|Dns|DHCP|ExchangeServer|MicrosoftOffice365|Windowsserver|MicrosoftServer|GroupPolicy|Fsmo|RemoteSupport|
HIRING FOR INTERNATIONAL CS / TS VOICE  PROCESS,Waterleaf Consultants Private Limited,Hyderabad/Secunderabad,1-8years,200000 - 520000 INR,HIRING FOR INTERNATIONAL CS / TS VOICE  PROCESS,CustomerSupport|TechnicalSupport|ItHelpdesk|TechnicalSupportExecutive|
