jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Technical Project Manager (CMS),Teejay Global Infotech Services LLP,Gurgaon/Gurugram|Hyderabad/Secunderabad,8-13years,Not Specified,"Urgent Opening for Technical Project Manager (CMS) position. |  Desired Skills:  |  Content Management System (CMS), Web Content Management (WCM), Digital Asset Management (DAM), Adobe Experience Manager (AEM), Oracle WebCenter Sites (WCS), or Drupal etc..",Cms|ContentManagementSystem|adobeexperiencemanager|Aem|WebContentManagement|
Technical Manager,Kored Infratech Private Limited,Hyderabad/Secunderabad,3-6years,100000 - 480000 INR,Technical Manager,Telecom|ElectricalEngineer|ElectricalMaintenance|O&M|TechnicalManager|TechnicalManager|
Technical Project Manager,EMVEE Information Technologies Private Limited,Bengaluru/Bangalore|Pune,2-12years,Not Specified,Looking for  Technical Project Manager |    |     |      |       |,TechnicalProjectManager|Pm|ProjectManager|
Technical Project Manager,EMVEE Information Technologies Private Limited,Chennai|Coimbatore,2-12years,Not Specified,Looking for  Technical Project Manager |   |    |     |      |,TechnicalProjectManager|Pm|ProjectManager|
Technical Project Manager,EMVEE Information Technologies Private Limited,Gurgaon/Gurugram|Hyderabad/Secunderabad,2-12years,Not Specified,Looking for  Technical Project Manager |     |      |       |        |,TechnicalProjectManager|Pm|ProjectManager|
Technical Manager - (Zonal/ District Technical Manager),Kored Infratech Private Limited,Bengaluru/Bangalore,3-10years,360000 - 540000 INR,"Should be high level experience of 3 to 10 years and  should have knowledge of commissioning & functionality of Passive Infrastructure equipment's like DG set, PIU panel, Transformer, SMPS, Air Conditioner, and Battery bank. |",Telecom|ElectricalEngineer|ElectricalMaintenance|O&M|TechnicalManager|TechnicalManager|
Java Technical Manager/Program Manager,Aayam Consultants,Pune,12-15years,2200000 - 2400000 INR,Java Technical Manager/Program Manager are  responsible for designing and developing software applications using the Java programming language and respective frameworks.,Pmp|ProjectProgramManager|JavaProjectManager|CI-CD|JavaTechnologies|JavaJ2ee|Hibernate|Microservices|AwsCloud|AjaxFramework|SpringBoot|RESTful|WebServices|RestApi|Mysql|Hsqldb|MongoDB|Jms|Jvm|AWS|Ec2|S3|Cloudwatch|Agile|ProjectManager|
Technical Manager,AutoRabit Software Private Limited,Hyderabad/Secunderabad,10-20years,2000000 - 4000000 INR,"This position provides hands-on technical, architecture, and management functions to our product development team and reporting to Head of Engineering. The person will also need to closely work with the product management, business operations, etc..",AWS|Docker|Java|Microservices|cloud|
Technical Project Manager-Java,Best infosystems Ltd,Gurgaon/Gurugram|Hyderabad/Secunderabad,12-15years,Not Specified,"Act as SPOC for the solutions/ applications being developed interacting with client,Participate in proposals of assigned clients - scoping, estimating efforts etc",TechnicalProjectManager|Sp|Java|J2EE|Servlet|Struts|Spring|SpringBoot|WebServices|Jpa|Hibernate|Jms|Oauth|
Technical Account Manager/Support Engineer Storage/ Implementation,Varaisys Private Limited,Mumbai|MumbaiCity|NaviMumbai|Thane,5-15years,310000 - 1010000 INR,We are sourcing candidates for the below mentioned requirement. For IT company job location is in Mumbai. With various locations as required by client.,SDDC|NSX-T|Netabackup|HitachiVantara|SQL-DB|Vmware|Netapp|Vsan|Vrops|Commvault|Veeam|Networker|Backup|Storage|NetappStorage|Emc|Database|Virtualization|Nutanix|
