jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Hiring Terraform Developers - Contract - Chennai or Chandigarh,Techcom Solutions India Private Limited,Chennai|Chandigarh,3-8years,Not Specified,Exp : 3 to 8 Years. |  Strong development knowledge using Terraform with deep Infrastructure As Code (IAC) automation background. |  Ability to write software that interacts with AWS services and/or is hosted in AWS specifically using boto3 and the Java.  |,Terraform|
JAVA SPRINGBOOT DEVELOPERS,Diena Recruitment Services,Bengaluru/Bangalore|Hyderabad/Secunderabad,5-9years,Not Specified,We are looking for developers with a minimum of 5+ years of experience.,JAVASPRINGBOOTDEVELOPERS|Terraform|
Openings for Devops Engineer,Sun Technology Integrators Private Limited,Bengaluru/Bangalore,6-9years,Not Specified,"This full-stack developer will be working within a DevOps Agile/Kanban team. Responsibilities also include application architecture, development, packaging and promotion to all environments including supporting production deployment.",DevopsEngineer|Docker|Git|Svn|Puppet|Terraform|Soapui|
Site Reliability Engineer,Devenir Software Private Limited,Bengaluru/Bangalore,5-8years,Not Specified,"|   |  The Site reliability engineer will be responsible for design, implementation, configuration, optimization, management, documentation and support the continuous delivery of WOS software components in AWS. The candidate will be working",Spinnaker|EventBridge|CloudFormation|JUnit|AWS|ApiManagement|Terraform|
Azure cloud Devops engineer,Klaus It Solutions Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,6-16years,Not Specified,"OUR TECH STACK: |  •	Docker, Kubernetes, Helm |  •	Terraform, GitOps, Flux |  •	Microsoft Azure Cloud |  •	Datadog, Grafana, Prometheus, and New Relic |  •	Managed Postgres and Elasticsearch |  •	DotNetCore and Ruby on Rails back-ends |  •	React/Redux with TypeScript fro",Helm|GitOps|Docker|Kubernetes|Terraform|Flux|
"Azure DevOps , Terraform, AKS Engineer",Cloud Kinetics Solutions Pte Ltd,Bengaluru/Bangalore|Hyderabad/Secunderabad,5-10years,Not Specified,"A trusted technology partner in business innovation -delivering technology, strategies and solutions that drive business growth requires Azure DevOps, Terraform, AKS Engineers",CI/CD|Azure|Jenkins|Kubernetes|Docker|
Terraform,Nelito Systems Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,8-10years,Not Specified,Migration experience of On prem to Azure Cloud/AWS |  Migration experience of On prem to On prem  |  Experience in Azure Cloud development  |  Experience in Azure Infra Management  |  Experience in ARM template and Power shell script |,Terraform|
Devops Engineer with Terraform Urgent need,Millennium Ims Private Limited,Chennai|Hyderabad/Secunderabad,7-11years,Not Specified,Looking for immediate joiners and who can start by 1st of May 2021. Strong experience with Terraform and Devops and Azure Savvy,Terraform|Devops|Azure|
JOB | IMMEDIATE OPENING FOR AZURE DEVOPS REQUIREMENT WITH YAML,Vitestork Consulting Private Limited,Bengaluru/Bangalore|Chennai,6-10years,850000 - 1650000 INR,we are hiring,cd|Deployment|Implementation|AzureDevops|ReleaseManagementEducation-Configuration|Terraform|Powershell|Build|Ci|Yaml|ReleaseEngineering|
AWS Admin - Terraform,Aurumdata Solutions India Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,3-6years,Not Specified,We have urgent opening for AWS Admin role – Pan India location,AWS|AmazonWebService|Terraform|
