jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Language Experts - French / German / Spanish / Korean /Japanese /Chinese / Russian / Italian,2COMS Consulting Private Limited,Bengaluru/Bangalore|Chennai,1-10years,200000 - 1000000 INR,Language Experts - French / German / Spanish / Korean /Japanese /Chinese / Russian / Italian,GermanLanguage|FrenchLanguage|Spanish|Japanese|Russian|GermanTranslator|Italian|French|Korean|ChineseLanguage|
Tourism & Hospitality Trainer,Hucon Solutions India Private Limited,Valsad,5-15years,Not Specified,RequirementsUrgent opening for Tourism & Hospitality Trainer(Valsad-Gujrat)Qualification & ExperienceCertification in the domain/Diploma or degree on Hotel Management/Diploma & Degree on any other streamToT certification: PreferredExperience: 5,Tourism&HospitalityTrainer|
Corporate Trainer,Jobs Expert Private Limited,Bengaluru/Bangalore,2-5years,Not Specified,"Help develop, coordinate and deliver world class On-boarding and Ongoing training to employees across its global locations.",Trainers|CorporateTrainer|Trainer|TrainingManager|SalesTrainer|TechnicalTrainer|ProcessTrainer|
TOP BPO|| Voice and Accent Trainer|| Noida (CALL-8766285530),Newzen Infotech,Noida,1-10years,370000 - 650000 INR,HIRING FOR LEAD VNA TRAINER |  Location- Noida |  Req min 1+yr exp as a VNA Trainer in an International BPO |  Deliver New Hire Training to New Hire Training batches |  CTC-6.5L |  Only Grads |  24/7 SHIFTS |  CALL-8766285530/ 8467054123 |  [HIDDEN TEXT],LeadCommunicationTrainer|VoiceandAccentTrainer|LeadCommunicationCoach|VNATrainer|CommunicationTrainer|Trainer|MasterTrainer|SeniorTrainer|CommunicationCoach|Training|LeadVoiceandAccentTrainer|CommunicationSkills|LeadTrainer|LeadVNA|
Trainer - .Net,Vibrantzz Management Services,Hyderabad/Secunderabad,5-10years,650000 - 860000 INR,"Strong technical background and work on primarily training internal consultants. |   Strong experience in C#, .NET, Azure with good hands on skills",C#|AJAX|Sql|jQuery|ApiDevelopment|
Process Trainer,2COMS Consulting Private Limited,Mumbai,1-5years,Not Specified,Process Trainer Openings for International BPO  |   |  Openings for US based Banking Process,"""ProcessTrainer""|"
Handset Repair Engineer Trainer,Huligemma Consultancy Services,Valsad,1-15years,Not Specified,"Position : Trainer - Hand Set Repair EngineerDomain- Skill DevelopmentLocation : Dharampur,Valsad(Gujrat)Salary : NegotiableQualification & Experience : ITI/Diploma : Electrical / Electronic / Communication./ CS/ IT, Graduate : Science Stream",HandsetRepairEngineerTrainer|
Language Experts - French / German / Spanish / Korean /Japanese /Chinese / Russian / Italian,Global Colliance LLP,Hyderabad/Secunderabad|Kolkata,1-10years,200000 - 1000000 INR,Language Experts - French / German / Spanish / Korean /Japanese /Chinese / Russian / Italian,Trainer|LanguageTrainer|GermanLanguage|FrenchLanguage|Spanish|Japanese|Russian|GermanTranslator|Italian|French|Korean|ChineseLanguage|
Language Experts - Hindi  / Telugu  /  Kannada  / Marathi / Bengali / Gujarati /Tamil / Malayalam,STT Solution,Delhi|Gurgaon/Gurugram,0-5years,200000 - 1000000 INR,Language Experts - Hindi  / Telugu  /  Kannada  / Marathi / Bengali / Gujarati /Tamil / Malayalam,Trainer|LanguageTrainer|GermanLanguage|FrenchLanguage|Spanish|Japanese|Russian|GermanTranslator|Italian|French|Korean|ChineseLanguage|
Language Experts - Hindi  / Telugu  /  Kannada  / Marathi / Bengali / Gujarati /Tamil / Malayalam,Adal Immigrations LLP,Hyderabad/Secunderabad|Kolkata,1-10years,200000 - 1000000 INR,Language Experts - Hindi  / Telugu  /  Kannada  / Marathi / Bengali / Gujarati /Tamil / Malayalam,Trainer|LanguageTrainer|GermanLanguage|FrenchLanguage|Spanish|Japanese|Russian|GermanTranslator|Italian|French|Korean|ChineseLanguage|
Language Trainer - English ( Full Time /  Part time ),A V Immigration And Careers Consultancy Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,1-10years,200000 - 1000000 INR,Language Trainer - English ( Full Time /  Part time ),EnglishTeacher|EnglishFaculty|EnglishLecturer|EnglishTutor|EnglishLanguage|EnglishGrammar|
Language Experts - Hindi  / Telugu  /  Kannada  / Marathi / Bengali / Gujarati /Tamil / Malayalam,A V Immigration And Careers Consultancy Private Limited,Bengaluru/Bangalore|Chennai,1-10years,200000 - 1000000 INR,Language Experts - Hindi  / Telugu  /  Kannada  / Marathi / Bengali / Gujarati /Tamil / Malayalam,Trainer|LanguageTrainer|GermanLanguage|FrenchLanguage|Spanish|Japanese|Russian|GermanTranslator|Italian|French|Korean|ChineseLanguage|
Urgently required Spoken English Trainer-work from home REF: 9916560596,White Horse Manpower Private Limited,Bengaluru/Bangalore,3-8years,120000 - 350000 INR,"Excellent English speaking, reading & writing skills (English phonetics pref.) |   - Ability to write & understand engaging & detailed lesson plans is a definite advantage. |   - Great command in the English language |   - Good screen presence |    |",EnglishTeacher|EnglishLecturer|English|English|Faculty|English|EnglishProfessor|EnglishTrainer|EnglishTutor|EnglishTrainer|Englishaccent|SoftSkill|SoftSkillTrainer|Voice|Language|Communication|
IELTS Faculty,2COMS Consulting Private Limited,Vadodara,1-3years,Not Specified,Urgently looking for full stack IELTS Faculty for Global Colliance.,Ielts|IELTSFaculty|IELTSTrainer|
Need a Teacher,Crescendo Manpower Consultany Private Limited,Amritsar|Bhatinda,0-5years,190000 - 380000 INR,Need a Teacher,Teacher|Faculty|Professor|Tutor|Trainer|Instructor|PRTTeacher|Pgt|Tgt|Lecturer|
Training and Development  Manager required in Overseas/Canada/Dubai,Deputize Consultancy Private limited,Australia|Canada,2-7years,1500000 - 4500000 INR,"The training manager will work with the department heads, team leaders and will coordinate and facilitate the functional or technical trainings.",TrainingManager|Trainer|BranchTrainingManager|SalesTraining|InsuranceTrainer|CorporateTrainer|RegionalTrainingManager|TrainingExecutive|
Sports Centre Manager Australia,Gensys Infocare Private Limited,Australia|Canada,3-8years,Not Specified,"Organises, controls and promotes the activities, facilities and resources of a sports centre.",SportsCentreManager|fitnessprograms|Schedulinggames|coaching|fitnessinstruction|SafetyManagement|FacilitiesIncharge|Planning|
Sports Centre Manager Australia,V4 Recruiters,Australia|Canada,9-14years,Not Specified,"Organises, controls and promotes the activities, facilities and resources of a sports centre.",SportsCentreManager|fitnessprograms|Schedulinggames|coaching|fitnessinstruction|SafetyManagement|FacilitiesIncharge|Planning|
Urgent requirement Of Process Trainer-Insurance 9342431049,MP Dominic & Co,Bengaluru/Bangalore,0-4years,150000 - 420000 INR,Candidate should possess excellent oral and written communication skillsCandidate with good customer service skills would be preferredCandidate should have 0-5 year of experience in Customer Support Voice Process. Prior experience in Customer Serv,CustomerServiceExecutive|Inbound|Outbound|Training|ProcessTrainer|
