jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"Transition & Transformation Manager 7 To 13 Years Bangalore, Mumbai, Pune, Chennai",Atos Global It Solutions And Services Private Limited,Bengaluru/Bangalore|Mumbai,8-13years,Not Specified,"Transition & Transformation Manager 7 To 13 Years Bangalore, Mumbai, Pune, Chennai",TransformationManager|Transformation|Infrastructure|TransitionManager|ItInfrastructure|ItInfrastructure|
Business Analyst / E-Commerce Transformation,Computer Generated Solutions India PVt. Ltd.,Hyderabad/Secunderabad,2-10years,Not Specified,"Looking for Business Analyst with E-commerce Platform, Agile Methodologies",BusinessAnalyst|BusinessConsultant|E-Commercetransformation|APIKnowledge|AgileMethodologies|
Agile Coach,ALLEGIS SERVICES (INDIA) PRIVATE LIMITED (RPO),Bengaluru/Bangalore,5-12years,Not Specified,6-10 Years Agile Team Coaching Experience,Agiletransformation.|AgileCoach|Agile|
WebSphere transformation extender(WTX) / ITX_ 4+ yrs _ Pan india_ MNC _ 1 yr c2h,BR Raysoft Global Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,4-12years,Not Specified,WebSphere transformation extender(WTX)/ ITX _ 4+ yrs _ Pan india_ MNC _ 1 yr c2h,itx|Wtx|WebsphereTransformationExtender|
Manager - Business Transformation,Golden Opportunities Private Limited,Bengaluru/Bangalore|Chennai,8-14years,Not Specified,Candidate with 8 - 12 years of experience in Process Transformation Process Automation Operational Excellence Quality,BusinessTransformation|PEX|BusinessExcellence|ProcessExcellence|
Manager - Business Transformation,Golden Opportunities Private Limited,Mumbai,8-14years,Not Specified,Candidate with 8 - 12 years of experience in Process Transformation Process Automation Operational Excellence Quality,BusinessTransformation|PEX|BusinessExcellence|ProcessExcellence|
Agile Coach | Rakuten | 9-15 years,ANSR Global Corporation Private Limited,Bengaluru/Bangalore,9-15years,Not Specified,Experience coaching Agile teams across business and technology; aligning teams with business KPI’s to drive value |,AgileTransformation|AgileCoachCertification|AgileCoach|
Microsoft Dynamics CRM Developer,SnapHunt Pte Ltd,Bengaluru/Bangalore,2-5years,Not Specified,"You will be working with a project team to design, build and configure applications to meet business process and application requirements.",MicrosoftDynamics|ProjectLeading|BusinessProcess|CRM|MSDynamics|C#|Plugins|WebApi|.NET|WebTechnologies|DigitalTransformation|
Program and Project Management Cloud Transformation & Migration,Accenture,Bengaluru/Bangalore,3-4years,Not Specified,"Job DescriptionAbout Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy an",Cloud|
AccionLabs seeking Product Owner-Web Application & Digital transformation,Accion Labs India Private Limited,Chennai|Mumbai,8-16years,Not Specified,Looking for candidates with 8+ years of experience from Reputed product development Companies / Reputed Colleges with either Master's / Bachelor's degree. |  Mode of Interview – 2 rounds of 2 way video interview followed by Manager round and HR Round,ProductManagement|Kanban|ProductOwner|Scrum|Agile|
