jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Senior QA Engineer,FUSAQ Technologies Private Limited,Remote,8-12years,Not Specified,Role : QA Analyst (AUTOMATION) ( Remote– India) (We are looking for an immediate joiner) 8+ years of experience working in the QA role with Agile Scrum delivery models with Continuous Integration. Candidates should have good Automation experience,QAAutomationEngineer|AgileScrum|EtlTesting|Uat|UiTesting|
ETL/BI QA Tester,Smartwash Solutions,Hyderabad/Secunderabad,6-9years,Not Specified,Strong ETL & BI Testing with QA & UAT responsibilities with Data Warehouse Testing.,AutomationEngineer|Etl|BI|Sql|Uat|DataWarehouse|Testing|
UAT Automation Tester,Insigma Technologies Private Limited,Hyderabad/Secunderabad,2-3years,360000 - 420000 INR,"Responsible for providing leadership, responsibility and management of UAT development and execution with a focus on strategic testing processes and procedures to enable testing activities and ensure that company standards and specifications are met.",Selenium|RobotFramework|Coding|StatusReport|KatalonStudio|
QA/UAT Engineer,Best infosystems Ltd,Delhi|Noida,2-7years,Not Specified,"Looking for a Senior QA Engineer, you will be involved throughout the software development lifecycle with particular responsibility in the quality assurance of web and mobile app development and deployment with emphasis on development.",sqlqueries|Uat|UserAcceptanceTesting|UiTesting|ManualTesting|Postman|DatabaseTesting|
SAP_PROJECT MANAGER,Best infosystems Ltd,Bengaluru/Bangalore,8-15years,Not Specified,IT Delivery is responsible for building and deploying end to end IT solutions for business and markets This will increasingly involve configuring and integrating standard applications the full stack including infrastructure rather than customizing,ProgramManagement|ProjectCortex|QualityManagement|UATTestingandReporting|PROJECTGOVERNANCEPLAN|
SAP_PROJECT MANAGER,Golden Opportunities Private Limited,Bengaluru/Bangalore,8-15years,Not Specified,IT Delivery is responsible for building and deploying end to end IT solutions for business and markets This will increasingly involve configuring and integrating standard applications the full stack including infrastructure rather than customizing,ProgramManagement|ProjectCortex|QualityManagement|UATTestingandReporting|PROJECTGOVERNANCEPLAN|
Clinical Data Management Mid Management Role at Leading MNC,Germinate Technologies Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,5-10years,Not Specified,Minimum 5 Years of Experience in Clinical Data management into Setup activity and supporting review of laboratory data,Cdm|ClinicalDataManagement|RAVE|Reconciliation|discrepancy|Cdm|Uat|
QA Automation Engineer (8-14 years).,Atyeti Inc,Hyderabad/Secunderabad,8-13years,Not Specified,"Should have Automation background with experience in tools like Cypress, Cucumber, Selenium,GIT |  Should have proficient experience Agile QA skills, e2e testing capability, support to UAT testers |  Should have expertise in Java script |",Cypress|UATtesters|AWSdevicefarms|JIRA|Cucumber|Selenium|Git|Javascript|ApiTesting|Cicd|Jenkins|
Kinaxis Functional Consultant,Angel And Genie,Bengaluru/Bangalore|Chennai,5-8years,Not Specified,"Expertise and in-depth knowledge on demand planning and forecasting, consensus demand planning, S&OP, MPS, CRP, Inventory optimization.",Kinaxis|KinaxisRapidresponse|S&OP|Mps|CRP|Inventoryoptimization|UT/E2E/UAT|R&CPG/Hi-Tech|Etl|
ENGINEER / SR. ENGINEER – APPLICATION SUPPORT,Golden Opportunities Private Limited,Mumbai,3-7years,Not Specified,Ability to handle production environments with the required caution,C#|Xml|ASP.NET|SQLServer|Tsql|Uat|
"LIMS Specialist – Powai, Mumbai – Experience Minimum 5 Years in LIMS – Budget",Golden Opportunities Private Limited,Mumbai,4-9years,Not Specified,"LIMS Specialist – Powai, Mumbai – Experience Minimum 5 Years in LIMS – Budget – As Per Industry Standards",LIMSSpecialist|ELNplatforms|EntityRelationshipDiagrams|UATscripts|IntegrationTesting|
Clinical Data Management (Team Lead),Golden Opportunities Private Limited,Mumbai|Pune,4-8years,Not Specified,Exciting Opportunity for the Role of â€œClinical Data Managementâ€ for Mumbai	 Bangalore	 Pune	 Hyderabad Location	 with one of the Leading MNC servicing the Leading Communication Fortune 100 companies. CTC best in the industry. |,Cdm|ClinicalDataManagement|RAVE|Reconciliation|discrepancy|Cdm|Uat|
Clinical Data Management (Team Lead),Golden Opportunities Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,4-8years,Not Specified,Exciting Opportunity for the Role of â€œClinical Data Managementâ€ for Mumbai	 Bangalore	 Pune	 Hyderabad Location	 with one of the Leading MNC servicing the Leading Communication Fortune 100 companies. CTC best in the industry. |,Cdm|ClinicalDataManagement|RAVE|Reconciliation|discrepancy|Cdm|Uat|
Clinical Data Management (Team Lead),URS Systems Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,4-8years,Not Specified,Exciting Opportunity for the Role of â€œClinical Data Managementâ€ for Mumbai	 Bangalore	 Pune	 Hyderabad Location	 with one of the Leading MNC servicing the Leading Communication Fortune 100 companies. CTC best in the industry. |,Cdm|ClinicalDataManagement|RAVE|Reconciliation|discrepancy|Cdm|Uat|
Clinical Data Management (Team Lead),Skan Tech Consultancy,Mumbai|Pune,4-8years,Not Specified,Exciting Opportunity for the Role of â€œClinical Data Managementâ€ for Mumbai	 Bangalore	 Pune	 Hyderabad Location	 with one of the Leading MNC servicing the Leading Communication Fortune 100 companies. CTC best in the industry. |,Cdm|ClinicalDataManagement|RAVE|Reconciliation|discrepancy|Cdm|Uat|
Integration Engineer (Testing /Monitoring Centric),Insigma Technologies Private Limited,Kolkata,1-5years,Not Specified,"Basic understanding of network topology in 4G, 5G & VoLTE networks |  Exposure in OSS & Analytics for telecom operators involving Core and RAN in 4G and Volte networks along with clear understanding of different network protocols.",Volte|4G|5G|IntegrationEngineer|MoitoringCentric|Devops|Logstash|Kibana|Cem|Uat|Sit|Uat|OSS|Oss/bss|Linux|UNIX|Shell|Python|Testing|
Software Engineer,iWork Solutions,Delhi|Gurgaon/Gurugram,2-4years,Not Specified,"Develop software applications and their maintenance |  Query optimization, coding, testing, UAT support, PL/SQL Development, Work on Oracle database, Support during production for any issues",OracleDatabase|Plsql|PL/SQLdevelopment|OraclePL/SQL|Etl|Java|REST|WebServices|Spring|Boot|QueryOptimization|Index|TechnicalDocumentation|Uat|ShellScript|Devops|Sonar|Maven|Web2.0|Css3|Html5|
Urgent Hiring || QA/UAT Engineer || Noida || Full time,Omnino Solutions Private Limited,Noida,2-7years,Not Specified,"SQL, API, Manual, UAT Exp. Needed",APL|Sql|Manual|Uat|
SAP PP consultant,Pear Visa Immigration Services Private Limited,Mumbai,2-7years,Not Specified,Develop and strengthen the System Management implementation so as to improve overall organisational performance and achieve |  superior results. Initiate and drive change in the form of designing and deploying IT tools by aligning key stakeholder to pro,BusinessProcess|SapPp|SapQm|Uat|
