jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
UI Developer,Nscript Web Studios Private Limited,Chennai,2-5years,200000 - 500000 INR,"Immediate job opening for Front end developer with strong skills in HTML,CSS, bootstrap and Javasccript",HTML|CSS|Javascript|AJAX|Bootstrap|jQuery|PsdToHtml|
UI Developer,Digiquint Solutions Private Limited,Bengaluru/Bangalore,1-4years,Not Specified,Job Title: UI developer |  Experience: 1.5 yrs nd above |  Salary: 5-12LPA |  Location: Bangalore (WFH) |,Havingmin1.5+yearsofexperience.ExcellentexperienceinworkingwithJQUERY|andotherfrontendstechnologies/frameworkHavingexperienceworkingwithJSON/XMLandRESTAPIstructureAttachmentsarea|Javascript|
UI Developer,Redefined Corp,Chennai,5-7years,Not Specified,Competencies |   |  Have a strong portfolio in designing web apps and be obsessed with details & have an eye for good design. |  Minimum of- 5 years- experience in web development and coding within a cross disciplinary- environment |  Good hands-on experience in,UIDeveloper|
Senior UI Developer,2COMS Consulting Private Limited,Hyderabad/Secunderabad,5-7years,Not Specified,"technologies like Angular 8+, Typescript, CSS |   3 years of experience in front-end development of web applica_ons. |   Frameworks: Angular 8+, Typescript, CSS, JS, HTML |   Experience in react js, jQuery and backend stacks will be an advantage |   B. Tech |",UiDevelopment|AngularJs|Typescript|Frontend|WebApplication|ReactJs|BackendDeveloper|
Sr. UI Developer,Akken Technologies Private Limited,Hyderabad/Secunderabad,5-10years,Not Specified,We are looking for creative and enthusiastic Sr. UI Developer to join our product development team. He / She should be able to take ownership of all aspects of user interface development to meet business requirements across platforms.,UIDeveloper|WebDeveloper|Photoshop|CSS|Javascript|HTML|AJAX|Dreamweaver|
UI Developer,Global Technologies,Bengaluru/Bangalore,2-6years,Not Specified,"2+ years of demonstrable experience in HTML5, CSS3 and JavaScript based web applications. |  Proficient in UI frameworks such as Angular or frontend libraries such as React. |  Proficient in jQuery. |  Have working knowledge of CSS extension language such as",UI|Angular|Frontend|Html5|CSS|Javascript|
UI Developer,Redefined Corp,Chennai,8-10years,Not Specified,"EXPERIENCE > 8 years |   |  ▪ Understanding of data structures, algorithms, and their performance |  ▪ Experience in working with Spring and Spring Boot frameworks |  ▪ Comfortable with TypeScript, HTML5, CSS3, Bootstrap 4, jQuery |  ▪ Experience working on RESTFUL",FullStackDeveloper|Javascript|Angular|
Senior UI Developer,Digiquint Solutions Private Limited,Bengaluru/Bangalore,5-8years,1000000 - 1500000 INR,"Senior UI Developer |  India, Karnataka, Permanent Work from home/Bangalore. |  5 - 8 years |  INR 10 LPA - 15 LPA. |  MUST HAVES : |  Minimum 5 years as a Front-end developer using HTML, CSS, JavaScript. |  Experience in Salesforce and Lightning is highly preferred. |",Minimum5yearsasaFront-enddeveloperusingHTML|JavaScript.ExperienceinSalesforceandLightningishighlypreferred.|CSS|
Senior UI Developer,Global Technologies,Bengaluru/Bangalore,7-17years,Not Specified,"8+ years of demonstrable experience in HTML5, CSS3 and JavaScript based web applications. |  Proficient in UI frameworks such as Angular or frontend libraries such as React. |  Proficient in jQuery. |  Have working knowledge of CSS extension language such as",UI|Angular.JS|Html5|Css3|Javascript|
UI Developer,HR Factor,Bengaluru/Bangalore,6-9years,500000 - 1000000 INR,"	Minimum 5 years as a Front-end developer using HTML, CSS, JavaScript |  	Experience in Salesforce and Lightning is highly preferred |  	Notice Period of 30 Days or Less Only",Salesforce|SFDC|Lightning|FrontEndDevelopment|HTML|CSS|
