jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
UI/UX  Designer,Pinnacle HRM,Bengaluru/Bangalore,2-7years,600000 - 1010000 INR,"Looking for a talented and energetic UI Designer to create beautiful, intuitive, and functional user interfaces.",UIAnimation|MobileSpecifIcDesigns|UITrends|UiDesigner|graphicaluserinterface|UserInterface|
Sr. ServiceNow Developer,Star Jobs Private Limited,Noida,4-12years,Not Specified,Evening Shift – 6:00 PM to 3:00 AM |   • Min. 6 years of service now experience |   • Experience integrating two separate ServiceNow systems. |   • Experience integrating JIRA,ServicenowDevelopment|UIActions|UIScripts|UIPolicy|ServiceNowDeveloper|Servicenow|JIRA|
Senior Ios Developer,MVK Staffing Services Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,6-9years,800000 - 1400000 INR,"We are looking for Senior iOS Developer, who can work for 100% Remote on US Shifts",iosdeveloper|SwiftUI|Ios|Swift|Git|
UI/UX Developer,Team Hunt Hr Solutions,Mumbai|MumbaiCity,1-5years,330000 - 560000 INR,|  Job post: UI/UX developer |  Salary: 3-5 L |  Location: Goregaon |  Experience: 1-5 yrs |  Contact: HR– Anjali- 7045512862 |   Share your CV's at email address:   |  [HIDDEN TEXT] |  Please send me your resume and send this msg,UIDeveloper|UiDesigner|UxDesigner|
Hexaware Is Hiring Frontend Developers !! Mumbai/Pune/Chennai,Hexaware Technologies Limited,Chennai|Mumbai,5-10years,Not Specified,"6+ years of Experience in developing single page applications in the latest |  versions of the Angular 2+ framework. |  Highly experienced in writing standards-compliant HTML, CSS and JavaScript (ES6+) |  compatible with our supported browsers/devices |",UIDeveloper|Angular|UiDevelopment|HTML|CSS|
Looking for a front end developer/React Js developer in a reputed organisation,Klaus It Solutions Private Limited,Bengaluru/Bangalore,4-7years,Not Specified,We are looking for a great JavaScript/Ui developer who is proficient with React.js. Your primary focus will be on developing user interface components and implementing them following well-known React.js workflows (such as Flux or Redux).,FrontendDeveloperORUIDeveloperORReactJsDeveloper|
UI Developer,Nscript Web Studios Private Limited,Chennai,2-5years,200000 - 500000 INR,"Immediate job opening for Front end developer with strong skills in HTML,CSS, bootstrap and Javasccript",HTML|CSS|Javascript|AJAX|Bootstrap|jQuery|PsdToHtml|
UI Developer,Redefined Corp,Chennai,5-7years,Not Specified,Competencies |   |  Have a strong portfolio in designing web apps and be obsessed with details & have an eye for good design. |  Minimum of- 5 years- experience in web development and coding within a cross disciplinary- environment |  Good hands-on experience in,UIDeveloper|
React JS Developer/Lead React JS Developer,Digiquint Solutions Private Limited,Ahmedabad|Mumbai,2-6years,409999 - 770000 INR,"As Lead React Developer you play a key role in creating, maintaining and improving the software",WebDeveloper|ReactJSdeveloperReact.JsUIDeveloper|Redux|Frontend|UI|UiDevelopment|Programming|UiDesign|WebDesign|UserInterfaceDesign|
UI Developer,3 Minds ESolutions Private Limited,Bengaluru/Bangalore,1-4years,Not Specified,Job Title: UI developer |  Experience: 1.5 yrs nd above |  Salary: 5-12LPA |  Location: Bangalore (WFH) |,Havingmin1.5+yearsofexperience.ExcellentexperienceinworkingwithJQUERY|andotherfrontendstechnologies/frameworkHavingexperienceworkingwithJSON/XMLandRESTAPIstructureAttachmentsarea|Javascript|
RPA Developer,Jupiter Consulting,Hyderabad/Secunderabad|Mumbai,1-6years,Not Specified,URGENT HIRING FOR RPA DEVELOPER FOR HYDERABAD/MUMBAI LOCATION |,RPADeveloper/blueprism/uipath|
UI Testing,Pear Visa Immigration Services Private Limited,Pune,4-9years,Not Specified,Hiring UI Tester for Pune based IT firm.,UiTesting|Protractor|UiTesting|
Graphic Designer Required For CANADA & AUSTRALIA,HTC Global Services (India) Private Limited,Australia|Canada,2-7years,3250000 - 4550000 INR,"Study design briefs and determine requirements. |  Illustrating concepts by designing examples of art arrangement, size, type size and style & submitting them for approval. |  Test graphics across various media. |  Amend designs after feedback.",Illustrator|guidesigner|graphictools|GraphicDesigner|Desing|GraphicDesigner|CorelDraw|Graphics|Photoshop|UIdesinger|webdesinger|dreamware|Gui|HTML|graphicdesigning|webdesigning|JavaScript|UiDevelopment|WebUi|UI|CSS|
UIPATH LEAD PROFESSIONALS - CHENNAI,HTC Global Services (India) Private Limited,Chennai,5-13years,Not Specified,HTC Global Services is hiring UIPATH Lead Professionals for Chennai,"""UIPATH""|Uipath|"
UIPATH LEAD PROFESSIONALS - CHENNAI,Axtechnosoft Private Limited,Chennai,5-13years,Not Specified,HTC Global Services is hiring UIPATH Lead Professionals for Chennai,Uipath|UiPath|
Frontend Engineer/ Sr. Front End Engineer,C P Careers Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,2-5years,250000 - 550000 INR,Frontend Engineer/ Sr. Front End Engineer With minimum 2 Years experience |  Location : Remote Only,UX/UIDesign|FrontEndDevelopment|
