jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"Occupational Therapists for one of the NHS Trust in London, UK",INDIA INTERNATIONAL TECHNICAL RECRUITERS,UK,1-11years,Not Specified,Vacancy for One of the NHS Trust Hospital in London. Adult Occupational Therapy experience is must.,HCPC|
STAFF NURSES- Online interviews for Nurses for NHS Trusts UK,INDIA INTERNATIONAL TECHNICAL RECRUITERS,UK,1-11years,Not Specified,"Interviews for various NHS Trust Hospitals (Govt.)UK |   Interviews is May , 2021 |                           |         Salary-NHS Band 5 salary-£27906 (Rs. 25 lakhs) + attractive benefits |                         |         share your CV at [HIDDEN TEXT] |",Nurse|StaffNurse|Gnm|Registerednurse|Uk|NHS|NMC|unitedkingdom|NMCDecisionLetter|
Employment Opportunity at Profound Drilling Ltd,Crown Solutions India Private Limited,UK,1-30years,Not Specified,|                                  |,
STAFF NURSES- Online interviews for Nurses for NHS Trusts UK,INDIA INTERNATIONAL TECHNICAL RECRUITERS,UK,1-11years,Not Specified,"Interviews for various NHS Trust Hospitals (Govt.)UK |  Interviews is May , 2021 |                          |        Salary-NHS Band 5 salary-£27906 (Rs. 25 lakhs) + attractive benefits |                        |        share your CV at [HIDDEN TEXT] |",Nurse|StaffNurse|Gnm|Registerednurse|Uk|NHS|NMC|unitedkingdom|NMCDecisionLetter|
Data Scientist,Planet One,UK,2-7years,Not Specified,Huge Openings for Data scientist for Europe Location- Apply Now!!,DataScience|DataScientist|
Php developer,Planet One,UK,3-13years,Not Specified,Hiring for PHP developers for Europe Location- Apply Now!!,WebDeveloper|Phpdeveloper|PHPprogrammer|PhpMysql|PhpMysqlAjax|Lamp|Joomla|Programmer|
Full Stack Developer,Planet One,UK,3-13years,Not Specified,Hiring for Fullstack developers for Europe location- Apply Now!!,FullStackDeveloper|FullStackWebDeveloper|
Automation Engineer,Planet One,UK,3-11years,Not Specified,Urgent hiring for software Testers for Europe Location- Apply Now !!,AutomationTestEngineer|TestEngineer|AutomationTesting|SoftwareTesting|QATesting|QTPTesting|
Software Developer,Planet One,UK,3-13years,Not Specified,Hiring for Software developer- Apply now !!,Hardwarenetworkingithardwarewebdeveloper|SoftwareDeveloper|Softwareprogrammer|SoftwareEngineer|Programmer|
Nurse ( female ),JABSS International,UK,1-6years,170000 - 170000 INR,Academic / Work Experience Requirements: |  •	Minimum of 6 months current  nursing experience |  •	IELTS/OET passed to NMC requirements with score of 7 ( Seven )  |  •	CBT1 passed   |  •	They can be interviewed ONLY after IELTS / CBT1 is passed.   |   Following are,Nurse|
Senior Developer,Planet One,UK,3-8years,Not Specified,Urgent hiring for senior Frontend developer for Europe Location- Apply now!!,SeniorDeveloper|Designer|SoftwareDeveloper|SoftwareEngineer|Programmer|SeniorSoftwareEngineer|
.Net Developer,Planet One,UK,2-7years,Not Specified,Urgent hiring for .Net Developers for Europe Location - Apply Now!!,.NetDeveloper|Dotnet|AspDotnet|
Php developer,Planet One,UK,3-8years,Not Specified,Immediate hiring for PHP Developer- Apply Now!!,WebDeveloper|Phpdeveloper|PHPprogrammer|PhpMysql|PhpMysqlAjax|
SQL Database Administrator,Planet One,UK,2-7years,Not Specified,Urgent hiring for SQL DBA & Developer- Apply Now!!,SQLProgrammer|SQLServerProgrammer|SqlServerDeveloper|SQLDeveloper|DatabaseDeveloper|
Nurses For UK- Urgent requirement,Inspire Consultants,UK,2-7years,2500000 - 3000000 INR,We are recruiting Full-Time Registered General Nurses who are career-driven and eager to expand their knowledge and expertise.  |,Nurse|StaffNurse|Registerednurse|Headnurse|Midwifery|Malenurse|ANM|Gnm|Nursing|
STAFF NURSES- Online interviews for OT Nurses for NHS Trusts UK,INDIA INTERNATIONAL TECHNICAL RECRUITERS,UK,1-11years,Not Specified,"Interviews for OT nurses for NHS Trust Hospitals (Govt.)UK |  Interviews is April, 2021 |                          |  Salary-NHS Band 5 salary-£27906 (Rs. 25 lakhs) + attractive benefits |                        |  share your CV at [HIDDEN TEXT] |",Nurse|StaffNurse|Gnm|Registerednurse|Uk|NHS|NMC|unitedkingdom|NMCDecisionLetter|
STAFF NURSES- Online interviews for Nurses for NHS Trusts UK,INDIA INTERNATIONAL TECHNICAL RECRUITERS,UK,1-11years,Not Specified,"Interviews for various NHS Trust Hospitals (Govt.)UK |       Interviews is April, 2021 |                         |       Salary-NHS Band 5 salary-£27906 (Rs. 25 lakhs) + attractive benefits |                       |       share your CV at [HIDDEN TEXT] |",Nurse|StaffNurse|Gnm|Registerednurse|Uk|NHS|NMC|unitedkingdom|NMCDecisionLetter|
STAFF NURSES- Online interviews for Nurses for NHS Trusts UK,INDIA INTERNATIONAL TECHNICAL RECRUITERS,UK,1-11years,Not Specified,"Interviews for various NHS Trust Hospitals (Govt.)UK |      Interviews is April, 2021 |                        |      Salary-NHS Band 5 salary-£27906 (Rs. 25 lakhs) + attractive benefits |                      |      share your CV at [HIDDEN TEXT] |",Nurse|StaffNurse|Gnm|Registerednurse|Uk|NHS|NMC|unitedkingdom|NMCDecisionLetter|
Front Office Executive Required in European Country,Proximity Immigration Private Limited,Singapore|UK,1-6years,Not Specified,Minimum 1+ years of relevant experience  - MUST |   Must have good knowledge of English - MUST |   Age: Must be below 40.,FrontOffice|FrontOfficeExecutive|FrontDeskExecutive|FrontOfficeAssistant|FrontDeskManagement|FrontOfficeAssistant|Reception|Frontdeskofficer|FrontEndDevelopment|Receptionist|
Civil Engineer Required in Cyprus,Proximity Immigration Private Limited,Sweden|UK,1-6years,680000 - 780000 INR,Minimum 1+ years of relevant experience  - MUST |   Must have good knowledge of English  - MUST |   Age: Must be below 40.,CivilEngineer|CivilEngineering|CivilSiteEngineer|CivilEngineers|Construction|Structural|DiplomaCivil|DesigningSteelStructures|CivilEngg|CivilEngineers|CivilDesign|CivilStructural|ProjectIncharge|
Lab Technician Can Apply for Cyprus,Proximity Immigration Private Limited,Singapore|UK,0-5years,570000 - 810000 INR,Minimum 1+ years of relevant experience - MUST |   Must have good knowledge of English  - MUST |   Age: Must be below 40.,LabTechnician|LaboratoryTechnician|LabIncharge|LabEngineer|LabourOfficer|LabChemist|LabAssistant|Mlt|Dmlt|Laboratory|
Nursing Tutor Required In Canada / UK,Proximity Immigration Private Limited,Sweden|UK,1-6years,180000 - 770000 INR,Minimum 1+ years of relevant experience  - MUST |   Must have good knowledge of English  - MUST |   Age: Must be below 40.,Nurse|Nursing|NursingSuperintendent|NursingBachelors|NursingSubjects|NurseAnesthetist(CRNA)|NurseryTeacherTraining|NurseManager|ANM|StaffNurse|NursingSupervisor|Hospital|HealthCare|
Anm / Gnm / Bsc Nursing,Proximity Immigration Private Limited,Sweden|UK,1-6years,370000 - 810000 INR,Minimum 1+ years of relevant experience  - MUST |   Must have good knowledge of English  - MUST |   Age: Must be below 40.,MedicalOfficer|BscNurse|anmnurse|postbscnursing|Hospitals|NurseryTeacherTraining|Nurses|NurseAnesthetist(CRNA)|NursePractitioner(NP)|NursePractitioner(NP)|NurseryTeacher|NurseMentor|OperatingTheatreNurse|RegisteredNurse|Ot|Anaesthe|
"STAFF NURSES- Online interviews for Nurses for Northern Ireland, UK",INDIA INTERNATIONAL TECHNICAL RECRUITERS,UK,1-11years,1800000 - 2500000 INR,"Interviews for various HSC Hospitals (Northern Ireland)UK |  Interviews is April, 2021                   |  share your CV at [HIDDEN TEXT]",Nurse|StaffNurse|Gnm|Registerednurse|Uk|NHS|NMC|unitedkingdom|NMCDecisionLetter|
