jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Computer Data Entry Operator/Part-time work@Home /Home Based Work Jobs,Zarbex Solutions,US,0-5years,150000 - 480000 INR,(On-the-spot offer letter.)Immediately Joining! |                      Concern Person Regarding That Mr. -HR David |                      Contact No.- 8889765066,HrRecruitment|HrExecutive|Staffing|DataEntryExecutive|BackOfficeExecutive|RecruitmentExecutive|
Culinary / F&B Service / Front Office,New Edu Vision Consultancy,US,0-5years,1330000 - 1860000 INR,USA J1 INTERN & TRAINEE PROGRAM!!,Culinary|F&BService|FrontOffice|
Vice President Sales VP Sales (Opening for USA and Canada),Azure Knowledge Corporation Private Limited,Canada|US,3-10years,Not Specified,Applicant must be from US only and worked in Market Research industry having experience in healthcare sector,VicePresidentSales|VPSales|
"Senior Project Manager (Job location Brazil, Mexico, USA)",Azure Knowledge Corporation Private Limited,Mexico|US,5-10years,Not Specified,"Applicant must be from Market Research industry. Job would include execution of projects , participating in bids , finding vendors and vendor management",ProjectManager|SeniorProjectManager|DeliveryManager|
Obstetrics and Gynaecology/General Surgeon/Medical Officer/General Physician/General Practitioner/Nu,Voyage Visa Guider Private Limited,US,5-15years,509999 - 3090000 INR,St. Rose Hospital (U.S.A) intends to invite prime experienced individuals capable of rendering expertise services in Medical/ Healthcare/Hospital. |       |      Kindly submit your updated resume/Cv to: [HIDDEN TEXT],ObstetricsandGynaecology/GeneralSurgeon/MedicalOfficer/GeneralPhysician/GeneralPractitioner/Nurse/DiagnosticMedicalSonographer/MedicalTechnician/PhysicalTherapist/FamilyPractitioner/Phlebotomist/SurgicalTechnologist/MedicalTranscriptioni|
New H1B-2021-22,Voyage Visa Guider Private Limited,US,8-17years,Not Specified,"Dear Aspirant, |     |    Greetings from Visa Guider |     |    We are accepting applications for New H-1B processing for the FY 2021-22 through our associated companies. |     |    Professionals with minimum 5+ years of IT experience in different domains like Data warehousing, W",SalesForce|AutomationTestEngineer|PythonDevelopers|MachineLearning|AutomationTesting|PerformanceTesting|SoftwareTesting|QATesting|LoadRunner|ManualTesting|
New H1B-2021-22,Voyage Visa Guider Private Limited,US,8-17years,Not Specified,"Dear Aspirant, |    |   Greetings from Visa Guider |    |   We are accepting applications for New H-1B processing for the FY 2021-22 through our associated companies. |    |   Professionals with minimum 5+ years of IT experience in different domains like Data warehousing, W",.NetDeveloper|SoftwareDeveloper|Softwareprogrammer|PythonDevelopers|Java|
New H1B-2021-22,Revature Consultancy Serivces Private Limited,US,8-17years,Not Specified,"Dear Aspirant, |   |  Greetings from Visa Guider |   |  We are accepting applications for New H-1B processing for the FY 2021-22 through our associated companies. |   |  Professionals with minimum 5+ years of IT experience in different domains like Data warehousing, W",.NetDeveloper|SoftwareDeveloper|Softwareprogrammer|PythonDevelopers|Java|
On-Site Opportunity for Manager - Sales with H1B Sponsorship,Ancile Inc,US,5-15years,Not Specified,|  Job Role: Manager - Sales  |  Job Location: |,BusinessDevelopmentManager|AccountManager-Sales|USClient|BD|Sales|AccountManager|SalesManager|
Are you an experienced IT professional Interested in immigrating to the US?,MyAccounts Online Softwares Private Limited,US,7-9years,Not Specified,"Want to try your last chance for random selection process, and migrate to US",ItSoftware|
Crystal Reports Developer,Olakay inc,US,6-10years,Not Specified,|  Responsibilities will include creating and delivering ad hoc and routine reports as requested and building/supporting other team members usage of their reports on Crystal Enterprise. Maintenance of the database integrity is crucial.,CrystalReportsDeveloper|Strongdebugging/problemsolvingandanalyticalskillsarerequiredExperiencecoding/optimizing/analysingTransact-SQLqueriesandstoredproceduresExperienceusingSQLtools|NotificationServices.|Dts|SSIS|
Forklift Operator 1st and 2nd shift,E Con Systems India Private Limited,US,1-2years,Not Specified,"If your passion is working in a dynamic, fast-paced manufacturing environment then joining our team is the right job for you. Daily you will be expected to safely and successfully move finished product from the production line to its proper warehouse",Forklift|manufacturingShareJobLinkonSocialMedia|
Project Manager -Oil and Gas,Freelancer Rishel Raphael Gonsalves,Canada|US,11-21years,3560000 - 9950000 INR,"PM is tasked with ensuring that an entire project from start to finish is on track, in budget, to specifications, and within safety guidelines. The PM also ensures that communication is flowing between groups. Essentially, the PM is the glue that ho",EngineeringManager|Sr.projectManager|Developedbusiness|Management|ProjectManager|
