jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
USER EXPERIENCE DESIGNER,Hr Click,Coimbatore,2-5years,490000 - 550000 INR,The ideal User Experience Specialist will be responsible for developing high-quality applications. They will also be responsible for designing and implementing testable and scalable code and should be able to convert the concepts from whiteboard to w,RichUXExperience|FTR|CustomerSatisfactionIndex.ExperienceinusingtoolslikePhotoshop|Illustrator|CorelDraw|Zeplin(Optional)|orothervisualdesignandwire-framingtools|AdobeXd|HTML|CSS|AndJavascript|
User Experience Designer,SmartDocs Business Solutions Private Limited,Chennai|Hyderabad/Secunderabad,2-10years,300000 - 780000 INR,"Bring out your different personalities by donning various hats Storyteller, Creator, Problem-solver, Project Manager, Requirements gatherer, Trend seeker and that conversationalist. |   |  Lean on your UX Design process to come up with creative solutions.",DesignThinking|mindmapping|UXStrategy|EnterpriseApplicationDesign|UserExperienceDesign|Wireframes|InformationArchitecture|UserResearch|InteractionDesign|
UI UX Designer,Selectivite Consultants,Hyderabad/Secunderabad,0-1years,200000 - 350000 INR,"SmartDocs seeking for a passionate, creative & Innovative UI UX designer who is capable of designing apps that respond to the natural human thought process.",UiDesigner|UxDesigner|UserInterface|UserExperience|Ux|graphicaluserinterface|
UX Lead - 30 Yrs Old IT Co - Pune,Quess IT Staffing (Formerly known as Magna Infotech),Pune,8-13years,Not Specified,One of the oldest IT company is hiring UX Lead |    |   WORK FROM HOME |   Permanent Job |   Immediate Joining,"""UserExperience""|Figma|Sketch|Ux|Wireframing|Balsamiq|"
XI (User Experience),Saint Gobain Research India Private Limited,Bengaluru/Bangalore|Gurgaon/Gurugram,4-6years,1200000 - 1200000 INR,"Senior XT/UI/Site Developer to build user experience based on provided experience design |  Knowledge of CSS, HTML5, CSS3, JavaScript Framework, React, Apache, Sightly, Java Framework, Angular,  Any CMS |   |  Company Name Sapient  |  Location Gurgoan, Noida",FrontEndWebDeveloper|
User Experience Researcher / Sr Designer,Sapna Manish Sharma (Proprietor Of JBM India),Chennai,3-8years,Not Specified,We are looking for an experienced UX researcher to join our Application Innovation Team at Saint Gobain Research. You will be responsible for helping define and drive the future of SG products and solutions.,ethnography|
UX UI Design,Eteam Info Services Private Limited,Bengaluru/Bangalore,1-6years,250000 - 450000 INR,Requirement for UX UI Design.,Figma|SketchingPainting|UxDesign|VisualCommunication|UsabilityTesting|UserExperience|UserResearch|UserCenteredDesign|SoftwareDesign|VisualDesign|
UI / UX Designer - InVision/Illustrator/Photoshop,Shakun Sharma (Proprietor Of FM Industry),Bengaluru/Bangalore|Hyderabad/Secunderabad,2-7years,440000 - 850000 INR,"We are looking for an experienced and talented UI designer to design and shape unique, user-centric products and experiences. The ideal candidate will have experience working in agile teams, with developers, UX designers and copywriters.",UserExperienceDesigner|
"User Experience Designer - Bangalore/Trivandrum/Cochin/Gurgon, Noida, Chennai, Kolkata, Mumbai",Ai-Logic Neural Network Pvt Ltd.,Bengaluru/Bangalore,7-15years,Not Specified,Looking for User Experience Designer for one our product base customer,AdobeSuite|InVisionStudio|AxureRp|AdobeXd|
UI/UX Designer,Ai-Logic Neural Network Pvt Ltd.,Mumbai,1-3years,200000 - 400000 INR,We are looking for a UI/UX Designer to join our team,UI/UX|UxDesign|UiDesign|userexperience|
UX Designer (Work From Home),Ai-Logic Neural Network Pvt Ltd.,Lucknow,0-1years,250000 - 380000 INR,Urgent Hiring For UX Designer  |  Freshers Can Also Apply,UxDesigner|UX/UIDesign|Ux|Aix|Solaris|Hpux|Userexperience|Usability|UserInterface|UI|
Senior_UX/UI Developer,Ai-Logic Neural Network Pvt Ltd.,Hyderabad/Secunderabad,7-10years,Not Specified,We are looking for Highly Creative and Passionate UX/UI Developers |                    |                   Exp:8+ Yrs |                   Location: Hyderabad(Work from Office) |                   Immediate to join |,"""Aftereffects""|""UX""|""UI""|""UserExperience""|""HTML""|""Jquery""|""CSS""|""Javascript""|""bootstrap""|""angular""|"
8+ Yrs_UX/UI Developer_ Immediate Joiner,Ai-Logic Neural Network Pvt Ltd.,Hyderabad/Secunderabad,7-10years,Not Specified,We are looking for Highly Creative and Passionate UX/UI Developers |                  |                 Exp:8+ Yrs |                 Location: Hyderabad(Work from Office) |                 Immediate to join |,"""Aftereffects""|""UX""|""UI""|""UserExperience""|""HTML""|""Jquery""|""CSS""|""Javascript""|""bootstrap""|""angular""|"
8+ Yrs_UX/UI Developer_ Immediate Joiner,Ai-Logic Neural Network Pvt Ltd.,Hyderabad/Secunderabad,7-10years,Not Specified,We are looking for Highly Creative and Passionate UX/UI Developers |                |               Exp:8+ Yrs |               Location: Hyderabad(Work from Office) |               Immediate to join |,"""Aftereffects""|""UX""|""UI""|""UserExperience""|""HTML""|""Jquery""|""CSS""|""Javascript""|""bootstrap""|""angular""|"
8+ Yrs_UX/UI Developer,Ai-Logic Neural Network Pvt Ltd.,Hyderabad/Secunderabad,7-10years,Not Specified,We are looking for Highly Creative and Passionate UX/UI Developers |                  |                 Exp:8+ Yrs |                 Location: Hyderabad(Work from Office) |                 Immediate to join |,"""Aftereffects""|""UX""|""UI""|""UserExperience""|""HTML""|""Jquery""|""CSS""|""Javascript""|""bootstrap""|""angular""|"
Sr. UX/UI Developer_Hyderabad,Ai-Logic Neural Network Pvt Ltd.,Hyderabad/Secunderabad,7-10years,Not Specified,We are looking for Highly Creative and Passionate UX/UI Developers |                   |                  Exp:8+ Yrs |                  Location: Hyderabad(Work from Office) |                  Immediate to join |,"""Aftereffects""|""UX""|""UI""|""UserExperience""|""HTML""|""Jquery""|""CSS""|""Javascript""|""bootstrap""|""angular""|"
8+ Yrs_UX/UI Developer_ Immediate Joiner,Ai-Logic Neural Network Pvt Ltd.,Hyderabad/Secunderabad,7-10years,Not Specified,We are looking for Highly Creative and Passionate UX/UI Developers |                 |                Exp:8+ Yrs |                Location: Hyderabad(Work from Office) |                Immediate to join |,"""Aftereffects""|""UX""|""UI""|""UserExperience""|""HTML""|""Jquery""|""CSS""|""Javascript""|""bootstrap""|""angular""|"
UX/UI Developer_Immediate,Ai-Logic Neural Network Pvt Ltd.,Hyderabad/Secunderabad,7-10years,Not Specified,We are looking for Highly Creative and Passionate UX/UI Developers |                 |                Exp:8+ Yrs |                Location: Hyderabad(Work from Office) |                Immediate to join |,"""Aftereffects""|""UX""|""UI""|""UserExperience""|""HTML""|""Jquery""|""CSS""|""Javascript""|""bootstrap""|""angular""|"
Sr. UX/UI Developer,2COMS Consulting Private Limited,Hyderabad/Secunderabad,7-10years,Not Specified,We are looking for Highly Creative and Passionate UX/UI Developers |                   |                  Exp:8+ Yrs |                  Location: Hyderabad(Work from Office) |                  Immediate to join |,"""Aftereffects""|""UX""|""UI""|""UserExperience""|""HTML""|""Jquery""|""CSS""|""Javascript""|""bootstrap""|""angular""|"
Sr. UX/UI Developer,Ai-Logic Neural Network Pvt Ltd.,Hyderabad/Secunderabad,7-10years,Not Specified,We are looking for Highly Creative and Passionate UX/UI Developers |                  |                 Exp:8+ Yrs |                 Location: Hyderabad(Work from Office) |                 Immediate to join |,"""Aftereffects""|""UX""|""UI""|""UserExperience""|""HTML""|""Jquery""|""CSS""|""Javascript""|""bootstrap""|""angular""|"
8+ Yrs_UX/UI Developer,Ai-Logic Neural Network Pvt Ltd.,Hyderabad/Secunderabad,7-10years,Not Specified,We are looking for Highly Creative and Passionate UX/UI Developers |                 |                Exp:8+ Yrs |                Location: Hyderabad(Work from Office) |                Immediate to join |,"""Aftereffects""|""UX""|""UI""|""UserExperience""|""HTML""|""Jquery""|""CSS""|""Javascript""|""bootstrap""|""angular""|"
UX Designer,Ai-Logic Neural Network Pvt Ltd.,Pune,3-7years,Not Specified,Exciting Opportunity for UX Designers in Pune. Open the mail to APPLY.!!,UserExperienceDesigner|UxDesigner|UserExperienceDesign|UxDesign|
