jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
VBA Developer,Suntech Consultancy Services,Hyderabad/Secunderabad,2-10years,Not Specified,Multiple Openings for VBA Developer with one of our Client CMMI Level5 Company located at Hyderabad.,VBADeveloper|Vba|Asp.Net|C#|
RPA Developer,Randstad Offshore Services Private Limited,Hyderabad/Secunderabad,2-8years,Not Specified,"Fine tune performance and operation issues that arise with RPA Bots. Provide problem diagnosis, using appropriate control tools. Liaise closely with CoE group to resolve problems",Peoplesoft|CustomerportalsMacros|Rpa|Vba|SqlScripting|automation|
Hiring VBA Developer in a Leading MNC@ Noida in a leading MNC,2COMS Consulting Private Limited,Delhi|Noida,2-5years,200000 - 800000 INR,Job Description |   Primary Skill : VBA Developer and Macro |    |    |   Resource should have good knowledge of following topics. |     |    |   Should have knowledge about Formula creation and should be able to develop formula dynamically |   Should be able to suggest multiple wa,VBADeveloper|VBapplication|Vba|visualbasicapplication|Macros|Visualbasic|VB|
Hiring For Actuarial (Fresher) in WNS,Progneur Technologies Private Limited,Chennai|Gurgaon/Gurugram,0-2years,300000 - 380000 INR,Urgent Requirement,Actuarial|ActuarialScience|Actuarial|ActuarialValuation|VBADeveloper|MsOffice|Vba|
Data Migration Developer,Adal Immigrations LLP,Bengaluru/Bangalore|Pune,3-7years,Not Specified,We are looking for a Data Migration Developer to transform and load data into Teamcenter(PLM Application) which is recieved from various source systems. For a global customer several year data from multiple systems need to be migrated to Teamcenter.,Sql|Oracle|SQLserver|RDBMS|Vba|Python|Perl|Scripting|
Software Support Specialist- SQL- Gurgaon,Stepup HR Solution,Gurgaon/Gurugram|Mumbai,2-4years,500000 - 850000 INR,Willing to work in shifts,CommunicationSkills|WrittenCommunication|SoftwareSupport|Sql|Oracle|Pl-sql|SQLserver|Sybase|RDBMS|Vba|C#|
Data Analyst | MIS Executive | Operations Executive in Bangalore Ct: 99168.39275,3i Infotech Limited,Bengaluru/Bangalore,1-6years,Not Specified,"Skills : Data Analyst, MIS , Operation Executive , MIS Reporting, Ecommerce, Catalogue , Logistics, Vlookup, Hlookup, Pivot table, Formulas, VBA",MisReports|ManagementInformationSystem|MSExcelKnowledge|MISReporting|MisExecutive|Catologur|CallCenterExecutive|PricingAnalyst|Ecommerce|Retail|Vba|AdvancedExcel|OperationsExecutive|Vba|
Data Analyst Required in Abroad,Technosoft Global Solutions LLP,Australia|Canada,2-7years,2000000 - 5000000 INR,"The Person will work as Analyst in data services team of Decision Point, Translating business and functional user requirements into functioning solutions.",DataAnalyts|Vba|Sql|SQLserver|DataVisualization|DataAnalytics|Python|
Data Analyst required immidietely,Technosoft Global Solutions LLP,Bengaluru/Bangalore|Hyderabad/Secunderabad,2-5years,370000 - 650000 INR,The position holder will be responsible for shaping the direction of Rapidos products by using data-driven insights to identify opportunities and prioritize product and engineering initiatives. This position will report to the Lead Data .,DataAnalysis|Phyton|Tableau|Sql|Oracle|Vba|C#|
Classic ASP Programmer,Structured Learning Assistance Consultants India Private Limited,Delhi|Noida,4-12years,750000 - 1500000 INR,"We are looking for that candidate who have knowledge about analyzing information, software design, software debugging, software documents, software requirements and all over the software development process.",VBA6.0|ClassicASPSQLserver|SQLServer|HTML|VbScript|ClassicAsp|
Graduate / Shipping & Logistics Executive - Freshers - 2020 Passout,Structured Learning Assistance Consultants India Private Limited,Bengaluru/Bangalore|Chennai,0-4years,340000 - 560000 INR,We are Hiring for Logistic executive in ecommerce concern,Word|SupplyChain|LogisticsManagement|Shipping|Logistics|Excel|Vba|MsExcel|
Senior/Software Engineer,Structured Learning Assistance Consultants India Private Limited,Hyderabad/Secunderabad|Mumbai,2-5years,520000 - 880000 INR,An urgent requirement,FinancialServices|BankLiablities|RetailLoans|HP-UX|FrontEndDevelopment|Git|Sql|RDBMS|Vba|C#|SQLserver|Oracle|FinancialDomain|Apache|UNIX|Solaris|Linux|Aix|Windows|MYSQL|
Software Developer - Fresher (Computer Science Graduates),Timing Technologies Private Limited,Ahmedabad|Bengaluru/Bangalore,0-2years,300000 - 380000 INR,URGENT REQUIREMENT,Hardwarenetworkingithardwarewebdeveloper|Java|C++|C|HTML|Sql|Oracle|Pl-sql|SQLserver|Sybase|RDBMS|Vba|C#|Javascript|CSS|AJAX|Xml|Jquery|Jscript|Php|SoftwareDeveloper|SoftwareEngineer|Programmer|Softwareprogrammer|
VBA Developer,Freelancer Shobana Giridharan,Mumbai|Pune,3-9years,Not Specified,Looking for VBA Developer.,VBapplication|VBADevelopment|Vba|visualbasicapplication|Visualbasic|
TECHNOSOFT IS HIRING MIS EXECUTIVE,Collasys Global Services LLP,Chennai,1-3years,Not Specified,"We are looking for a MIS - Executive/ Sr. Executive to create and manage daily, weekly and monthly reports using MS-Excel.",MisExecutive|MISReporting|ManagementInformationSystem|Vba|
TECHNOSOFT IS HIRING MIS EXECUTIVE,Clean Harbors India LLP,Chennai,1-3years,Not Specified,"We are looking for a MIS - Executive/ Sr. Executive to create and manage daily, weekly and monthly reports using MS-Excel.",MisExecutive|MISReporting|ManagementInformationSystem|Vba|
