jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Technical Program Manager - Opportunity for Working Remotely,Vmware,Chennai,NotSpecified,Not Specified,Job Description :The VMware Modern Application Platform Business Unit (MAPBU) is looking for a Technical Program Manager to join us in building the Tanzu portfolio and transform how the world deploys and scales software. This role will work across,
Member of Technical Staff - UI/Full stack developer,Vmware,Pune,5-8years,Not Specified,Job Description :Job DescriptionLooking for a UI/Full stack developer with strong passion for building great enterprise class User Interfaces.Candidate should be very hands on and independently work in the areas of- UI components- UI Featu,MemberofTechnicalStaff-UI/Fullstackdeveloper|
Technical Support Engineer - Nakshatra Returnship Opportunity - Back to Work - Opportunity for Working Remotely,Vmware,Bengaluru/Bangalore,5-8years,Not Specified,Job Description :Eligibility Criteria :VMware would be providing a paid 6-month returnship platform for women who are currently on a career break. They would be given on the job training through this program.Our team is looking for women engineer,TechnicalSupportEngineer-NakshatraReturnshipOpportunity-BacktoWork-OpportunityforWorkingRemotely|
Member Technical Staff - 3 - Opportunity for Working Remotely,Vmware,Chennai,5-8years,Not Specified,"Job Description :JoinHorizonIndiaDo you want to work on some of the most exciting aspects of delivering desktops and applications to end user in real time and accessing applications and/or desktops from the cloud to any device (mobile or desktop),",MemberTechnicalStaff-3|
Member of Technical Staff - Nakshatra Returnship Program - Back to Work - Opportunity for Working Remotely,Vmware,Bengaluru/Bangalore,5-8years,Not Specified,Job Description :Eligibly Criteria: VMware would be providing a paid 6-month returnship platform for women who are currently on a career break. They would be given on the job training through this program.Our team is looking for women engineers wh,MemberofTechnicalStaff-NakshatraReturnshipProgram-BacktoWork-OpportunityforWorkingRemotely|
Senior Member of Technical Staff - UI Engineer,Vmware,Pune,NotSpecified,Not Specified,Job Description :VMware vRealize Network Insight (vRNI) is transforming security and operations for the Software Defined Data Center (SDDC). vRNI removes barriers to SDDC adoption and operation by providing converged visibility and contextual analy,
"Cloud Operations Engineer (DevOps, VMware and Azure Infrastructure) - Opportunity for Working Remotely",Vmware,Chennai,5-8years,Not Specified,"Job Description : JoinHorizonIndia- 5 - 8 years of experience in administration and handling of Complex Azure Infrastructure environments- Excellent hands on experience on VMware stack (wiz vSphere, vCenter, vSAN, ESXi, NSX)- Excellent Knowledg",CloudOperationsEngineer(DevOps|VMwareandAzureInfrastructure)-OpportunityforWorkingRemotely|
Senior Member of Technical Staff - VMC Networking Policy Management,Vmware,Bengaluru/Bangalore,8-11years,Not Specified,"Job Description :What is Vmware’s Flagship NSX product VMware NSX is a network virtualization platform that delivers the operational model of a virtual machine for the network. Virtual networks reproduce the network model in software, allowing com",SeniorMemberofTechnicalStaff-VMCNetworkingPolicyManagement|
Senior Engineering Manager - Customer Engineering,Vmware,Bengaluru/Bangalore,NotSpecified,Not Specified,"Job Description :VMware's world-class, award-winning R&D; team is comprised of thousands of top-notch computer scientists and software engineers that are transforming computing through virtualization. Members of the R&D; team voice their creative i",SeniorEngineeringManager-CustomerEngineering|
Senior Android Engineer (Senior Member of Technical Staff),Vmware,Bengaluru/Bangalore,7-10years,Not Specified,"Job Description :Business summaryThe world is in the midst of a transformation. Enterprises across the globe are turning to software to change the way business is done. Today, in this device and application driven world, companies are laser-focus",SeniorAndroidEngineer(SeniorMemberofTechnicalStaff)|
