jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
International Voice Process,Hucon Solutions India Private Limited,Hyderabad/Secunderabad,1-7years,Not Specified,Looking for someone who has the below. |   |   |  Process- International Voice |   |  Qualification - Any graduate |   |  Experience - 1 to 7 years |   |  Joining - Immediate |   |  Work location -  Hyderabad |   |,InternationalVoice|calling|VoiceProcess|InternationalBpo|
Technical Support  Voice - Gurgaon,2COMS Consulting Private Limited,Gurgaon/Gurugram,1-7years,200000 - 370000 INR,Exciting Opportunity for Experienced Technical Support Executive In A Leading MNCDesignation: Technical SupportJob role  *  Have to solve Candidate Technical Quires through incoming calls.  *  Educating the customer about the technical issue,Troubleshooting|TechnicalKnowledge|CustomerSupport|TechncialSupport|
Custumer support voice/Technical voice/International voice/sal upto 4Lpa,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
Cisco Voice Engineer /Voice Engineer /Voice Support Executive /Cisco Call Manager,3 Minds ESolutions Private Limited,Bengaluru/Bangalore|Mumbai,7-17years,Not Specified,URGENT HIRING FOR CISCO VOICE ENGINEER IN MUMBAI/CHENNAI/PUNE/BANGALORE LOCATION FOR PERMANENT ROLE.,CiscoVoiceEngineer|CiscoCallManager|VoiceSupportExecutive|CiscoVoip|CiscoVoice|Cisco|
International Voice / Non-Voice Process,Infyjob Technology Services,Chennai,1-5years,100000 - 350000 INR,Customer Service Representative || Immediate joiner || MNC || Work From Home,InternationalVoiceSupport|internationalnon-voice|Upselling|
Semi Voice Process,Fazo Software,Chennai,0-1years,229999 - 440000 INR,Semi voice process. |  Salary: 10000 - 18000. |  Night Shift. |  Vacancy for Fresher.,Bpo|VoiceProcess|CallCenter|InternationalBpo|InternationalCallCenter|Voicesupport|Inbound|CustomerSupport|CustomerCareExecutive|Outbound|SemiVoiceProcess|TechnicalSupport|
BPO-FRESHERS-VOICE,Fazo Software,Villupuram,0-1years,210000 - 450000 INR,"Fazo software |   |  Wanted freshers for Voice process!! |   |  -Immediate joining is available |  -Salary will be around Rs. 10,000-15,000 |  -Working days ( Monday - Saturday ) |  -Work location will be in Chennai |  -Hike will there once in every year",VoiceProcess|InternationalBpo|CallCenter|Bpo|Voicesupport|InternationalCallCenter|CustomerCareExecutive|CustomerSupport|Inbound|Outbound|Domesticvoice|semivoice.inos|TechnicalSupport|
Opening  for International voice Customer care  voice and semi voice Salary upto 40k,Izee Manpower Consultancy Private Limited,Bengaluru/Bangalore,1-5years,110000 - 590000 INR,opening for Customer care all round will be done over thecall |  Call |  Apoorva  |  7022226234,InternationalVoice|CustomerSupportExecutive|CustomerServiceExecutive|Customercareexecutive|BPOCallCentre|DayShifts|USShift|Voice|Inbound|InternationalBpo|CallCenter|Outbound|Bpo|Accent|
BPO Voice/ Non voice - Email chat process,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
BPO Voice/ Non voice - Email chat process,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
BPO Voice/ Non voice - Email chat process,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
US&UK VOICE AND NON VOICE PROCESS,Wings of Fire,Coimbatore,0-5years,150000 - 750000 INR,.Freshers with good communication Skills |  .willing to work in Night Shifts |  .Freshers with any degree |  .Five days working & two days off |  .Candidates with experience in International voice calls also can apply |   |,UsProcess|
hiring for Technical voice  Domestic Voice Support,One Degree North Human Resource,Bengaluru/Bangalore,0-2years,Not Specified,hiring for Technical voice  Domestic Voice Support,Bpo|CallCenter|VoiceProcess|InternationalCallCenter|VoiceProcess|InternationalBpo|CustomerSupport|TechnicalSupport|
Hiring for Customer Service Executive (Voice),Tech Mahindra Business Services Limited,Mumbai|MumbaiCity|NaviMumbai,1-11years,150000 - 350000 INR,Tech Mahindra is Hiring for International Voice Process,Associate|CustomerServiceExecutive(Voice)|CustomerCare|CustomerRelationExecutive|Csa|CSE|inboundprocess|OutboundCalling|CollectionProcess|UKShift|calling|
BPO Voice/ Non voice - Email chat process,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
Process Associate (International Voice),Fazo Software,Hyderabad/Secunderabad,0-5years,200000 - 500000 INR,"Hiring for top MNCs in Hyderabad, for BPO (Business Process Outsourcing)services, Which offers a professional work environment, outstanding challenges, industry competitive compensation, accelerated career growth and overseas opportunities.","""Internationalvoiceprocess""|""Internationalprocess""|""InternationalSales""|Customersupport""|""Voiceprocess""|""Customerservice""|""VoiceSales""|""ADP""|""Amazon""|""HSBC""|""Dell""|""Deloitte""|""Regalix""|""C3I""|""Accenture""|""Cognizant""|"
BPO-FRESHERS-INTERNATIONAL VOICE,Manheer Singh (Proprietor Of BigBoss Decor),Chennai|Madurai,0-1years,210000 - 450000 INR,"Fazo software |   |  Wanted freshers for international voice!! |  - immediate joining is available |  - Salary will be around Rs. 10,000- 15,000 |  - Working days ( Monday - Saturday) |  - Work location will be in Chennai |  - Hike will be there once in every year |   |",InternationalCallCenter|BPOCallCentre|CustomerCareExecutive|VoiceProcess|Bpo|BPOFresher|CallCenterExecutive|TeleCaller|VoiceProcessExecutive|CallCenterRepresentative|
Non Voice Bpo,2COMS Consulting Private Limited,Hyderabad/Secunderabad,0-3years,150000 - 300000 INR,Bulk Hiring Freshers in Non Voice Process.,NonVoiceProcess|freshersBPO|Engineering|CommunicationSkills|Backend|CustomerService|NightShift|NonVoice|DataEntry|InternationalBpo|MsOffice|Technicalsupport|
Chennai Non-Voice - Shollinganallur,White Horse Manpower Consultancy Private Limited,Chennai,0-1years,10000 - 11000 INR,Exciting Opportunity for Non Technical Graduate Fresher To Start Your Career In A Leading MNCDesignation: Customer Support - Non Voice Process.Job Role  * Non voice process  * Resolving customer queries via chat or mail support (No Calling),Voice|Bpo|nonvoice|
Voice and Accent Trainers,Fazo Software,Bengaluru/Bangalore,3-8years,Not Specified,You ll have access to all the technical and management training courses you need to become the expert you want to be You ll learn directly from expert developers in the field; our team leads love to mentor You have the opportunity,voiceandaccenttrainer|Trainer|Auditingcalls|CustomerService|CustomerServiceExecutive|
BPO-FRESHERS-TAMIL VOICE,Fazo Software,Chennai|Salem,0-1years,210000 - 450000 INR,"Fazo software |   |  Wanted freshers for tamil voice!! |   |  - immediate joining is available |  - Salary will be around Rs. 10,000- 15,000 |  - Working days ( Monday - Saturday) |  - Work location will be in Chennai |  - Hike will be there once in every year |",tamilvoiceprocess|Bpo|CallCenter|VoiceProcess|CallCenterExecutive|CallCenterRepresentative|VoiceProcessExecutive|BPOFresher|DomesticBPO|DomesticVoiceSupport|BPOCallCentre|BPOExecutive|TeleCaller|CustomerCareExecutive|
BPO-FRESHERS-SEMI VOICE,Fazo Software,Chennai|Pondicherry,0-1years,210000 - 450000 INR,"Fazo software |   |  Wanted freshers for semi-voice!! |   |  - Immediate joining is available |  - Salary will be around Rs. 10,000- 15,000 |  - Working days ( Monday - Saturday) |  - Work location will be in Chennai |  - Hike will be there once in every year |",SemiVoiceProcess|SemiVoice|Bpo|Inbound|Outbound|Data|Accent|voicenotes|Voicesupport|VoiceProcess|CustomerSupport|Techsupport|
Bpo Non Voice,2COMS Consulting Private Limited,Chennai,Fresher,180000 - 340000 INR,Salary 12000 CTC |   Immediate joining |   No WFH |,BPOExecutive|BPOAnalyst|Bpo|BpoOperations|BpoNonVoice|BPOHiring|BPOCallCentre|BPOCallCenter|BPODataEntry|InternationalBpo|CallCentre|WiproBPO|CallCenterExecutive|VoiceProcess|InternationalCallCenter|DomesticBPO|BPOFresher|TeleC|
AR Semi Voice,Infyjob Technology Services,Kolkata|Pune,0-3years,Not Specified,"Job Title: AR process(Blended)Work Location: PuneAs of now work from home, as per situation it will be work from officeSystem and internet bill reimbursement will be there from Company sideShift: Rotational ShiftWeek Off: 5 days workin",ARSemiVoice|
