jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Customer Support  customer service executive,Gautam Consultancy,Bengaluru/Bangalore,0-5years,250000 - 320000 INR,"customer service |      Agents should know both English and hindi |      Must be flexible, organized, and function well under pressure |      part-time and full-time both available |      salary:16k - 18k |      timings:10 to 6:30 |      contact HR Shashi @ 9164371238",VoiceProcess|Hindi|English|Voicesupport|CustomerSupport|ProductionSupport|
Hiring for Networking Voice SUPPORT- GRAD Freshers - 16K to 22K - Call 9960920092,Sky Scrapper Consulting,Pune,0-5years,Not Specified,Technical Support VOICE process,Virginmedia|concentrix|Wipro|Troubleshooting|Voice|internationalvoiceprocess|Technicalsupport|techsupport|desktopsupport|ApplicationSupport|
Hiring for Networking Voice SUPPORT- GRAD Freshers - 16K to 22K - Call 8237076800,Sky Scrapper Consulting,Pune,0-5years,Not Specified,Technical Support VOICE process,Virginmedia|concentrix|Wipro|Troubleshooting|Voice|internationalvoiceprocess|Technicalsupport|techsupport|desktopsupport|ApplicationSupport|
Customer Support for Kannada Process - Chennai,Infyjob Technology Services,Chennai,0-3years,100000 - 200000 INR,Urgent Opening for Kannada Voice Support - Chennai,Kannadavoicesupport|Kannadavoice|Bpo|Voice|DomesticVoiceSupport|TeleCalling|
When things goes Tough Never lack OF jOB  Opportunities  we Have Opening FOr Customer care Rep,Izee Manpower Consultancy Private Limited,Bengaluru/Bangalore,1-6years,Not Specified,when things asre  going get Toughh |  never  lack of Job opportunities |  wan work with Top Mnc international calling voice semi voice |  call |  Apoorva 7022226234 |,InternationalVoiceSupport|CustomerCare|VoiceProcess|SalesRepresentative|Voicesupport|semivoiceCSRvoice|
Customer Support  customer service executive,Gautam Consultancy,Bengaluru/Bangalore|Delhi,0-5years,250000 - 320000 INR,"customer service |     Agents should know both English and hindi |     Must be flexible, organized, and function well under pressure |     part-time and full-time both available |     salary:16k - 18k |     timings:10 to 6:30 |     contact HR Shashi @ 9164371238",VoiceProcess|Hindi|English|Voicesupport|CustomerSupport|ProductionSupport|
Hiring for Technical SUPPORT- GRAD Freshers - 16K - Call 8237076800,Sky Scrapper Consulting,Pune,0-5years,Not Specified,Technical Support VOICE process,Virginmedia|concentrix|Wipro|Troubleshooting|Voice|internationalvoiceprocess|Technicalsupport|techsupport|desktopsupport|ApplicationSupport|
BPO-FRESHERS-SEMI VOICE,Fazo Software,Chennai|Pondicherry,0-1years,210000 - 450000 INR,"Fazo software |   |  Wanted freshers for semi-voice!! |   |  - Immediate joining is available |  - Salary will be around Rs. 10,000- 15,000 |  - Working days ( Monday - Saturday) |  - Work location will be in Chennai |  - Hike will be there once in every year |",SemiVoiceProcess|SemiVoice|Bpo|Inbound|Outbound|Data|Accent|voicenotes|Voicesupport|VoiceProcess|CustomerSupport|Techsupport|
Openings For Customer Support Customer Service  BPO,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,"Calling, customer service, voice, supportCandidate should possess excellent oral and written communication skillsCandidate with good customer service skills would be preferred",CustomerSupport|CustomerService|Bpo|CustomerSupportVoiceProcess|Bpo|CallCenter|Voicesupport|
CALL CENTER/BPO/CSR/TSR JOBS IN BANGALORE CALL Vijay 9886747291,White Horse Manpower Private Limited,Bengaluru/Bangalore,1-6years,160000 - 400000 INR,"Calling, customer service, voice, support·         Candidate should possess excellent oral and written communication skills·         Candidate with good customer service skills would be preferred ·         Candidate should have 0-5 year",CustomerService|CustomerCare|CustomerSupport|CallCenter|VoiceProcess|Voicesupport|TechnicalSupport|
