jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
FullStack Developer (C#/Angular6+) with Product MNC (Mumbai) Immediate Joiners,Mulya Consulting,Mumbai|Thane,5-15years,Not Specified,FullStack Developer (C#/MVC/WebAPI/Entity Framework/Angular6+) with Product MNC (Mumbai)  Short Joiners,C#|Mvc|EntityFramework|WebApi|Wcf|Angular|
Senior .Net Developer - Immediate Joiner,Luminate It Solutions Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,8-15years,1500000 - 2500000 INR,"Duration: Long Term Contract |     |    Experience: 8-15 years |     |   Skills: Latest .Net Framework (C#), ASP.NET, WCF, NHibernate, Any Database (Preferably .Net +Java) |   Domain: banking / Financial |       |   Currently Work from Home we can consider any location",C#|Asp.Net|Wcf|NHibernate|Java|
"C#,WPF,WCF",Pelatis Rigas,Bengaluru/Bangalore,3-10years,Not Specified,"Experience and skill set |  • Between 3-7 years of experience in Software development using C#, WPF, WCF |  • Good to have knowledge on C# .Net with Visual Studio 2010 and above |  • Strong knowledge in Object Oriented Principles (OOPs)","C""|""wpf|Wcf|"
Dotnet Developer,Millennium Ims Private Limited,Bengaluru/Bangalore,5-8years,Not Specified,Position #1 |   |  Dot Net – Technical Consultant |   |  Relevant experience: 8+ years |   |  Joining date: ASAP |   |    |   |    |   |  Must have Skills |   |  Dot Net |  MVC |  Java Script |  Web API integration |  API call |  Ajax |,Asp.Net|C#|Mvc|Javascript|jQuery|Sql|Wcf|Json|HTML|CSS|
.Net Developer  Software Developer  Asp.Net,CosyTech,Bhubaneswar,2-4years,Not Specified,"We are looking for ASP .Net Developer in Bhubaneswar , Orissa |   |  Experience - 2 to 4 Year |",Asp.Net|Mvc|C#|Wcf|
Urgent opportunity for Net WPF Developer,JB Consultants,OtherIndia,2-6years,Not Specified,Net WPF Developer  |   |  Experience 2 to 6 Years |   |  Salary 2 LPA TO 7 LPA |   |  Location - Anywhere in India,.NetDeveloper|.NetC#|Wpf|Wcf|
Software Engineer / Senior Software Engineer,Mindteck (India) Limited,Bengaluru/Bangalore|Kolkata,4-9years,Not Specified,"Strong Development Experience using C#, .net. WCF is must (Windows Application Developers). WPF is good to have",CSHARP.DOTNET|WINDOWSAPPLICATIONDEVELOPERS|C#|DotNet|.NET|Wcf|
Dot Net Developer,Techxyte,Bengaluru/Bangalore,2-6years,550000 - 1000000 INR,"Our Client is looking at  .Net Full Stack Developer with 3-8years’ experience in ASP.Net, C#, MVC, Web API, Web Services, Linq,.Net Core, Angular JS, Java Script, jQuery, Multi-tier Architecture, Entity Framework, SQL, Design Patterns and Agile",Asp.NetC#|Javascript|Jquery|Linq|Ado.net|Sql|WebApi|WcfAsp.net|Svn|
Senior Dot Net Developer,Kaapro Management Solutions Private Limited,Bhubaneswar,4-8years,710000 - 810000 INR,We have an Opening for Senior Dot Net Developer for OASYS Tech Solutions Pvt. Ltd.@ Bhubaneswar,Mvc|Asp.Net|WcfAsp.net|SQLServer|WebApi|
ASP.NET Developer,Quess IT Staffing (Formerly known as Magna Infotech),Mumbai,8-15years,Not Specified,"Responsible for development of DOT NET applicaiton with MSSQL backend. |  Excellent basics of OOPs and datastructures. |  Good at MVC 4/ WCF/ Webservice using C#. |  Should have working exposure to client side scripting like JQuery, AngularJs and JavaScripts.",Asp.Net|C#|Oops|Wcf|
