jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Immediate Opening For Core PHP Developer,Nscript Web Studios Private Limited,Chennai,2-4years,200000 - 400000 INR,Looking for an experienced and smart Core PHP developer,CorePhp|PHPDeveloper|Javascript|AJAX|Jquery|HTML|CSS|Framework|
Project Coordinator,Nscript Web Studios Private Limited,Chennai,5-8years,500000 - 900000 INR,"Looking for a candidate who have experience in IT or Web designing/development company |  Must speak Tamil, Hindi and English |  Must have a Strong client-facing and teamwork skills",ClientCoordination|Hindi|ItProjectManager|ProjectCoordinator|Pmo|ScrumMaster|
UI Developer,Nscript Web Studios Private Limited,Chennai,2-5years,200000 - 500000 INR,"Immediate job opening for Front end developer with strong skills in HTML,CSS, bootstrap and Javasccript",HTML|CSS|Javascript|AJAX|Bootstrap|jQuery|PsdToHtml|
Expert Pay Per Click Manager,Bliss Web Solution Pvt. Ltd.,Ahmedabad,3-6years,400000 - 1000000 INR,Expert Pay Per Click Manager,PPCExpert|DigitalMarketing|OnlineMarketing|Sem|DataAnalyst|MisExecutive|GoogleAnalytics|ResearchAnalyst|
Urgent Opening for Bidding /Email Marketing Executive,Green Byte Web Private Limited,Delhi|Noida,1-2years,120000 - 200000 INR,"Lead generation from online Bidding Portals like Up-work, Freelancer, Guru, Elance, People per hour etc.for Web Development, SEO, PPC, and Mobile App.",OnlineBidding|Bidding|Upwork|Freelancer|Guru|Elance|
React & Node Js developer 2 to 4 years experience - Bangalore,Web Design Magics,Bengaluru/Bangalore,2-4years,Not Specified,Job Description  |         |        Job Title: React & Node Js Developer  |         |        Location: Bangalore  |         |        Experience:2-4 Years  |         |        Notice period : immediate or upto 15 days  |         |        Only Bangalore candidates apply |,React|NodeJs|Javascript|Redux|DataStructure|RestfulApi|AgileMethodology|
REACT DEVELOPER 5 TO 9 YEARS EXPERIENCE,Web Design Magics,Bengaluru/Bangalore,5-9years,Not Specified,We are looking for a React & React Native Developers who will create awesome web and mobile applications from beautifully designed UI's using the React library. Your primary responsibility will be the implementation of visual elements,REACTJSDEVELOPER|Javascript|Flux|Redux|Ecmascript|DataStructures|RestfulApis|HTML|Javascript|CSS|Bootstrap|AJAX|Less|
REACT DEVELOPER 4 TO 6 YEARS EXPERIENCE,Web Design Magics,Bengaluru/Bangalore|Mumbai,4-6years,Not Specified,"We are looking for talented individuals who are not just looking for a job, but for a fun career in a young startup that has a lot of potential and room to grow.",React|Javascript|Oops|Mvc|DbDesign|Git|WebServices|MySQL|MongoDB|
MERN STACK DEVELOPER - Bangalore 3 to 5 years experience,Web Design Magics,Bengaluru/Bangalore,2-5years,300000 - 800000 INR,MERN STACK DEVELOPER FOR  Bangalore 3 to 5 year experience |,MernStack|MernStackDeveloper|NodeJS|Express|ReactJs|MongoDb|
FULL STACK DEVELOPER - React J.s & Node J.s 2 TO 4 YEARS EXPERIENCE,Web Design Magics,Bengaluru/Bangalore,2-7years,Not Specified,"We are looking for talented individuals who are not just looking for a job, but for a fun career in a young startup that has a lot of potential and room to grow.",FullStackDeveloper|Javascript|ReactJs|Node.js|Oops|Mvc|DbDesign|Git|WebServices|MySQL|MongoDB|
