jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"Service desk, Web Chat Process",2COMS Consulting Private Limited,Kolkata,1-4years,Not Specified,"Job Title: Webchat/ Customer Support/ Technical SupportFor One of the Leading MNC, PAN India HiringRequirementsCandidate should have,1.Good Communication skills2.Take calls Over Phone which involves working in different time zones3.Take",
Fresher / International Web Chat Process / WFH - Ahmedabad,Arise Solution,Ahmedabad,0-3years,Not Specified,"Good Communication & Convincing skills |            Self Motivated & Target Oriented. |            Prior experience in Outbound, Telesales, Telemarketing or Financial products sales would be an added advantage. |            Only For Ahemdabad Candidates",Demat|OnlineTrading|Equity|ShareTrading|TradingAccount|Commodities|Broking|Brokerage|OnlineShareTrading|
Fresher / International Web Chat Process / WFH - Ahmedabad,Arise Solution,Ahmedabad,0-3years,Not Specified,"Good Communication & Convincing skills |           Self Motivated & Target Oriented. |           Prior experience in Outbound, Telesales, Telemarketing or Financial products sales would be an added advantage. |           Only For Ahemdabad Candidates",Demat|OnlineTrading|Equity|ShareTrading|TradingAccount|Commodities|Broking|Brokerage|OnlineShareTrading|
International BPO / Web Chat Process/ Night Shift - Ahemdabad,Arise Solution,Ahmedabad,0-3years,Not Specified,"Good Communication & Convincing skills |         Self Motivated & Target Oriented. |         Prior experience in Outbound, Telesales, Telemarketing or Financial products sales would be an added advantage. |         Only For Ahemdabad Candidates",Demat|OnlineTrading|Equity|ShareTrading|TradingAccount|Commodities|Broking|Brokerage|OnlineShareTrading|
International BPO / Web Chat Process/ Night Shift - Ahemdabad,Arise Solution,Ahmedabad,0-2years,100000 - 210000 INR,Should be able to work with Voice Process. |    Fresher /Graduate / Undergraduate with experience can apply. |    English communication must be fluent. |    Contact on 9687676593 / [HIDDEN TEXT],CustomerSupport|CustomerService|CustomerCareExecutive|VoiceProcess|Voicesupport|OutBound|OutboundProcess|InternationalBpo|CallCenter|ChatSupport|
International BPO / Web Chat Process/ Night Shift - Ahemdabad,Arise Solution,Ahmedabad,0-3years,Not Specified,"Good Communication & Convincing skills |        Self Motivated & Target Oriented. |        Prior experience in Outbound, Telesales, Telemarketing or Financial products sales would be an added advantage. |        Only For Ahemdabad Candidates",Demat|OnlineTrading|Equity|ShareTrading|TradingAccount|Commodities|Broking|Brokerage|OnlineShareTrading|
IMMEDIATE OPENING FOR VOICE AND WEB CHAT PROCESS IN KOLKATA!!!,2COMS Consulting Private Limited,Kolkata,0-2years,Not Specified,Hi |   |  Greetings from 2COMS Consulting |  No Registration Charges |   |  Job Title: IMMEDIATE OPENING FOR VOICE AND WEB CHAT PROCESS IN KOLKATA!!! |  Qualification: Under graduate/ Any graduate/ Any post graduate |  Salary up to 3.5 LPA |  Work Location: Kolkata,"""icse""|""isc""|""cbse""|""convent""|""anglo""|""christian""|""catholic""|""st""|"
IMMEDIATE OPENING FOR VOICE AND WEB CHAT PROCESS IN KOLKATA!!!,2COMS Consulting Private Limited,Kolkata,1-4years,Not Specified,Hi |   |  Greetings from 2COMS Consulting |  No Registration Charges |   |  Job Title: IMMEDIATE OPENING FOR VOICE AND WEB CHAT PROCESS IN KOLKATA!!! |  Qualification: Under graduate/ Any graduate/ Any post graduate |  Salary up to 3.5 LPA |  Work Location: Kolkata |   |,"""icse""|""isc""|""cbse""|""convent""|""anglo""|""christian""|""catholic""|""st""|"
IMMEDIATE OPENING FOR VOICE AND WEB CHAT PROCESS IN KOLKATA!!!,2COMS Consulting Private Limited,Kolkata,0-2years,Not Specified,Hi |   |  Greetings from 2COMS Consulting |  No Registration Charges |   |  Job Title: IMMEDIATE OPENING FOR VOICE AND WEB CHAT PROCESS IN KOLKATA!!! |  Qualification: Under graduate/ Any graduate/ Any post graduate |  Salary up to 3.5 LPA |  Work Location: Kolkata |   |,"""icse""|""isc""|""cbse""|""convent""|""anglo""|""christian""|""catholic""|""st""|"
Technical Support / Email Chat Support / Web Chat Support / IT Help Desk / BPO,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
