jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"""PRIVET BANK RECRUITMENT NOTICE FOR ALL OVER BENGAL""",Career Development Management,Kolkata|Bankura,Fresher,Not Specified,'Bank Department' |  'PRIVET BANK RECRUITMENT NOTICE FOR ALL OVER BENGAL',BasicComputerKnowledge|
"Office Executive,  Foreign Exchange Officer, Fresher",Career Development Management,Hooghly|Howrah,Fresher,Not Specified,Office Executive Branch Executive Back Office Coordinator |   |  Staff Selection Going On || PRIVATE BANK.,BasicComputerKnowledge|
Account Executive ~ Corporate  Back Office = Freshers Department,Career Development Management,Durgapur|Kharagpur,Fresher,Not Specified,CORPORATE BANK ||,BasicComputerKnowledge|
Staff Selection ( Privet Bank ) 2021,Career Development Management,Kolkata|Jalpaiguri,Fresher,Not Specified,Staff Selection ( Privet Bank )  |  Back Office Assistant ( In House Branch Banking Department ),GoodCommunicationSkill|
Back Office Coordinator || Document Verification Executive || IN HOUSE Branch Banking,Career Development Management,Burdwan|Bankura,0-1years,Not Specified,Back Office Executive |  Office Assistant |  Customer Service Officer Or Others,BankingDomain|
"Data Entry - Operations,Relationship Manager, Operations Manager",Career Development Management,Durgapur|Hooghly,Fresher,Not Specified,Fresher Recruitment Notice',BasicComputerKnowledge|
**Privet Bank (Fresher ) || Employment Notice || Staff Selection || 2021**,Career Development Management,Kharagpur|Hooghly,0-1years,Not Specified,'Fresher Recruitment' |   **Privet Bank (Fresher ) || Employment Notice || Staff Selection || 2021** |,GoodCommunicationSkill|
Customer Service Executive,Career Development Management,Hooghly|Howrah,0-1years,Not Specified,NEW OPENING FOR BRANCH |   |  Corporate Bank || SEGMENT OF BACK OFFICE || OFFICE STAFF SELECTION |  Corporate Bank HR Dept.>>(76O3O-894O8 ) HR ADMIN |,BasicComputerKnowledge|
2021 NEW EMPLOYMENT || PRIVATE BANK || BACK OFFICE EXECUTIVE,Career Development Management,Kolkata,0-1years,180000 - 270000 INR,"JOB LOCATION/POSITION :- |  Kolkata / Hooghly /Howrah / Alipurduar, Bankura /Birbhum /Cooch Behar / Dakshin Dinajpur,/(South Dinajpur / Darjeeling , Jalpaiguri / Jhargram / Kalimpong / Malda, Murshidabad/ Nadia / North 24 Parganas , Paschim Medinipur /",BankingDomain|
| OFFICE ASSISTANT IN PRIVATE BANK|| Fresher Employment for Branch Banking,Career Development Management,Kolkata|Hooghly,0-1years,Not Specified,Office Assistant |  Office Executive |  Branch Executive,BankingOperations|
PRIVET BANK STAFF SELECTION NOTICE - 2021 (FRESHER),Career Development Management,Kolkata|Hooghly,Fresher,Not Specified,CORPORATE BANK STAFF SELECTION NOTICE 2021 |  Back Office Executive. |  KYC Department Officer. |  Branch Banking Executive |  KYC Verification |  CSO |  OE,GoodCommunicationSkill|
Back Office Executive,Career Development Management,Kolkata|Asansol,0-1years,Not Specified,Post Openings On Direct - 24. |  Candidate Criteria :- Age limit 18 Years To 28 Years. |  Qualification :- HS Pass / Graduation Preferable.,BasicComputerKnowledge|
Data Entry Executive,Career Development Management,Howrah,0-1years,Not Specified,DATA ENTRY EXECUTIVE || 76O3O-894O8||,BasicComputerKnowledge|
|| Staff Selection Going On || PRIVATE BANK. Full Timer Permanent Job IN 2021 ||,Career Development Management,Kolkata|Kharagpur,0-1years,Not Specified,Office Executive |  Branch Executive |  Back Office Coordinator,BankingAndFinance|
"Relationship Manager, Retail Branch Operations For Fresher",Career Development Management,Kharagpur|Hooghly,Fresher,Not Specified,Branch Bank,BasicComputerKnowledge|
Back Office Assistant || Corporate Selection ( Corporate Bank ) || Document Collection Dept.,Career Development Management,Hooghly|Bankura,Fresher,Not Specified,Back Office Assistant || Corporate Selection ( Corporate Bank ) || Document Collection Dept. |  Male Or Female Both Can Apply For This Selection,BasicComputerKnowledge|
Corporate Office Stuff Selection || Freshers (Back Office),Career Development Management,Howrah,0-1years,Not Specified,Job Description :- |  Back Office Executive. |  KYC Department Officer. |  Branch Banking Executive |  KYC Verification,Freshers|Graduates|GraduateFresher|Undergraduates|HighSchoolPass|
Corporate Bank (Documents Collection Dept.) || Freshers Employment Notice,Career Development Management,Hooghly|Howrah,Fresher,Not Specified,Urgent Vacancy Leading Bank ( Freshers ) || Employment Notice || Back Office Segment |  HR ||,BasicComputerKnowledge|
||Relationship Officer-BRANCH BANKING-Branch Banking||,Career Development Management,Howrah|Bankura,0-1years,110000 - 220000 INR,REQUIRED PROFILE |  Personal Banker. |  MIS EXECUTIVE. |  Data Entry Operator.,OfficeExecutive|Officerbackoffice|FrontOfficeExecutive|OfficeAssistant|Receptionist|
Hiring For Back Office In Corporate Bank || Freshers,Career Development Management,Kharagpur|Siliguri,0-1years,Not Specified,NEW OPENING FOR BRANCH |   POST :- |   Office Executive. |   Back Office Staff. |   Customer Service Officer. |   KYC Executive Officer. |   Male & Female Both Can Apply |,DataEntryOperator|BackOfficeExecutive|DataEntry|OfficeAssistant|BackOffice|ComputerOperator|
PERMANENT OFFICE ASSISTANT - LEADING BANK ~ (FRESHERS) DIRECT PAYROLL,Career Development Management,Durgapur|Kharagpur,0-1years,Not Specified,PERMANENT OFFICE ASSISTANT - LEADING BANK  (FRESHERS) DIRECT PAYROLL |  Urgent Vacancy Leading Bank ( Freshers ) || Employment Notice || Back Office Segment ||,BasicComputerKnowledge|
