jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Salesforce Developer,Aroha Technologies,Bengaluru/Bangalore,6-14years,Not Specified,"Hi Everyone, |   |  Greetings from aroha technologies!!! |   |  Hope your all doing good.. |   |  We are currently hiring for Salesforce developer for Bangalore location. interested can contact or watsapp your resume to 8197245097. |   |",Salesforce|SalesforceCommercecloud|Salesforce.com|SFDC|Visualforce|Apex|WebServices|Javascript|
Immediate Opening For Core PHP Developer,Nscript Web Studios Private Limited,Chennai,2-4years,200000 - 400000 INR,Looking for an experienced and smart Core PHP developer,CorePhp|PHPDeveloper|Javascript|AJAX|Jquery|HTML|CSS|Framework|
Project Coordinator,Nscript Web Studios Private Limited,Chennai,5-8years,500000 - 900000 INR,"Looking for a candidate who have experience in IT or Web designing/development company |  Must speak Tamil, Hindi and English |  Must have a Strong client-facing and teamwork skills",ClientCoordination|Hindi|ItProjectManager|ProjectCoordinator|Pmo|ScrumMaster|
UI Developer,Nscript Web Studios Private Limited,Chennai,2-5years,200000 - 500000 INR,"Immediate job opening for Front end developer with strong skills in HTML,CSS, bootstrap and Javasccript",HTML|CSS|Javascript|AJAX|Bootstrap|jQuery|PsdToHtml|
"Software Engineer NLP, Machine Learning",Global Technologies,Bengaluru/Bangalore,7-17years,Not Specified,"6 years of experience in NLP and machine learning. |  Proficiency in Python (experience with Scala is a plus) |  Hands on experience with NLP tools (NLTK, Spacy, Stanford CoreNLP, etc) |  Experience with deep learning frameworks (PyTorch or TensorFlow) |   |",Nlp|MachineLearning|Python|Scala|Pytorch|Tensorflow|
UX Designer,Global Technologies,Bengaluru/Bangalore,3-10years,Not Specified,"3+ years of experience in web/interactive design & graphic design |  Solid knowledge of design fundamentals such as composition, color, layout, and typography |  Appreciation for art, design, and user experience and a passion for diving into new content an",Sketch|Photoshop|XD|Ux|Wireframe|Invision|Usability|UserInterface|
CAD Customization / C++ Developer for Teamcenter Application,Progneur Technologies Private Limited,Pune,2-5years,Not Specified,"Responsibilities: |  •	Design, build, and maintain efficient, reusable, and reliable C++ code |  •	Implement performance and quality modules |  •	Identify bottlenecks and bugs, and devise solutions to these problems |  •	Help maintain code quality, organization,",CADCustomization|Proe|CAD|Catia|C++|Solidworks|
Python Internship in Mumbai,Maxgen Technologies Private Limited,Mumbai|NaviMumbai,Fresher,Not Specified,Summer Internship in Python,Internship|LiveProjects|Bsc|AcademicProjects|B-Tech|Bca|Msc|BE|Projects|SummerIntern|Mca|Python|
Software QA Tester,Enigmasoft Technologies Private Limited,Bengaluru/Bangalore|Goa,2-7years,Not Specified,Hiring for Goa and Bangalore,SoftwareTestingLifeCycleandDefectLifeCycle(Manual&Automationboth).Hands-onTestManagementSoftwareandSQLtesttools|creationandunderstandingoftestingartifactsliketestplan|testcase.GoodUnderstandingofWeb/Desktop/Mobile/AP|
ISMS Consultant,Enigmasoft Technologies Private Limited,Goa,2-6years,Not Specified,Hiring for Goa,DefinereviewinformationsecuritypoliciesandprocessesconductRiskAssessmentsonProcesses|NetworksSystems.•AsInformationsecurityRiskimplementer|assessimpactstobusinessfromcybersecurity|LegalAnalyst|Applications|
Data Scientist,Maxgen Technologies Private Limited,Remote,3-6years,Not Specified,"Use predictive analytics and machine learning techniques to solve complex problems and drive business decisions Design experiments, test hypotheses, and build actionable models to optimize operations · Solve analytical problems, and effectively commu",Stata|sagemaker|S3ShareJobLinkonSocialMedia|MachineLearning|DeepLearning|DataExtraction|Sql|Hadoop|Hive|Scala|Matlab|Redshift|Emr|
Data Science Internship in Mumbai,Maxgen Technologies Private Limited,Mumbai|NaviMumbai,Fresher,Not Specified,Summer Internship,Internship|LiveProjects|Bsc|AcademicProjects|B-Tech|Bca|Msc|BE|Projects|SummerIntern|Mca|DataScience|
Python Internship in Ahmedabad,Maxgen Technologies Private Limited,Ahmedabad|Mehsana,Fresher,Not Specified,Summer Internship,Internship|LiveProjects|AcademicProjects|Bsc|B-Tech|Bca|Msc|Projects|BE|SummerIntern|Mca|Python|
Data Science Internship in Pune,Proteus Technologies Private Limited,Pune|Satara,Fresher,Not Specified,Summer Intermship,Internship|LiveProjects|Bsc|AcademicProjects|B-Tech|Bca|Msc|BE|Projects|SummerIntern|Mca|DataScience|
Logistics Executive (Tanker Management)- Varanasi,Maxgen Technologies Private Limited,Varanasi,1-5years,250000 - 350000 INR,Require a enthusiastic candidate who is willing to work with dedication and honesty for mapping Tankers in operation.  *Candidate should be having 3 year experience in Dairy Industry.  *Candidate should be willing to shift anywhere with in the UP sta,"""milktanker""|""milktankermanagement""|""tankermanagement""|""logisticexecutive""|Logistic|"
SQL Developer,Voqeoit Technologies,Mumbai|MumbaiCity,2-5years,Not Specified,Experience of SQL is mandatory |  Experience in Jasper Report/ Crystal Reports |  Creating and Designing Tables,Procedures|Packages|CrystalReport|Sql|Pl-sql|SQLserver|Mysql|Tables|Joins|StoredProcedure|Functions|Views|Triggers|Forms|Cursors|JasperReports|
Software Eng (Dev) III,Global Technologies,Hyderabad/Secunderabad,7-9years,Not Specified,Our client is a global leader in the gaming industry with over 12000 employees. We are seeking a seasoned JavaScript Developer to join our team to build triple-A quality casino games. We're building authentic games to be played online in a non-gambli,Html5|ReactNative|Java|J2EE|Javascript|jquery|Angular|Maven|Jenkins|
AWS Big Data and Ops Engineer,Global Technologies,Hyderabad/Secunderabad,2-5years,Not Specified,"Pull together complex and disparate data sources, execute a wide range of transformations, warehouse those data and architect a foundation to produce scalable and flexible BI and analytical content in AWS",Spark-SQL|GlueETL|Gluecatalog|Athena|quicksight|Sql|Hive|Python|AwsServices|S3|Emr|Redshift|Cloudwatch|
