jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Application Infrastructure Administrator for Qatar,Vinirma Consulting Private Limited,Qatar,5-10years,Not Specified,"Urgent hiring for Application Infrastructure Administrator for Qatar. 5-8 years of Experience to manage Middleware and Web servers,",Weblogic.|Middleware|Jboss|Tomcat|Eap|
Java Developer in Oman,Serviam Consultancy Services,Oman,7-12years,1600000 - 2200000 INR,"java/j2ee based applications,WebLogic ,FileNet",java/j2eebasedapplications|FileNet|Weblogic|
Hiring for Weblogic Admin,Quess IT Staffing (Formerly known as Magna Infotech),Pune,5-13years,Not Specified,Description: |   |  1. Tech lead IT Applications. Should have 7-8 years of experience in Application support. |  Provide technical leadership to team of SMEs. Support on the skill area : |  Incident/SR/Release and Deployment management |  Strong technical skills. |,Weblogic|UnixAndSql|
Technical Lead,Best infosystems Ltd,Bengaluru/Bangalore,8-12years,Not Specified,Follow defined patching schedule based on vulnerability severity to remediate missing patches in the current database environment,PSUWebLogic|PatchingSOP|OraclePSU|TechnicalLead|OracleSql|PatchManagement|
SOA Administrator,Rumango Software And Consulting Services Private Limited,Bengaluru/Bangalore|Chennai,2-6years,350000 - 550000 INR,Candidates who can join within 30 days can apply.,DesignPrinciples|TechnicalSupport|Troubleshooting|OSB|Networking|Soa|Weblogic|NetworkAdministration|Oracle|Middleware|
Weblogic Administrator,URS Systems Private Limited,Bengaluru/Bangalore,6-10years,Not Specified,This position is for Middleware (WebLogic) Administrator who will be involved in the Production and UAT setup of banking and non-banking environment. |,MiddlewareEngineer|WeblogicAdministration|Weblogic|WeblogicAdministrator|Middleware|MiddlewareAdministrator|
Test Manager,Prosperspective Hr Solutions LLP,Gurgaon/Gurugram,8-14years,Not Specified,Test Manager	NCR preferably	JS6			' |  •	Test/Quality manager in an agile organization understands the program vision and defines the test strategy |  •	Well verse with the Test Automation and tools |,Jboss/Weblogic/TOMCAT|J2EE|SpringMvc|CoreJava|Jboss|Json|Json|Maven|
Java Developer for a Leading IT Telecom MNC - Pune,Serviam Consultancy Services,Pune,3-10years,Not Specified,Opportunity for a Leading IT Telecom Company,HTML/CSS|AngularandMicroservices.|Java|Spring|Struts1|SpringMVC|ApacheTiles|JavaScript|Jsp|QuartzScheduler|JasperReport|jreport|javarmi|MessageQueue|OracleDb|Weblogic|
Java Technical Specialist,Orcapod Consulting Services Private Limited,Mumbai,5-8years,Not Specified,Experienced in defining & realizing end-to-end Oracle Database Architecture for large scale enterprise systems.,JavaTechnicalSpecialist|TechnicalSpecialist|SUNOne|Java|Ejb|Hibernate|Spring|Weblogic|Websphere|Oracle|MySQL|MsSqlServer|
Senior Support Analyst Hyderabad Location,Enormous IT Services Private Limited,Hyderabad/Secunderabad,4-8years,Not Specified,"Main Duties of the Jobholders:  |   |  The Basic duties of a AWS & Java systems programmer involve understanding the applications from support perspective, handling incidents, troubleshooting the issues/Abends, coding new changes as per specifications and","""AWSInfra""|WeblogicorJBOSS.|ApplicationSupport|Java|Framework|DB2|Websphere|"
