jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Word press Developer,Guires Solutions Private Limited,Chennai,2-7years,Not Specified,"WordPress Developers design and implement websites for companies using the WordPress creation tool. They are responsible for both front-end and back-end development, including the implementation of themes and plugins.",WebDeveloper|fullstackdeveloper|wordpressdesigner|wordpressfullstackdeveloper|phpfullstackdeveloper|WordpressDeveloper|Wordpress|Php|Cms|AngularJs|
Word press Developer,Guires Solutions Private Limited,Chennai,2-7years,Not Specified,"WordPress Developers design and implement websites for companies using the WordPress creation tool. They are responsible for both front-end and back-end development, including the implementation of themes and plugins.",Wordpressdeveloper|Websiteoptimizationexecutive|WebDeveloper|Webdevelopmentexecutive|Websiteoptimization|WebsiteDeveloper|PhpProgramming|Angular|WordPress|Cms|ContentManagementSystem|WebDesigner|
Word Press Developer,Selligence Solutions Private Limited,Indore,1-2years,Not Specified,"We are looking for an experienced and passionate WordPress Developer to join our IT team! As a WordPress Developer at our company, you will be responsible for both back-end and front-end development, including creating WordPress themes and plugins.",(JSON|XML)|Html5|Css3|Javascript|jQuery|
Need a Dispatch Executive,STT Solution,Delhi|Noida,0-2years,190000 - 380000 INR,Need a Dispatch Executive,Pdf|Word|Billing|MsWord|Dispatch|Logistics|Warehouse|Packing|DispatchOfficer|Tally|Excel|
Office Assistant & Data Entry Operator,Infyjob Technology Services,Kolkata,0-2years,110000 - 110000 INR,"Backend Job in a Tea Export Company having other businesses also , Centrally located Office in Dalhousie , Chance to learn a lot more than just doing Data Entry work depending on the Aptitude of the Candidate  |  Decent Starting Salary",KnowledgeofWord|TallySoftware|Excel|
Business Presentation Specialist - Kochi,I Tech Media Private Limited,Cochin/Kochi/Ernakulam,1-5years,200000 - 500000 INR,Business Presentation Specialist,Presntation|DocumentSpecialist|MsWord|prensentationspecilaist|mspowerpoint|
Executive IT & Web Support,Selectivite Consultants,Mumbai|MumbaiCity|NaviMumbai|Thane,0-2years,120000 - 150000 INR,"Opening for IT and Web Support |   Exp:0 to 1 Years  |   Freshers can also Apply. |   Location : Vidyavihar East, Mumbai. |   Creating and updating in Word Press / HTML / CMS websites",CMSwebsites|HTMLDeveloper|WordPress|HTML|ITSupport|Wordpress|
Senior Software Engineer –  PHP+Moodle - US Based Co - PUNE,Aspire Group of Services,Pune,3-9years,Not Specified,30 years old professional IT company is hiring team of Web Developers |   |  Work From Home Till Pandemic |   |  Joining will be in 15 days,"""WordPress""|""LMSsystems""|Moodle|Laravel|Cms|Joomla|Drupal|Magento|"
Data Entry Operator,Free Lancer Rishi Kumar,Lucknow,0-2years,100000 - 150000 INR,Maintain the records Confidential. |  Verify data and correct database.,DataEntryOperator|Word|Internet|Excel|MsExcel|
Earn 1550 - on Daily Base by Doing Simple Typing Work in Ms Word,Lakshya,Baripada|Gandhinagar,Fresher,229999 - 360000 INR,Urgent openings for back office candidate |         No. of openings=50 |         working hours:3hours to 6hours |         Salary:18000-30000 |         basic knowledge of computer and typing |         Experience not required |,ACOMPLETESETTLEDJOBFORRESTOFYOURLIFE|
Earn 1550 - on Daily Base by Doing Simple Typing Work in Ms Word,Eteam Info Services Private Limited,Bulandshahr|Nagaon,Fresher,Not Specified,Urgent openings for back office candidate |       No. of openings=50 |       working hours:3hours to 6hours |       Salary:18000-30000 |       basic knowledge of computer and typing |       Experience not required,ACOMPLETESETTLEDJOBFORRESTOFYOURLIFE|
Earn 1550 - on Daily Base by Doing Simple Typing Work in Ms Word,Rudraksha Fire Security Services,Agra|Ahmednagar,Fresher,Not Specified,"People interested to work from home can work part-time.  |   It is good opportunity for those, who wants to earn additional Home Data Entry employment opportunity. |   For more information send me a message on whatsapp and also you can call us 9156315941 |",Earn1550-onDailyBasebyDoingSimpleTypingWorkinMsWord|
Data Entry Operator,Aspire Group of Services,Mohali|Chandigarh,0-2years,120000 - 220000 INR,Full time office based job. Fresher and Experience can apply.,Word|PowerPoint|Typist|Excel|MsExcel|MsOffice|ComputerOperator|MicrosoftOffice|
Earn 1550 - on Daily Base by Doing Simple Typing Work in Ms Word,Miracle Software Systems India Private Limited,Rohtak|Dimapur,Fresher,Not Specified,Urgent openings for back office candidate |       No. of openings=50 |       working hours:3hours to 6hours |       Salary:18000-30000 |       basic knowledge of computer and typing |       Experience not required,ACOMPLETESETTLEDJOBFORRESTOFYOURLIFE|
earn moneyy on daily base by doing simple typing work in ms.word>>,Amart Interiors,Chirala|Chitradurga,Fresher,Not Specified,"Attention!!! |   *The ever best opportunity for students, housewives, retired person and others for all |   *Just Complete typing projects earn money |   *work on Computer or laptop |   *For info just send ur email id or name on whatsapp no.9056804292 |",earnmoneyyondailybasebydoingsimpletypingworkinms.word>>|
Earn 1550 - on Daily Base by Doing Simple Typing Work in Ms Word,Amart Interiors,Meerut|Bhubaneswar,Fresher,Not Specified,Urgent openings for back office candidate |       No. of openings=50 |       working hours:3hours to 6hours |       Salary:18000-30000 |       basic knowledge of computer and typing |       Experience not required |,PartTimeTypingProjectsForHomeBasedjob|
Copy Writer,Blue Chip Hr Solutions,Bengaluru/Bangalore,3-6years,Not Specified,"Role: Copy Writer |  Payroll: eTeam |  Loc: Bangalore (Now WFH) |  4-5 years professional copywriting exp with solid portfolio of work |  Proficiency in MS Word, Excel, PowerPoint & Adobe Acrobat Pro |  B2B exp. Prior exp in Marketing Technology, will be beneficial",CopyWriter|Marketing|MsWord|Powerpoint|AdobeAcrobat|B2b|MsExcel|
