jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Windchill Developer / Windchill Consultant,Freelancer Deepika D Bidri,Bengaluru/Bangalore|Pune,2-6years,Not Specified,Seeking Windchill Consultant who is highly motivated & self-initiator with good communication skills with the ability to work effectively in a team environment,Windchill|PDMlink|Java|Xml|html|SQLServer|
Java Developer Core Java,Winx Consulting Services,Hyderabad/Secunderabad,2-6years,500000 - 900000 INR,"2+ years experience in java/j2ee |     Experience into spring boot, microservices,Hibernet, Agile methodlogy, |     Any one of the cloud comphenent |      |     Structs(Good to have)",Javascript|HTML|AJAX|Xml|Jscript|CSS|
INFORMATICA MDM - MODULE LEAD / TECHNICAL LEAD,Best infosystems Ltd,Bengaluru/Bangalore,6-12years,Not Specified,Looking for INFORMATICA MDM - MODULE LEAD / TECHNICAL LEAD,MDM|Java|Xml|jQuery|JavaScript|
Java Developer,Diraa HR Services,Chennai|Coimbatore,2-5years,Not Specified,"A Java Developer is responsible for the programming and development of applications and software using the popular programming language, Java.",Javascript|Jscript|Php|Xml|Jquery|AJAX|HTML|CSS|
OpenText InfoArchive Consultant,Sonyo Management Consultants Private Limited,Pune|Thiruvananthapuram/Trivandrum,5-8years,Not Specified,Looking for OpenText InfoArchive Consultant,Xquery|Xforms|Xsd|Xml|Sql|Db|
Java Architect,Isg Compusolutions India Private Limited,Delhi|Noida,9-12years,Not Specified,"Requires 9+ experience in J2EE application development. |  Including 3 years as an Architect or Associate Architect as an Individual Contributor. |  Proficiency in Core Java, J2EE, ANSI SQL, XML, Struts, Hibernate, EJB. |  Proficiency in Core Java Language. |",J2EE|Java|Sql|Xml|Struts|Hibernate|Ejb|AnsiSql|
Scala Developer (A/SA),Best infosystems Ltd,Bengaluru/Bangalore,4-11years,Not Specified,Looking for Scala Developer (A/SA),Xml|WebServices|Api|Cassandra|Hbase|Nosql|
QA Automation  Lead,Infyjob Technology Services,Bengaluru/Bangalore|Chennai,4-7years,Not Specified,Test Automation |   Scripting Language Experience |   Python Behave Framework |   Ability to read and understand XML/ JSON |   AWS Services used in Event Driven testing |   Agile and DevOPS Methodologies - CI/ CD tools |   Analytical and problem-solving,AutomationTesting|PythonScripting|Xml|Json|Agile|
Sr. Software Engineer / Tech. Lead.,Jarus Technologies India Private Limited,Hyderabad/Secunderabad,7-12years,Not Specified,"Skills Specification: Experience in Data Warehouse, ETL and BI Tools is preferred |    |   Developer Skill Set: |    |   Web Application Development, SPA, Razor and Entity Frameworks |   .NET framework, C#.net, MVC Framework,  |   ASP.NET (earlier version of ASP is a plus),",Backend|MsSqlServer|C#|Mvc|Asp.Net|Xml|
ODOO Tech Lead,Saaragh Solutions Private Limited,Ahmedabad|Bengaluru/Bangalore,5-10years,600000 - 1200000 INR,A Singapore based Software company is now looking for a Tech Lead in Odoo with relevant experience and good communication.,Odoo|python|Erp|Xml|Javascript|
Windchill Customization,Radial HR Solutions,Bengaluru/Bangalore|Pune,3-8years,600000 - 1300000 INR,"Looking for the position of Windchill Customization: Require Candidates with 3+yrs of experience in Windchill, Customization, Java, JSP , XML, J2EE",WindchillCustomization|Windchill|Customization|Java|Jsp|Xml|J2EE|
Senior QA Engineer,Millennium Ims Private Limited,Bengaluru/Bangalore|OtherIndia,6-12years,Not Specified,"Positions - 4 |  Experience - 6+ years |  Qualifications, Skills & Experience:  |  •	BS/MS in Computer Science or equivalent domain |  •	6+ years of experience in Software Development or Quality Engineering |  •	Excellent analytical skills |",Java|Json|Xml|AWS|Api|RESTful|Testng|Maven|Jenkins|
Dot Net Developer,Simple Logic IT Private Limited,Mumbai|NaviMumbai,2-4years,Not Specified,"We are an IT managed services company based in Mumbai. We are currently looking for Dot Net Developer with 2+ (or more) years of relevant experience. Candidates with expert knowledge in Asp .Net, MVC will be given preference. |   |  Location : Mumbai",DotNet|DotNetDevelopment|Asp.Net|Mvc|HTML|CSS|Javascript|Xml|
Java Full Stack Developer,Best infosystems Ltd,Bengaluru/Bangalore,3-8years,Not Specified,Looking for Java Full Stack Developer,Oauth2.0|Node.js|Java|Json|Xml|Sql|
PHP Wordpress Developer / PHP Developer / PHP Programmer / Wordpress Developer,Brightsword IT Services Private Limited,Bengaluru/Bangalore,2-5years,Not Specified,We are urgently looking for a PHP/WordPress Developer with Creative web design to join our dynamic web development team.,Wordpress|Php|RestApi|Mysql|jQuery|Javascript|HTML|CSS|Xml|Woocommerce|JQUERY|Xml|CSS|HTML|Wordpress|Php|Javascript|
Full Stack Developer,Teejay Global Infotech Services LLP,Bengaluru/Bangalore|Gurgaon/Gurugram,4-8years,Not Specified,Position: Full Stack Developer |  Duration:6 Months |  Location :Remote |,HTML|CSS|Javascript|Xml|Node.js|WebServices|Soap|ASP.NET|Jms|RESTful|
Tech. Lead. - Java,Jarus Technologies India Private Limited,Hyderabad/Secunderabad,8-13years,Not Specified,"Strong in J2EE,SDLC process,Java 7,Java script, AJAX, Hibernate, Angular 2 or above,Spring 2.5 or above, JSF,Web Services, JBOSS,XML,XSL,Oracle11,SQL","""CoreJAVA""|""WebServices""|Javadeveloper|Java|J2EE|SpringMVC|Angular|Hibernate|Jboss|Xml|Spring|"
Full Stack Developer,Global Solutions,Kolkata,4-5years,300000 - 450000 INR,Multiple Openings for Full Stack Developer with Our Client located at Kolkata.,FullStackDeveloper|CSS|Xml|Javascript|AJAX|
