jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Mulesoft Archiitect,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,4-9years,800000 - 1200000 INR,"MuleSoft Consultant/Architect |   |   Experience in MuleSoft Development in both Mule 3.X and 4.X, Any point Studio, |  connectors, |  Scopes, Routers, Flows, caching and Exception Strategiespreferred. |   Proficient in MuleSoft AnyPoint API platform on designing",pointStudio|connectors|scopes|Caching|Designing|implementing|MuleAPIs|Strong|APIGateway.|Design|Test|Debug|manageAPIs|SOAPWeb|MuleSoftCloud|Premises|Runtimemanager|Ap|Routers|Flows|Api|build|Deploy|Raml|Mule|REST|Edi|As2|Van|Https|FTP|Sftp|
Sr. Java developers,C P Careers Private Limited,Chennai|Noida,6-10years,800000 - 1600000 INR,Sr. Java developers |   |  Skills: |  Core Java |  Spring |  Hibernate |  OOPS |  Collection |  Multithreading |  Database |   |  Exp: 6-10 Yrs |  Salary Range: maximum 16 Lac,Collection|Core|Java|Spring|Hibernate|Oops|Multithreading|Database|
Golang Developer,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,4-9years,1500000 - 2500000 INR,"Job Description |   |  Overall experience 4+ years and relevant experience as 1+ Years into Golang |  Should have good experience in Golang, Coding, Java, Rest API, AWS, Angular, |  JavaScript |  Hands on coding experience is mandatory |  Should be comfortable to work",nightshifts|Alpharettatech-corridor|products|platforms|Analytics|andArtificialIntelligence|coherentholisticarchitecture|footprin|Golang|Coding|Java|RestApi|AWS|Angular|Javascript|Blockchain|Iot|Rpa|Cloud|Cybersecurity|Domains|Java|
senior cloud engineer,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,8-12years,2000000 - 2500000 INR,"Job Description |  JOIN US! |  We seek a Senior Cloud Engineer to join our team, based in Bangalore! |  ABOUT US: |  Symphony RetailAI is global leader in AI-enabled decision platforms, solutions and |  insights for driving profitable revenue growth for retailers a",Ai|voicetechnologies|Technology|reviews|root|Analysis|cloudportfolio|Infrastructure|Develop|day-to-dayoperations|failuremanagement|Monitoring|preventativemaintenance|expansions|andupgrades|Production|Cpg|MachineLearning|Iar|Cloud|DevOps|
PHP Developer,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,4-9years,1500000 - 2200000 INR,"PHP Developer |   |  • 6+ years’ experience as a WordPress / PHP developer |  • Should have solid work experience on PHP, MYSQL, WordPress, JavaScript & |  jQuery |  • Should have solid work experience on framework like Laravel, MVC.",JavaScript&jQuery|implementingsoftware|websitearchitecture|formats|Dynamic|fastpacedenvironment|Design|reusable|learningcurve|Laravel|Mvc|Php|MYSQL|WordPress|Framework|CorePhp|WordPress|Api|RestfulApis|Json|Xml|SEO|
Sales Manager - Online Education Work From Home,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,5-9years,800000 - 1200000 INR,"Proven B2C Sales track record of exceeding targets, 2 years of Sales experience |   Excellent communication, interpersonal, problem-solving, presentation, and organizational skills. |   Working knowledge of Salesforce, spreadsheets, and PowerPoint.",SalesManagement|Sales|Target|CommunicationSkills|Interpersonal|SkillsProblem|SolvingPresentation|OrganizationalSkills|Powerpoint|Spreadsheets|
Sr.Net full stack developer,C P Careers Private Limited,Chennai|Noida,5-10years,1100000 - 2000000 INR,Job description |   |  We are hiring .Net full stack developer for Noida office |  Total Exp :5 + yrs to 10 yrs |  Notice Period : Immediate to 30 days only |  Domain experience: Logistic (Added advantage),SQLServer&Angular4/5/6|atabaseschema(SPs/triggers)design|developmentandoptimizationwithRDBMSdatabase|strongdesign|codinganddebugging|icrosoftdesignpatterns|developmentbestpractices|applicationblocks|Tools|ASP.NET|Mvc|C#|
MANAGER – ANGULAR,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,8-12years,1100000 - 1600000 INR,"Job Description |   |  Experience of CSS & JavaScript and Angular or ReactJS or Vue.js |   |   Knowledge of Java, Spring Boot framework, UI Design & design patterns. |   |   Must be able to work closely with business users. |   |   Knowledge of Unix / Linux operatin",Oracle/Sybase|Unix/shellscripting|OWASP10|CSS&JavaScriptandAngularorReactJSorVue.jsJava|SpringBootframework|Angular|Javascript|Css3|Html5|Java|AdvancedJava|SpringBoot|Framework|Docker|Kubernates|JUnit|Svn|Git|
Deveops Release engineer Requirement,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,4-9years,1500000 - 2100000 INR,"DevOps Engineer |   |  • Has experience in deploying applications and updates to applications |  • Has knowledge of tools in Devops universe (Ex. Jenkins, code deploy, sonarQube, |  Github, |  Bitbucket etc...) |  • Has experience in Automation of code deployments and",codedeploy|Automationofcodedeployments|cd|Go|C/C++|testingcode|container|kubernetes.Ansible|EL|Jenkins|Sonarqube|Github|Bitbucket|Ci|agile|Java|Javascript|selenium|Microservices|Deployments|Orchestration|Docker|Puppet|Nagios|Grafana|Prometheus|
Education Counselor For USA Shifts,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,5-10years,650000 - 900000 INR,"JOB DESCRIPTION: |  *Counselling prospective students and guiding them about the different school student courses |  offered. |  *Counselling through Data Calling, online chat server. |  *Advise students on specific programs and admission procedure",calling|NightShift|Counselling|Education|EducationCounsellor|
Threat Hunter,C P Careers Private Limited,Chennai|Noida,3-8years,1000000 - 2000000 INR,"Job Description |  Job Description: |  • Ready to work 24X7 shift environment. |  • Research new detection techniques to prevent/mitigate abusive activities such as |  outbound security attacks, botnet, DDoS, Cobalt Strike, Ransomware",attacks|botnet|CobaltStrike|Ransomware|Strongknowledgeofmalwarefamilies|networkattackvectors|botnets|campaignsandattackermethods|tools/techniques/practices.ThreatIntelligence|Ddos|PenetrationTesting|PowershellScripting|
