date,message,rating,reviewer
28.04.2021,ganz arg tolle Idee und wundervolle Umsetzung ,5.00, ShopVoter-2800262
11.02.2021,"Wirklich eine schöne Sache für Paare die mehr Qualitätszeit schenkt. Ganz ungezwungen und lustig für echte Gefühle und Zweisamkeit. Es ist in wenigen Minuten machbar, man kann sich aber auch Zeit nehmen. Kann ich jedem empfehlen. ",5.00, Maggy 
24.01.2021,Kann nichts negatives sagen.  Einfach alles super.  Von der Bestellung über die Zahlung bis hin zur Lieferung.  Alles total liebvoll. Vielen Dank! ,5.00, ShopVoter-2620911
22.01.2021,"Der Adventskalender wurde wirklich sehr süß gestaltet, die Karten haben uns sehr gut gefallen und das nachhaltige Design. Wir heben ihn uns auf jeden Fall auf und machen ihn sicher nochmal in einigen Jahren.Wir haben mit dem Kalender viel zusammen gelacht, kuschelige Abende auf der Couch verbracht und uns gezielter über unsere Erfahrungen in der ",5.00, Weltenbummler2429
17.01.2021,Wir haben die Zeit als Paar vor Weihnachten mit dem PaarZeit Kalender sehr genossen. Leider haben wir nicht alles geschafft und so hängen einige Karten immer noch und wir nehmen uns diese so nach und nach von der Wand. Wir schaffen uns somit immer wieder kleine PaarZeiten. Danke für die schönen Inspirationen. ,5.00, ShopVoter-2606511
14.01.2021,interessante Tipps und Tricks für Hund & Frauchen/Herrchen ,4.80, ShopVoter-2597696
12.01.2021,"Super schnelle Lieferung und ein tolles Produkt.  Service nicht in Anspruch genommen, daher keine Angabe. ",5.00, Maria shop voter
11.01.2021,"Nette Idee aber im nächsten Jahr werde ich den Kalender nicht verschenken und selbst bestellen. Dafür habe sich zu viele Dinge wiederholt bzw. einige Seiten hat man nur durchgelesen, ohne eine Aktivität mit dem Hund zu haben.  Gestaltung trotz allem sehr liebevoll und die Idee ist nicht schlecht aber ausbaufähig. ",4.80, ShopVoter-2593006
09.01.2021,"Tolle Idee, charmant umgesetzt! Mein Hund und ich hatten viel Spaß mit dem Schnauzbert-Adventskalender. Die Lieferung erfolgte umgehend und ohne Probleme, deshalb kann ich zum Kundendienst nichts sagen, es gibt nichts zu meckern, daher nicht in Anspruch genommen. ",4.80, ShopVoter-2590531
05.01.2021,"Supernetter Kontakt, tolles, sehr hochwertiges Produkt (wir haben den Schnauzbert und dieses Jahr wird der auf jeden Fall verschenkt und für uns gibts den Adventskalender für Paare!). Wir haben viele tolle Anregungen mit ins neue Jahr genommen, prima!  ",5.00, Ulli77
05.01.2021,Den Adventskalender von Paarzeit kann man nur empfehlen. Er war abwechslungsreich und hat uns täglich viel Freude bereitet. ,5.00, ShopVoter-2581013
04.01.2021,Super schöne Idee und Umsetzung. Es hat uns viel Freude bereitet. Einen Punkt abzug für die nicht so hochwertigen Klammern. Uns sind sie häufig kaputtgegangen. ,4.83, ShopVoter-2580932
28.12.2020,Super! Ich bin total begeistert! ,5.00, ShopVoter-2568719
28.12.2020,"Vielleicht gehören wir mit 50 ja nicht zur Zielgruppe, aber trotz Brille ist es teilweise sehr schwierig die Karten zu lesen... Die Illustration würde ich persönlich anders wünschen, aber das ist ja nun einmal Geschmacksache.  Paar kommt ins Gespräch und das obwohl wir schon seit 24 Jahren zusammen sind. ",4.83, ShopVoter-2568153
27.12.2020,"Eine wirklich großartige Idee und so schön und liebevoll umgesetzt. Wir haben die Paarzeit sehr genossen und hatten auch viel Spaß dabei! War einfach mal was anderes und wir würden ihn auf jeden Fall wieder bestellen. Großes Plus ist außerdem, dass alles aus Papier ist Produkt + Verpackung! ",5.00, Eli.f
26.12.2020,Everything went very smoothly ,5.00, ShopVoter-2564058
23.12.2020,"Dieser Kalender ist sehr gut gemacht. Ich habe ihn insgesamt 5x gekauft und auch weitergegeben. Sogar meine 80-jährigen Eltern haben (fast)alle Paarzeiten mit großer Freude genossen. Sich so bewusst Zeit für einander zu nehmen, ist gut, aber auf Grund der momentanen Situation auch leichter zu planen als sonst. Wir sind schon gespannt auf die ",5.00, Kamaka
23.12.2020,"Wir haben zum Ersten Mal den Paarzeit Adventskalender bestellt und sind begeistert. Es zeigt einem ganz neue Seiten an dem Partner. Gerade wenn man schon lange zusammen ist, lernt man den Partner auf ganz neuem Weg kennen. Für aufgeschlossene Menschen genau das Richtige. ",4.83, ShopVoter-2558680
22.12.2020,"Ich bin sehr zufrieden mit eurem Projekt und mein Hund profitiert auch davon. Vielen Dank. Ich hoffe, nächstes Jahr wieder von Schnauzbert durch den Dezember begleitet  zu werden. Alles Gute und Frohe Weihnachten. Maria u Lotta ",5.00, Maria-Luise Kirsch
22.12.2020,"Ein ganz wunderbares paartherapeutisches ""Spiel"", das intelligent, kreativ und professionell alle Sinne anspricht und die richtigen Fragen stellt. Dringende Empfehlung für alle Paare, die miteinander ins Gespräch kommen und noch Unbekanntes am jeweils Anderen entdecken möchten. ",5.00, ShopVoter-2555526
