city,deliveryTime,foodType,price,restaurantName
adoni,-- MINS,Biryani,₹250 FOR TWO,Masala Bowl Multicusine Restaurant
adoni,-- MINS,Biryani,₹200 FOR TWO,Vihari Food Court
adoni,-- MINS,"South Indian, North Indian",₹250 FOR TWO,Deepthi Veg and nonveg Restaurant
adoni,-- MINS,"Desserts, Ice Cream",₹150 FOR TWO,Lassi Shop
adoni,-- MINS,South Indian,₹150 FOR TWO,Hotel Madhavi
adoni,-- MINS,"North Indian, Chinese",₹150 FOR TWO,Arya Hotel
adoni,-- MINS,Biryani,₹250 FOR TWO,S Usha Star Restaurant
adoni,-- MINS,South Indian,₹150 FOR TWO,Bheemas Pure veg Restaurant
adoni,-- MINS,"Kebabs, Chinese",₹250 FOR TWO,Only Kabab's
adoni,-- MINS,Desserts,₹100 FOR TWO,SLV cake house
adoni,-- MINS,"South Indian, Biryani",₹250 FOR TWO,Guntur vari K K Restaurant
adoni,-- MINS,"Biryani, South Indian, Chinese",₹250 FOR TWO,New Spicy Hut
adoni,-- MINS,"Asian, Chinese",₹250 FOR TWO,chinese food world
adoni,-- MINS,South Indian,₹200 FOR TWO,Ma Palle Ruchulu
adoni,-- MINS,Chinese,₹250 FOR TWO,King Kabab Point
ahmednagar,-- MINS,Maharashtrian,₹100 FOR TWO,Hotel Mauli Misal
ahmednagar,-- MINS,"Indian, Seafood, Chinese",₹500 FOR TWO,Hotel Suvarnam Aradhya
ahmednagar,-- MINS,"Mughlai, Seafood",₹500 FOR TWO,Hotel Nandanvan
ahmednagar,-- MINS,"Fast Food, Italian, Indian",₹200 FOR TWO,Delicious Pizza & Sandwich
ahmednagar,-- MINS,"Maharashtrian, Chinese",₹150 FOR TWO,Lokseva Pure Veg
ahmednagar,-- MINS,"Desserts, Fast Food",₹200 FOR TWO,Royal Ice Cream and fast food Restaurant
ahmednagar,-- MINS,"Chinese, Biryani, Mughlai, Maharashtrian",₹300 FOR TWO,Hotel Pingara
ahmednagar,-- MINS,Sweets,₹200 FOR TWO,Batra Food Products
ahmednagar,-- MINS,"Rajasthani, Gujarati",₹250 FOR TWO,Chhappan Bhog
ahmednagar,-- MINS,Fast Food,₹150 FOR TWO,Hotel Trupti
ahmednagar,-- MINS,"Biryani, Maharashtrian",₹300 FOR TWO,Only Chicken House
ahmednagar,-- MINS,Biryani,₹200 FOR TWO,Mohsins Hyderabadi Dum Biryani House
ahmednagar,-- MINS,"Fast Food, Mughlai",₹300 FOR TWO,Hotel Paradise
ahmednagar,-- MINS,Fast Food,₹150 FOR TWO,Royal Ice cream and fast food
ahmednagar,-- MINS,Chinese,₹200 FOR TWO,Love Chinese
abohar,33 MINS,Beverages,₹100 FOR TWO,theka coffee desi
abohar,26 MINS,North Indian,₹200 FOR TWO,Bihari da vaishno dhaba
abohar,26 MINS,Fast Food,₹150 FOR TWO,Maruti Plaza
abohar,25 MINS,Continental,₹200 FOR TWO,Sam Uncle
abohar,30 MINS,"Sweets, Beverages",₹200 FOR TWO,chacha sweets house
abohar,29 MINS,Snacks,₹100 FOR TWO,Jodhpuri Kachori
abohar,26 MINS,North Indian,₹150 FOR TWO,shere punjab veg
abohar,26 MINS,"Sweets, Desserts",₹100 FOR TWO,Sethi Milk Badam
abohar,27 MINS,North Indian,₹200 FOR TWO,Swastik Dhaba
